filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,OWNER
r0115_1699.046.fits,Cen X-4,14:58:22.13,-31:40:06.7,1999-01-16,07:36:16.7,2451194.8169,600.0,1.78,,,,,,YALE
r0115_1699.047.fits,Cen X-4,14:58:22.26,-31:40:07.8,1999-01-16,07:48:11.4,2451194.8251,600.0,1.68,,,,,,YALE
r0117_1899.048.fits,Cen X-4,14:58:22.07,-31:40:06.8,1999-01-18,07:27:29.2,2451196.8108,600.0,1.79,,,,,,YALE
r0117_1899.049.fits,Cen X-4,14:58:22.10,-31:40:06.5,1999-01-18,07:38:27.0,2451196.8184,600.0,1.69,,,,,,YALE
r0118_1999.047.fits,Cen X-4,14:58:22.05,-31:40:06.9,1999-01-19,07:24:28.1,2451197.8087,600.0,1.78,,,,,,YALE
r0118_1999.048.fits,Cen X-4,14:58:22.05,-31:40:07.1,1999-01-19,07:35:26.2,2451197.8163,600.0,1.68,,,,,,YALE
r0119_2099.044.fits,Cen X-4,14:58:22.12,-31:40:05.8,1999-01-20,07:26:29.5,2451198.8101,600.0,1.73,,,,,,YALE
r0119_2099.045.fits,Cen X-4,14:58:22.21,-31:40:05.1,1999-01-20,07:37:34.4,2451198.8178,600.0,1.64,,,,,,YALE
r0120_2199.044.fits,Cen X-4,14:58:22.20,-31:40:05.8,1999-01-21,07:48:51.2,2451199.8256,600.0,1.53,,,,,,YALE
r0120_2199.043.fits,Cen X-4,14:58:22.18,-31:40:05.7,1999-01-21,07:37:46.3,2451199.8179,600.0,1.6,,,,,,YALE
r0121_2299.045.fits,Cen X-4,14:58:22.16,-31:40:07.0,1999-01-22,07:18:02.1,2451200.8042,600.0,1.73,,,,,,YALE
r0121_2299.046.fits,Cen X-4,14:58:22.27,-31:40:06.4,1999-01-22,07:29:16.5,2451200.812,600.0,1.64,,,,,,YALE
r0122_2399.050.fits,Cen X-4,14:58:22.23,-31:40:05.6,1999-01-23,08:18:19.5,2451201.8461,600.0,1.33,,,,,,YALE
r0122_2399.049.fits,Cen X-4,14:58:22.16,-31:40:07.3,1999-01-23,08:07:16.2,2451201.8384,600.0,1.38,,,,,,YALE
r0125_2699.042.fits,Cen X-4,14:58:22.05,-31:40:08.2,1999-01-26,06:25:51.9,2451204.768,600.0,2.14,,,,,,YALE
r0125_2699.043.fits,Cen X-4,14:58:22.19,-31:40:08.0,1999-01-26,06:36:55.8,2451204.7756,600.0,1.99,,,,,,YALE
r0126_2799.049.fits,Cen X-4,14:58:22.14,-31:40:07.6,1999-01-27,07:44:55.0,2451205.8229,600.0,1.42,,,,,,YALE
r0126_2799.050.fits,Cen X-4,14:58:22.02,-31:40:07.3,1999-01-27,07:55:52.5,2451205.8305,600.0,1.36,,,,,,YALE
r0127_2899.045.fits,Cen X-4,14:58:22.08,-31:40:07.0,1999-01-28,06:39:13.7,2451206.7772,600.0,1.88,,,,,,YALE
r0127_2899.046.fits,Cen X-4,14:58:22.07,-31:40:05.8,1999-01-28,06:50:18.8,2451206.7849,600.0,1.77,,,,,,YALE
r0128_2999.047.fits,Cen X-4,14:58:22.06,-31:40:07.3,1999-01-29,06:42:39.9,2451207.7796,600.0,1.8,,,,,,YALE
r0128_2999.048.fits,Cen X-4,14:58:22.05,-31:40:07.3,1999-01-29,06:54:21.3,2451207.7877,600.0,1.7,,,,,,YALE
