log_original_row,n_phot_measurements
1146.0,2
1164.0,2
1218.0,2
1228.0,2
1256.0,2
1264.0,2
1295.0,2
1308.0,2
1312.0,2
1316.0,2
1322.0,2
1339.0,2
1344.0,2
1362.0,2
1372.0,2
1380.0,2
1391.0,2
1405.0,2
1423.0,2
1443.0,2
1455.0,2
1502.0,2
1516.0,2
1544.0,2
1552.0,2
1560.0,2
1623.0,2
1627.0,2
1638.0,2
1646.0,2
1650.0,2
1660.0,2
1676.0,2
1755.0,2
1759.0,2
1766.0,2
1770.0,2
1774.0,2
1781.0,2
1978.0,2
6021.0,2
6053.0,2
6085.0,2
6476.0,2
6548.0,2
6596.0,2
6628.0,2
6692.0,2
6724.0,2
6756.0,2
7455.0,2
7584.0,2
7674.0,2
7764.0,2
7824.0,2
7942.0,2
8272.0,2
8360.0,2
8420.0,2
8510.0,2
8718.0,2
8808.0,2
8895.0,2
8994.0,2
9058.0,2
9122.0,2
9354.0,2
9554.0,2
9586.0,2
9682.0,2
9714.0,2
9778.0,2
9986.0,2
37487.0,2
48797.0,2
49364.0,2
49499.0,2
49553.0,2
60409.0,2
60808.0,2
62506.0,2
64120.0,2
64195.0,2
64270.0,2
64326.0,2
64401.0,2
64476.0,2
64533.0,2
64590.0,2
64665.0,2
64740.0,2
64911.0,2
64968.0,2
65025.0,2
65102.0,2
65140.0,2
65197.0,2
65254.0,2
65311.0,2
65368.0,2
65425.0,2
65482.0,2
65539.0,2
65602.0,2
65782.0,2
66037.0,2
66094.0,2
66151.0,2
66208.0,2
66265.0,2
66322.0,2
66511.0,2
67828.0,2
67885.0,2
68440.0,2
69340.0,2
69808.0,2
69952.0,2
70147.0,2
