MJD,Patterns,NumH_expos_thrown_out,NumH_expos,State,phot_original_row,filter,magnitude,phot_measurement,log_original_row,log_MJD,filename,datetime,EXPTIME,TELESCOP,matched_MJD,time_diff_sec
54133.80857,11,0,0,A,1593,B,18.93,227,,,,,,,,
54456.36774,11,-1,-1,P,1731,B,19.2,321,,,,,,,,
57814.54668,11,0,0,A,3506,B,18.69,1518,,,,,,,,
51472.2243,1,0,0,P,106,V,18.24,2075,,,,,,,,
51912.2277,4,0,14,P,398,V,18.33,2311,,,,,,,,
51913.2822,4,0,0,P,399,V,18.22,2312,,,,,,,,
51925.1832,4,0,14,P,412,V,18.3,2322,,,,,,,,
51972.0096,4,0,14,P,461,V,18.31,2360,,,,,,,,
51979.0217,4,0,14,P,467,V,18.17,2364,,,,,,,,
52204.3201,3,0,14,P,494,V,17.85,2385,,,,,,,,
52699.39827,6,0,0,P,988,V,18.24,2764,,,,,,,,
52953.35614,6,0,0,T,1054,V,18.32,2827,,,,,,,,
54133.80857,11,0,0,A,1593,V,18.09,3186,,,,,,,,
54456.36774,11,-1,-1,P,1731,V,18.19,3285,,,,,,,,
57814.54668,11,0,0,A,3506,V,17.63,4587,,,,,,,,
51912.2277,4,0,14,P,398,I,16.8,5429,,,,,,,,
51913.2822,4,0,0,P,399,I,16.64,5430,,,,,,,,
52953.35614,6,0,0,T,1054,I,16.78,5946,,,,,,,,
53407.1615,7,0,0,A,1218,I,16.31,6037,,,,,,,,
53428.17074,7,0,0,A,1245,I,16.54,6050,,,,,,,,
53430.10733,7,0,0,A,1249,I,16.49,6052,,,,,,,,
53440.0958,7,0,0,A,1260,I,16.67,6056,,,,,,,,
53462.04178,7,0,0,A,1276,I,16.71,6061,,,,,,,,
53693.28673,8,16,24,P,1288,I,16.57,6067,,,,,,,,
53696.27525,8,0,24,P,1290,I,16.68,6068,,,,,,,,
53700.3175,8,0,24,P,1292,I,16.72,6069,,,,,,,,
53705.29226,8,0,24,P,1298,I,16.74,6071,,,,,,,,
53713.08236,8,0,24,P,1306,I,16.69,6075,,,,,,,,
53713.12734,8,0,24,P,1307,I,16.65,6076,,,,,,,,
53713.15791,8,16,24,P,1308,I,16.74,6077,,,,,,,,
53713.23383,8,0,24,P,1309,I,16.78,6078,,,,,,,,
53713.28757,8,0,24,P,1310,I,16.64,6079,,,,,,,,
53713.32634,8,0,24,P,1311,I,16.72,6080,,,,,,,,
53714.24516,8,0,24,P,1312,I,16.65,6081,,,,,,,,
53715.28891,8,0,0,P,1313,I,16.81,6082,,,,,,,,
53719.22769,8,0,0,P,1319,I,16.59,6083,,,,,,,,
53720.25117,8,0,0,P,1320,I,16.62,6084,,,,,,,,
53723.26962,8,0,24,P,1323,I,16.57,6085,,,,,,,,
53728.25496,8,8,24,P,1328,I,16.73,6086,,,,,,,,
53745.18566,8,0,0,P,1329,I,16.8,6087,,,,,,,,
53746.21441,8,0,0,P,1331,I,16.6,6088,,,,,,,,
53747.1174,8,0,0,P,1333,I,16.81,6089,,,,,,,,
53749.15341,8,0,24,P,1336,I,16.44,6091,,,,,,,,
53750.20686,8,8,24,P,1337,I,16.53,6092,,,,,,,,
53754.17654,8,0,24,P,1343,I,16.56,6095,,,,,,,,
53755.13779,8,16,24,P,1344,I,16.58,6096,,,,,,,,
53757.22616,8,0,24,P,1346,I,16.56,6098,,,,,,,,
53758.1506,8,0,24,P,1347,I,16.61,6099,,,,,,,,
53760.19992,8,0,0,P,1349,I,16.72,6100,,,,,,,,
53761.19931,8,0,0,P,1351,I,16.66,6101,,,,,,,,
53762.18564,8,0,24,P,1353,I,16.63,6102,,,,,,,,
53763.10664,8,0,24,P,1354,I,16.63,6103,,,,,,,,
53766.08461,8,0,0,P,1358,I,16.59,6104,,,,,,,,
53770.18238,8,0,24,P,1360,I,16.8,6105,,,,,,,,
53771.11514,8,0,24,P,1361,I,16.71,6106,,,,,,,,
53772.1438,8,0,24,P,1362,I,16.82,6107,,,,,,,,
53774.14456,8,0,24,P,1364,I,16.66,6108,,,,,,,,
53775.0792,8,0,24,P,1365,I,16.7,6109,,,,,,,,
53777.12607,8,16,24,P,1367,I,16.7,6110,,,,,,,,
53779.12917,8,0,24,P,1369,I,16.65,6111,,,,,,,,
53780.14743,8,0,24,P,1370,I,16.63,6112,,,,,,,,
53782.14212,8,0,24,P,1371,I,16.79,6113,,,,,,,,
53783.11242,8,16,24,P,1372,I,16.72,6114,,,,,,,,
53784.09236,8,0,24,P,1373,I,16.73,6115,,,,,,,,
53785.14346,8,0,24,P,1374,I,16.59,6116,,,,,,,,
53786.10524,8,0,24,P,1375,I,16.62,6117,,,,,,,,
53787.14498,8,0,24,P,1376,I,16.72,6118,,,,,,,,
53788.1192,8,0,24,P,1377,I,16.72,6119,,,,,,,,
53789.1647,8,0,0,P,1378,I,16.62,6120,,,,,,,,
53791.10199,8,0,24,P,1381,I,16.47,6121,,,,,,,,
53792.10904,8,0,24,P,1382,I,16.54,6122,,,,,,,,
53793.10419,8,0,24,P,1383,I,16.49,6123,,,,,,,,
53794.10081,8,0,24,P,1384,I,16.62,6124,,,,,,,,
53799.09442,8,0,24,P,1388,I,16.71,6125,,,,,,,,
53969.3922,8,0,24,A,1393,I,16.57,6128,,,,,,,,
53970.39202,8,0,24,A,1394,I,16.5,6129,,,,,,,,
53971.3876,8,0,24,A,1395,I,16.54,6130,,,,,,,,
53973.37031,8,0,0,A,1396,I,16.54,6131,,,,,,,,
53974.36929,8,0,0,A,1397,I,16.56,6132,,,,,,,,
53975.35912,8,0,0,A,1399,I,16.65,6133,,,,,,,,
53981.3872,8,0,24,A,1404,I,16.63,6137,,,,,,,,
53989.33872,8,0,0,A,1409,I,16.66,6141,,,,,,,,
53990.35471,8,0,24,A,1411,I,16.72,6142,,,,,,,,
53993.3864,8,0,24,A,1412,I,16.59,6143,,,,,,,,
53994.36062,8,0,24,A,1413,I,16.55,6144,,,,,,,,
53995.36951,8,0,24,A,1414,I,16.61,6145,,,,,,,,
53996.36564,8,0,0,A,1415,I,16.52,6146,,,,,,,,
53998.33175,8,0,24,A,1416,I,16.6,6147,,,,,,,,
53999.36651,8,0,24,A,1417,I,16.71,6148,,,,,,,,
54001.30749,8,0,0,A,1418,I,16.43,6149,,,,,,,,
54002.36229,8,0,24,A,1420,I,16.48,6150,,,,,,,,
54003.33237,8,0,24,A,1421,I,16.6,6151,,,,,,,,
54005.34069,8,0,0,A,1423,I,16.69,6152,,,,,,,,
54008.36165,8,0,24,A,1426,I,16.52,6153,,,,,,,,
54009.35291,8,0,24,A,1427,I,16.44,6154,,,,,,,,
54010.32889,8,0,24,A,1428,I,16.44,6155,,,,,,,,
54043.25208,8,0,24,A,1454,I,16.45,6156,,,,,,,,
54045.24171,8,0,24,A,1455,I,16.68,6157,,,,,,,,
54046.25708,8,0,24,A,1456,I,16.57,6158,,,,,,,,
54048.25518,8,0,24,A,1458,I,16.38,6160,,,,,,,,
54049.2625,8,0,24,A,1459,I,16.4,6161,,,,,,,,
54051.26554,8,0,24,A,1461,I,16.51,6162,,,,,,,,
54052.30409,8,0,24,A,1462,I,16.33,6163,,,,,,,,
54056.25838,8,0,24,A,1466,I,16.63,6165,,,,,,,,
54057.25318,8,0,24,A,1467,I,16.49,6166,,,,,,,,
54058.30211,8,0,24,A,1468,I,16.55,6167,,,,,,,,
54072.20435,8,16,24,A,1526,I,16.6,6188,,,,,,,,
54074.20885,8,0,24,A,1528,I,16.41,6189,,,,,,,,
54075.134,8,0,24,A,1529,I,16.49,6190,,,,,,,,
54076.1475,8,0,24,A,1532,I,16.57,6191,,,,,,,,
54076.21946,8,0,24,A,1534,I,16.54,6192,,,,,,,,
54080.24169,8,0,24,A,1537,I,16.48,6193,,,,,,,,
54081.23246,8,0,24,A,1538,I,16.59,6194,,,,,,,,
54082.2124,8,0,24,A,1539,I,16.57,6195,,,,,,,,
54083.17133,8,0,24,A,1540,I,16.5,6196,,,,,,,,
54084.20713,8,0,24,A,1541,I,16.58,6197,,,,,,,,
54085.19677,8,0,24,A,1542,I,16.54,6198,,,,,,,,
54086.21346,8,0,24,A,1543,I,16.45,6199,,,,,,,,
54087.15665,8,0,24,A,1544,I,16.32,6200,,,,,,,,
54088.14666,8,0,24,A,1545,I,16.48,6201,,,,,,,,
54096.20888,8,0,24,A,1553,I,16.44,6202,,,,,,,,
54097.27879,8,0,24,A,1554,I,16.66,6203,,,,,,,,
54100.18184,8,0,24,A,1556,I,16.49,6205,,,,,,,,
54104.20469,8,0,24,A,1558,I,16.4,6206,,,,,,,,
54108.18909,8,0,24,A,1562,I,16.44,6209,,,,,,,,
54109.24441,8,8,24,A,1563,I,16.52,6210,,,,,,,,
54110.21228,8,0,24,A,1564,I,16.61,6211,,,,,,,,
54112.22848,8,0,24,A,1566,I,16.64,6212,,,,,,,,
54113.16982,8,0,24,A,1567,I,16.54,6213,,,,,,,,
54115.21923,8,0,0,A,1569,I,16.47,6214,,,,,,,,
54117.15088,8,0,0,A,1572,I,16.67,6216,,,,,,,,
54118.24273,8,0,24,A,1574,I,16.67,6217,,,,,,,,
54119.18689,8,0,0,A,1575,I,16.76,6218,,,,,,,,
54121.20579,8,0,24,A,1577,I,16.73,6220,,,,,,,,
54122.18689,8,0,24,A,1578,I,16.67,6221,,,,,,,,
54125.21055,8,0,24,A,1583,I,16.58,6224,,,,,,,,
54126.16012,8,0,24,A,1584,I,16.49,6225,,,,,,,,
54128.15785,8,0,24,A,1587,I,16.47,6227,,,,,,,,
54133.80857,11,0,0,A,1593,I,16.5,6231,,,,,,,,
54135.18008,8,16,24,A,1595,I,16.47,6232,,,,,,,,
54138.13564,8,0,24,A,1600,I,16.65,6235,,,,,,,,
54456.36774,11,-1,-1,P,1731,I,16.7,6317,,,,,,,,
57814.54668,11,0,0,A,3506,I,16.25,7559,,,,,,,,
51912.2277,4,0,14,P,398,H,14.93,8138,,,,,,,,
52699.40968,6,9,18,P,989,H,14.96,8467,,,,,,,,
52953.32385,6,9,18,T,1053,H,14.93,8496,,,,,,,,
54133.85919,8,8,24,A,1594,H,14.58,8910,,,,,,,,
54456.36774,11,-1,-1,P,1731,H,14.8,9026,,,,,,,,
56152.15221,11,-1,-1,A,2759,H,14.82,9897,,,,,,,,
56152.17346,11,-1,-1,A,2760,H,14.59,9898,,,,,,,,
