filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd040308.0128.fits,4U1630-47,16:34:0.40,-47:23:39.4,2004-03-09,08:05:46,2453073.83734,600.0,1.15,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453073.83734,2004-03-09 08:05:46.176,2
rccd040308.0129.fits,4U1630-47,16:34:0.86,-47:23:39.0,2004-03-09,08:16:53,2453073.84506,600.0,1.13,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453073.84506,2004-03-09 08:16:53.184,2
rccd040309.0171.fits,4U1630-47,16:33:59.91,-47:23:46.6,2004-03-10,08:10:14,2453074.84045,600.0,1.13,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453074.84045,2004-03-10 08:10:14.880,2
rccd040310.0185.fits,4U1630-47,16:34:0.71,-47:23:44.2,2004-03-11,08:30:06,2453075.85424,1050.0,1.1,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453075.85424,2004-03-11 08:30:06.336,2
rccd040311.0143.fits,4U1630-47,16:34:1.54,-47:23:34.9,2004-03-12,07:18:46,2453076.8047,1050.0,1.22,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453076.8047,2004-03-12 07:18:46.080,2
rccd040312.0142.fits,4U1630-47,16:34:1.54,-47:23:34.6,2004-03-13,06:25:37,2453077.76779,1050.0,1.37,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453077.76779,2004-03-13 06:25:37.056,2
rccd040313.0169.fits,4U1630-47,16:34:1.57,-47:23:34.8,2004-03-14,07:58:06,2453078.83202,1050.0,1.13,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453078.83202,2004-03-14 07:58:06.528,2
rccd040314.0145.fits,4U1630-47,16:34:1.52,-47:23:34.9,2004-03-15,07:05:10,2453079.79526,1050.0,1.22,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453079.79526,2004-03-15 07:05:10.464,2
rccd040315.0113.fits,4U1630-47,16:34:1.53,-47:23:35.2,2004-03-16,05:25:45,2453080.72622,1050.0,1.59,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453080.72622,2004-03-16 05:25:45.408,2
rccd040316.0127.fits,4U1630-47,16:34:1.54,-47:23:34.8,2004-03-17,07:53:42,2453081.82896,1050.0,1.12,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453081.82896,2004-03-17 07:53:42.144,2
rccd040317.0150.fits,4U1630-47,16:34:1.54,-47:23:34.9,2004-03-18,06:43:05,2453082.77992,1050.0,1.25,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453082.77992,2004-03-18 06:43:05.088,2
rccd040322.0122.fits,4U1630-47,16:34:1.55,-47:23:34.3,2004-03-23,07:34:08,2453087.81537,1050.0,1.11,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453087.81537,2004-03-23 07:34:07.968,2
rccd040323.0150.fits,4U1630-47,16:34:01.43,-47:23:32.1,2004-03-24,07:21:39,2453088.8067,1050.0,1.12,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453088.8067,2004-03-24 07:21:38.880,2
rccd040324.0118.fits,4U1630-47,16:34:01.20,-47:23:49.5,2004-03-25,07:43:53,2453089.82214,1050.0,1.09,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453089.82214,2004-03-25 07:43:52.896,2
rccd040325.0163.fits,4U1630-47,16:34:01.55,-47:23:34.8,2004-03-26,06:59:09,2453090.79109,1050.0,1.15,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453090.79109,2004-03-26 06:59:10.176,2
rccd040326.0177.fits,4U1630-47,16:34:01.55,-47:23:35.2,2004-03-27,06:26:45,2453091.76859,1050.0,1.2,V,K,1388,2035,2100,optical_CD_header_logs/,4U1630-47,CD,4U 1630-47,True,1.0,2453091.76859,2004-03-27 06:26:46.176,2
