filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir070702.0162.fits,4u 1658-298,17:02:06.50,-29:56:43.8,2007-07-03,03:53:53.826,2454284.66243,30.05,1.02,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66243,2007-07-03 03:53:53.952,1
binir070702.0163.fits,4u 1658-298,17:02:06.56,-29:56:43.5,2007-07-03,03:54:39.313,2454284.66296,30.04,1.02,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66296,2007-07-03 03:54:39.744,1
binir070702.0164.fits,4u 1658-298,17:02:06.57,-29:56:43.6,2007-07-03,03:55:25.118,2454284.66349,30.04,1.02,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66349,2007-07-03 03:55:25.536,1
binir070702.0165.fits,4u 1658-298,17:02:06.58,-29:56:43.4,2007-07-03,03:56:10.891,2454284.66402,30.04,1.02,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66402,2007-07-03 03:56:11.328,1
binir070702.0166.fits,4u 1658-298,17:02:06.59,-29:56:43.5,2007-07-03,03:56:56.254,2454284.66454,30.04,1.02,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66454,2007-07-03 03:56:56.256,1
binir070702.0167.fits,4u 1658-298,17:02:06.60,-29:56:43.6,2007-07-03,03:57:41.859,2454284.66507,30.04,1.02,I,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66507,2007-07-03 03:57:42.048,1
binir070702.0168.fits,4u 1658-298,17:02:06.60,-29:56:43.6,2007-07-03,03:58:27.591,2454284.6656,30.04,1.02,I,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.6656,2007-07-03 03:58:27.840,1
binir070702.0169.fits,4u 1658-298,17:02:06.61,-29:56:33.5,2007-07-03,03:59:48.306,2454284.66653,30.04,1.02,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66653,2007-07-03 03:59:48.192,1
binir070702.0170.fits,4u 1658-298,17:02:06.63,-29:56:33.8,2007-07-03,04:00:33.896,2454284.66706,30.05,1.02,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66706,2007-07-03 04:00:33.984,1
binir070702.0171.fits,4u 1658-298,17:02:06.63,-29:56:33.9,2007-07-03,04:01:19.712,2454284.66759,30.04,1.03,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66759,2007-07-03 04:01:19.776,1
binir070702.0172.fits,4u 1658-298,17:02:06.63,-29:56:33.9,2007-07-03,04:02:05.564,2454284.66812,30.04,1.03,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66812,2007-07-03 04:02:05.568,1
binir070702.0173.fits,4u 1658-298,17:02:06.64,-29:56:34.9,2007-07-03,04:02:51.170,2454284.66865,30.04,1.03,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66865,2007-07-03 04:02:51.360,1
binir070702.0174.fits,4u 1658-298,17:02:06.64,-29:56:33.9,2007-07-03,04:03:36.946,2454284.66918,30.04,1.03,V,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66918,2007-07-03 04:03:37.152,1
binir070702.0175.fits,4u 1658-298,17:02:06.63,-29:56:34.0,2007-07-03,04:04:22.682,2454284.66971,30.05,1.03,V,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1658-298,True,1.0,2454284.66971,2007-07-03 04:04:22.944,1
