filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd070630.0028.fits,4u 1254-690,12:57:36.96,-69:17:07.4,2007-07-01,01:38:14.783,2454282.56823,600.0,1.41,V,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,4U1254-690,True,optical
rccd070630.0027.fits,4u 1254-690,12:57:37.16,-69:17:20.5,2007-07-01,01:27:07.390,2454282.56051,600.0,1.39,I,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,4U1254-690,True,optical
binir070630.0039.fits,4u 1254-690,12:57:36.94,-69:17:06.6,2007-07-01,01:42:28.157,2454282.57116,70.03,1.42,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0041.fits,4u 1254-690,12:57:36.93,-69:17:06.6,2007-07-01,01:45:18.732,2454282.57313,70.03,1.42,V,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0034.fits,4u 1254-690,12:57:36.99,-69:17:18.3,2007-07-01,01:34:11.984,2454282.56542,70.03,1.4,I,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0029.fits,4u 1254-690,12:57:37.16,-69:17:20.5,2007-07-01,01:27:04.544,2454282.56048,70.03,1.39,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0030.fits,4u 1254-690,12:57:37.13,-69:17:19.9,2007-07-01,01:28:29.731,2454282.56147,70.03,1.4,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0031.fits,4u 1254-690,12:57:37.09,-69:17:19.3,2007-07-01,01:29:55.179,2454282.56245,70.03,1.4,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0032.fits,4u 1254-690,12:57:37.04,-69:17:19.1,2007-07-01,01:31:20.627,2454282.56344,70.03,1.4,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0033.fits,4u 1254-690,12:57:37.01,-69:17:18.7,2007-07-01,01:32:46.554,2454282.56443,70.03,1.4,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0035.fits,4u 1254-690,12:57:36.97,-69:17:18.0,2007-07-01,01:35:37.403,2454282.5664,70.03,1.41,I,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0036.fits,4u 1254-690,12:57:36.94,-69:17:07.4,2007-07-01,01:38:11.940,2454282.56819,70.03,1.41,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0037.fits,4u 1254-690,12:57:36.96,-69:17:07.0,2007-07-01,01:39:37.147,2454282.56918,70.03,1.41,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0038.fits,4u 1254-690,12:57:36.94,-69:17:06.9,2007-07-01,01:41:02.613,2454282.57017,70.03,1.42,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0040.fits,4u 1254-690,12:57:36.93,-69:17:06.7,2007-07-01,01:43:53.342,2454282.57214,70.03,1.42,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
binir070630.0042.fits,4u 1254-690,12:57:36.92,-69:17:06.0,2007-07-01,01:46:44.131,2454282.57412,70.03,1.43,V,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,4U1254-690,True,IR
