filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir040308.0349.fits,4U1630-47,16:34:0.40,-47:23:39.3,2004-03-09,08:05:42,2453073.83729,60.04,1.15,V,K,1388,2035,2100,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.83729,2004-03-09 08:05:41.856,1
binir040308.0350.fits,4U1630-47,16:34:0.42,-47:23:39.3,2004-03-09,08:07:04,2453073.83825,60.03,1.14,V,K,1388,2065,2070,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.83825,2004-03-09 08:07:04.800,1
binir040308.0351.fits,4U1630-47,16:34:0.49,-47:23:39.3,2004-03-09,08:08:27,2453073.83921,60.03,1.14,V,K,1358,2035,2130,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.83921,2004-03-09 08:08:27.744,1
binir040308.0352.fits,4U1630-47,16:34:0.55,-47:23:38.9,2004-03-09,08:09:50,2453073.84017,60.03,1.14,V,K,1418,2005,2100,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84017,2004-03-09 08:09:50.688,1
binir040308.0353.fits,4U1630-47,16:34:0.61,-47:23:39.0,2004-03-09,08:11:10,2453073.84109,60.03,1.14,V,K,1388,2005,2130,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84109,2004-03-09 08:11:10.176,1
binir040308.0354.fits,4U1630-47,16:34:0.68,-47:23:39.0,2004-03-09,08:12:32,2453073.84204,60.04,1.13,V,K,1418,2035,2070,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84204,2004-03-09 08:12:32.256,1
binir040308.0355.fits,4U1630-47,16:34:0.73,-47:23:39.0,2004-03-09,08:13:55,2453073.843,60.03,1.13,V,K,1358,2065,2100,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.843,2004-03-09 08:13:55.200,1
binir040308.0356.fits,4U1630-47,16:34:0.81,-47:23:38.6,2004-03-09,08:15:17,2453073.84396,60.03,1.13,V,K,1388,2035,2100,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84396,2004-03-09 08:15:18.144,1
binir040308.0357.fits,4U1630-47,16:34:0.85,-47:23:38.9,2004-03-09,08:16:49,2453073.84501,60.03,1.13,V,K,1388,2035,2100,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84501,2004-03-09 08:16:48.864,1
binir040308.0358.fits,4U1630-47,16:34:0.93,-47:23:38.9,2004-03-09,08:18:11,2453073.84596,60.04,1.13,V,K,1388,2065,2070,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84596,2004-03-09 08:18:10.944,1
binir040308.0359.fits,4U1630-47,16:34:1.00,-47:23:38.8,2004-03-09,08:19:34,2453073.84693,60.03,1.12,V,K,1358,2035,2130,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84693,2004-03-09 08:19:34.752,1
binir040308.0360.fits,4U1630-47,16:34:1.06,-47:23:38.9,2004-03-09,08:20:57,2453073.84789,60.04,1.12,V,K,1418,2005,2100,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84789,2004-03-09 08:20:57.696,1
binir040308.0361.fits,4U1630-47,16:34:1.11,-47:23:39.2,2004-03-09,08:22:20,2453073.84884,60.03,1.12,V,K,1388,2005,2130,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84884,2004-03-09 08:22:19.776,1
binir040308.0362.fits,4U1630-47,16:34:1.16,-47:23:38.9,2004-03-09,08:23:42,2453073.84979,60.03,1.12,V,K,1418,2035,2070,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.84979,2004-03-09 08:23:41.856,1
binir040308.0363.fits,4U1630-47,16:34:1.23,-47:23:39.3,2004-03-09,08:25:04,2453073.85074,60.03,1.12,V,K,1358,2065,2100,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.85074,2004-03-09 08:25:03.936,1
binir040308.0364.fits,4U1630-47,16:34:1.24,-47:23:39.4,2004-03-09,08:26:26,2453073.8517,60.04,1.11,V,K,1388,2035,2100,IR_CD_header_logs/LOG_4U1630-47.20040309thru20040628.csv,IR_CD_header_logs/,4U1630-47,CD,YALE-03A-0001,4U 1630-47,True,3.0,2453073.8517,2004-03-09 08:26:26.880,1
