filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd070703.0056.fits,4u 1734-444,17:38:58.26,-44:26:59.2,2007-07-04,05:40:24.375,2454285.73639,300.0,1.14,I,J,1210.0,1868.0,2020.0,optical_CD_header_logs/,MULTI_2007xrbs,CD,4U 1735-444,True,3.0,2454285.73639,2007-07-04 05:40:24.096,2
rccd070703.0057.fits,4u 1734-444,17:38:58.28,-44:26:49.5,2007-07-04,05:46:18.437,2454285.74049,300.0,1.15,V,J,1210.0,1868.0,2020.0,optical_CD_header_logs/,MULTI_2007xrbs,CD,4U 1735-444,True,1.0,2454285.74049,2007-07-04 05:46:18.336,2
rccd080312.0085.fits,4U 1735-444,17:38:58.88,-44:26:30.9,2008-03-13,06:48:36.111,2454538.78376,300.0,1.57,B,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,0.0,2454538.78376,2008-03-13 06:48:36.864,1
rccd080312.0086.fits,4U 1735-444,17:38:58.87,-44:26:33.6,2008-03-13,06:54:31.609,2454538.78787,300.0,1.53,I,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,3.0,2454538.78787,2008-03-13 06:54:31.968,1
rccd080312.0087.fits,4U 1735-444,17:38:59.05,-44:26:33.8,2008-03-13,07:00:28.833,2454538.79201,300.0,1.5,V,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,1.0,2454538.79201,2008-03-13 07:00:29.664,1
rccd080313.0090.fits,4U 1735-444,17:38:57.76,-44:27:09.1,2008-03-14,06:51:10.603,2454539.78554,300.0,1.53,B,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,0.0,2454539.78554,2008-03-14 06:51:10.656,1
rccd080313.0091.fits,4U 1735-444,17:38:57.86,-44:27:09.0,2008-03-14,06:57:06.943,2454539.78966,300.0,1.5,I,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,3.0,2454539.78966,2008-03-14 06:57:06.624,1
rccd080313.0092.fits,4U 1735-444,17:38:58.02,-44:27:09.2,2008-03-14,07:03:04.783,2454539.7938,300.0,1.47,V,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,1.0,2454539.7938,2008-03-14 07:03:04.320,1
rccd080314.0060.fits,4U 1735-444,17:38:56.18,-44:27:16.0,2008-03-15,06:22:55.739,2454540.76592,300.0,1.68,B,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,0.0,2454540.76592,2008-03-15 06:22:55.488,1
rccd080314.0061.fits,4U 1735-444,17:38:56.34,-44:27:15.1,2008-03-15,06:28:51.574,2454540.77004,300.0,1.64,I,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,3.0,2454540.77004,2008-03-15 06:28:51.456,1
rccd080314.0062.fits,4U 1735-444,17:38:56.53,-44:27:14.5,2008-03-15,06:34:49.180,2454540.77418,300.0,1.6,V,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,1.0,2454540.77418,2008-03-15 06:34:49.152,1
rccd080318.0081.fits,4U 1735-444,17:38:57.67,-44:27:06.5,2008-03-19,06:24:15.571,2454544.76685,300.0,1.57,B,H,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,0.0,2454544.76685,2008-03-19 06:24:15.840,1
rccd080318.0082.fits,4U 1735-444,17:38:57.79,-44:27:06.8,2008-03-19,06:30:11.725,2454544.77097,300.0,1.54,I,H,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,3.0,2454544.77097,2008-03-19 06:30:11.808,1
rccd080318.0083.fits,4U 1735-444,17:38:58.01,-44:27:06.9,2008-03-19,06:36:09.417,2454544.77511,300.0,1.51,V,H,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,1.0,2454544.77511,2008-03-19 06:36:09.504,1
rccd080319.0095.fits,4U 1735-444,17:38:57.59,-44:27:14.9,2008-03-20,06:30:42.319,2454545.77132,300.0,1.51,B,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,0.0,2454545.77132,2008-03-20 06:30:42.048,1
rccd080319.0096.fits,4U 1735-444,17:38:57.63,-44:27:14.7,2008-03-20,06:36:38.077,2454545.77544,300.0,1.48,I,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,3.0,2454545.77544,2008-03-20 06:36:38.016,1
rccd080319.0097.fits,4U 1735-444,17:38:57.69,-44:27:14.8,2008-03-20,06:42:35.609,2454545.77958,300.0,1.45,V,K,1210,1868,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,1.0,2454545.77958,2008-03-20 06:42:35.712,1
rccd080320.0090.fits,4U 1735-444,17:38:58.98,-44:26:49.0,2008-03-21,07:03:05.837,2454546.79382,300.0,1.35,B,J,1230,1848,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,0.0,2454546.79382,2008-03-21 07:03:06.048,1
rccd080320.0091.fits,4U 1735-444,17:38:58.96,-44:26:48.6,2008-03-21,07:09:01.311,2454546.79794,300.0,1.33,I,J,1230,1848,2020,optical_CD_header_logs/,4U 1735-444,CD,4U 1735-444,True,3.0,2454546.79794,2008-03-21 07:09:02.016,1
