filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir070629.0213.fits,4u 1907+097,19:09:37.91,+09:49:49.9,2007-06-30,06:43:36.966,2454281.78029,30.05,1.4,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78029,2007-06-30 06:43:37.056,1
binir070629.0214.fits,4u 1907+097,19:09:37.90,+09:49:50.1,2007-06-30,06:44:22.136,2454281.78081,30.05,1.4,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78081,2007-06-30 06:44:21.984,1
binir070629.0215.fits,4u 1907+097,19:09:37.90,+09:49:50.2,2007-06-30,06:45:07.626,2454281.78134,30.05,1.41,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78134,2007-06-30 06:45:07.776,1
binir070629.0216.fits,4u 1907+097,19:09:37.90,+09:49:50.3,2007-06-30,06:45:53.103,2454281.78187,30.04,1.41,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78187,2007-06-30 06:45:53.568,1
binir070629.0217.fits,4u 1907+097,19:09:37.89,+09:49:50.4,2007-06-30,06:46:38.224,2454281.78239,30.05,1.41,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78239,2007-06-30 06:46:38.496,1
binir070629.0218.fits,4u 1907+097,19:09:37.87,+09:49:50.4,2007-06-30,06:47:23.594,2454281.78291,30.05,1.41,I,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78291,2007-06-30 06:47:23.424,1
binir070629.0219.fits,4u 1907+097,19:09:37.88,+09:49:50.6,2007-06-30,06:48:08.933,2454281.78344,30.04,1.41,I,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78344,2007-06-30 06:48:09.216,1
binir070629.0220.fits,4u 1907+097,19:09:37.88,+09:50:00.7,2007-06-30,06:51:39.962,2454281.78588,30.05,1.42,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78588,2007-06-30 06:51:40.032,1
binir070629.0221.fits,4u 1907+097,19:09:37.91,+09:50:00.6,2007-06-30,06:52:25.102,2454281.7864,30.04,1.43,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.7864,2007-06-30 06:52:24.960,1
binir070629.0222.fits,4u 1907+097,19:09:37.92,+09:50:00.7,2007-06-30,06:53:10.549,2454281.78693,30.05,1.43,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78693,2007-06-30 06:53:10.752,1
binir070629.0223.fits,4u 1907+097,19:09:37.91,+09:50:00.6,2007-06-30,06:53:55.995,2454281.78746,30.04,1.43,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78746,2007-06-30 06:53:56.544,1
binir070629.0224.fits,4u 1907+097,19:09:37.92,+09:50:00.4,2007-06-30,06:54:41.141,2454281.78798,30.04,1.43,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78798,2007-06-30 06:54:41.472,1
binir070629.0225.fits,4u 1907+097,19:09:37.94,+09:50:00.3,2007-06-30,06:55:26.513,2454281.7885,30.04,1.43,V,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.7885,2007-06-30 06:55:26.400,1
binir070629.0226.fits,4u 1907+097,19:09:37.96,+09:50:00.1,2007-06-30,06:56:11.896,2454281.78903,30.04,1.44,V,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,4U 1907+097,True,1.0,2454281.78903,2007-06-30 06:56:12.192,1
