filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,proper name,in FULL pattern
rccd990911.0058.fits.gz,A0620,06:22:44.53,-00:20:50.2,1999-09-12,08:20:38.3,2451433.8477,660.0,1.8,V,H,A0620-00,5
rccd990911.0059.fits.gz,A0620,06:22:44.55,-00:20:26.8,1999-09-12,08:32:50.8,2451433.8561,660.0,1.7,I,H,A0620-00,5
rccd990911.0060.fits.gz,A0620,06:22:44.58,-00:20:25.8,1999-09-12,08:45:00.1,2451433.8646,660.0,1.61,V,H,A0620-00,5
rccd990911.0061.fits.gz,A0620,06:22:44.56,-00:20:25.0,1999-09-12,08:57:15.2,2451433.8731,660.0,1.53,I,H,A0620-00,5
rccd990911.0062.fits.gz,A0620,06:22:44.70,-00:20:24.2,1999-09-12,09:09:26.5,2451433.8816,660.0,1.46,V,H,A0620-00,5
rccd990911.0063.fits.gz,A0620,06:22:44.76,-00:20:21.8,1999-09-12,09:21:36.1,2451433.89,660.0,1.41,I,H,A0620-00,5
rccd990911.0064.fits.gz,A0620,06:22:44.86,-00:20:21.7,1999-09-12,09:33:46.7,2451433.8985,660.0,1.36,V,H,A0620-00,5
rccd990911.0065.fits.gz,A0620,06:22:44.88,-00:20:19.0,1999-09-12,09:45:57.1,2451433.9069,660.0,1.32,I,H,A0620-00,5
rccd990913.0050.fits.gz,A0620,06:22:44.38,-00:20:45.9,1999-09-14,07:53:37.4,2451435.8289,660.0,2.01,V,H,A0620-00,5
rccd990913.0051.fits.gz,A0620,06:22:44.37,-00:20:45.2,1999-09-14,08:05:47.4,2451435.8374,660.0,1.87,I,H,A0620-00,5
rccd990913.0052.fits.gz,A0620,06:22:44.49,-00:20:15.2,1999-09-14,08:17:55.4,2451435.8458,660.0,1.76,V,H,A0620-00,5
rccd990913.0053.fits.gz,A0620,06:22:44.59,-00:20:15.3,1999-09-14,08:30:05.8,2451435.8542,660.0,1.66,I,H,A0620-00,5
rccd990913.0054.fits.gz,A0620,06:22:44.61,-00:20:13.5,1999-09-14,08:42:15.3,2451435.8627,660.0,1.57,V,H,A0620-00,5
rccd990913.0055.fits.gz,A0620,06:22:44.72,-00:20:12.6,1999-09-14,08:54:27.4,2451435.8712,660.0,1.5,I,H,A0620-00,5
rccd990913.0056.fits.gz,A0620,06:22:44.82,-00:20:10.8,1999-09-14,09:06:39.6,2451435.8796,660.0,1.44,V,H,A0620-00,5
rccd990913.0057.fits.gz,A0620,06:22:44.88,-00:20:10.1,1999-09-14,09:19:36.8,2451435.8886,660.0,1.38,I,H,A0620-00,5
rccd990913.0058.fits.gz,A0620,06:22:44.94,-00:20:08.6,1999-09-14,09:31:47.4,2451435.8971,660.0,1.34,V,H,A0620-00,5
rccd990913.0059.fits.gz,A0620,06:22:45.01,-00:20:07.9,1999-09-14,09:44:12.2,2451435.9057,660.0,1.3,I,H,A0620-00,5
rccd990914.0040.fits.gz,A0620,06:22:44.49,-00:20:19.5,1999-09-15,08:05:18.8,2451436.837,660.0,1.84,V,H,A0620-00,5
rccd990914.0041.fits.gz,A0620,06:22:44.50,-00:20:18.5,1999-09-15,08:17:42.4,2451436.8456,660.0,1.72,I,H,A0620-00,5
rccd990914.0042.fits.gz,A0620,06:22:44.60,-00:20:17.7,1999-09-15,08:30:06.4,2451436.8542,660.0,1.63,V,H,A0620-00,5
rccd990914.0043.fits.gz,A0620,06:22:44.57,-00:20:16.5,1999-09-15,08:42:25.8,2451436.8628,660.0,1.55,I,H,A0620-00,5
rccd990914.0044.fits.gz,A0620,06:22:44.68,-00:20:15.1,1999-09-15,08:54:53.1,2451436.8714,660.0,1.48,V,H,A0620-00,5
rccd990914.0045.fits.gz,A0620,06:22:44.77,-00:20:13.9,1999-09-15,09:07:30.2,2451436.8802,660.0,1.42,I,H,A0620-00,5
rccd990914.0046.fits.gz,A0620,06:22:44.86,-00:20:12.4,1999-09-15,09:19:47.8,2451436.8887,660.0,1.37,V,H,A0620-00,5
rccd990914.0047.fits.gz,A0620,06:22:44.84,-00:20:11.5,1999-09-15,09:35:00.7,2451436.8993,660.0,1.31,I,H,A0620-00,5
rccd990914.0048.fits.gz,A0620,06:22:44.99,-00:20:09.8,1999-09-15,09:47:15.3,2451436.9078,660.0,1.28,V,H,A0620-00,No
rccd990915.0046.fits.gz,A0620,06:22:44.56,-00:20:43.8,1999-09-16,08:12:33.1,2451437.842,660.0,1.73,V,H,A0620-00,5
rccd990915.0047.fits.gz,A0620,06:22:44.64,-00:20:43.5,1999-09-16,08:25:08.1,2451437.8508,660.0,1.64,I,H,A0620-00,5
rccd990915.0048.fits.gz,A0620,06:22:44.58,-00:20:42.2,1999-09-16,08:40:02.1,2451437.8611,660.0,1.54,V,H,A0620-00,5
rccd990915.0049.fits.gz,A0620,06:22:44.61,-00:20:41.0,1999-09-16,08:52:41.3,2451437.8699,660.0,1.47,I,H,A0620-00,5
rccd990915.0050.fits.gz,A0620,06:22:44.64,-00:20:39.5,1999-09-16,09:05:06.1,2451437.8785,660.0,1.41,V,H,A0620-00,5
rccd990915.0051.fits.gz,A0620,06:22:44.75,-00:20:37.7,1999-09-16,09:17:31.0,2451437.8872,660.0,1.36,I,H,A0620-00,5
rccd990915.0052.fits.gz,A0620,06:22:44.75,-00:20:37.0,1999-09-16,09:40:32.2,2451437.9032,660.0,1.29,V,H,A0620-00,5
rccd990915.0053.fits.gz,A0620,06:22:44.79,-00:20:36.9,1999-09-16,09:53:23.5,2451437.9121,660.0,1.25,I,H,A0620-00,5
