filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd990720.0010.fits,Aql X-1,19:11:15.75,+00:35:04.6,1999-07-21,00:37:33.1,2451380.5261,600.0,1.85,V,K,1349.0,2316.0,1891.0,optical_CD_header_logs/,aql X1,CD,Aql X-1,True,1.0,2451380.5261,1999-07-21 00:37:35.040000,No
rccd990720.0011.fits,Aql X-1,19:11:15.75,+00:35:04.4,1999-07-21,00:49:01.0,2451380.534,600.0,1.74,R,K,1349.0,2316.0,1891.0,optical_CD_header_logs/,AqlX1,CD,Aql X-1,True,2.0,2451380.534,1999-07-21 00:48:57.600000,No
rccd990720.0038.fits,Aql X-1,19:11:15.86,+00:35:05.2,1999-07-21,04:37:22.7,2451380.6926,600.0,1.18,R,K,1349.0,2316.0,1891.0,optical_CD_header_logs/,AqlX1,CD,Aql X-1,True,2.0,2451380.6926,1999-07-21 04:37:20.640000,No
rccd990721.0010.fits,Aql X-1,19:11:15.84,+00:35:04.9,1999-07-22,00:23:45.2,2451381.5165,600.0,1.96,V,K,1349.0,2316.0,1891.0,optical_CD_header_logs/,aql X1,CD,Aql X-1,True,1.0,2451381.5165,1999-07-22 00:23:45.600000,No
rccd990721.0011.fits,Aql X-1,19:11:15.78,+00:35:04.7,1999-07-22,00:34:55.5,2451381.5243,600.0,1.84,R,K,1349.0,2316.0,1891.0,optical_CD_header_logs/,AqlX1,CD,Aql X-1,True,2.0,2451381.5243,1999-07-22 00:34:59.520000,No
rccd990721.0038.fits,Aql X-1,19:11:15.88,+00:35:04.6,1999-07-22,04:39:35.5,2451381.6942,600.0,1.18,R,K,1349.0,2316.0,1891.0,optical_CD_header_logs/,AqlX1,CD,Aql X-1,True,2.0,2451381.6942,1999-07-22 04:39:38.880000,No
rccd990722.0010.fits,Aql X-1,19:11:15.90,+00:35:04.8,1999-07-23,00:57:52.4,2451382.5402,600.0,1.61,V,J,1349.0,2316.0,1891.0,optical_CD_header_logs/,aql X1,CD,Aql X-1,True,1.0,2451382.5402,1999-07-23 00:57:53.280000,No
rccd990722.0011.fits,Aql X-1,19:11:15.83,+00:35:05.4,1999-07-23,01:09:09.1,2451382.548,600.0,1.54,R,J,1349.0,2316.0,1891.0,optical_CD_header_logs/,AqlX1,CD,Aql X-1,True,2.0,2451382.548,1999-07-23 01:09:07.200000,No
rccd990722.0038.fits,Aqll X-1,19:11:15.86,+00:35:04.1,1999-07-23,05:03:28.7,2451382.7107,600.0,1.22,R,K,1349.0,2316.0,1891.0,optical_CD_header_logs/,AqlX1,CD,Aql X-1,True,2.0,2451382.7107,1999-07-23 05:03:24.480000,No
rccd990723.0010.fits,Aql X-1,19:11:15.81,+00:35:05.4,1999-07-24,00:41:29.2,2451383.5288,600.0,1.71,V,K,1349.0,2316.0,1891.0,optical_CD_header_logs/,aql X1,CD,Aql X-1,True,1.0,2451383.5288,1999-07-24 00:41:28.320000,No
