filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd170902.0079.fits,AqlX-1,19:11:16.14,+00:35:04.8,2017-09-03,03:15:55.627,2457999.63606,600.0,1.38,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170902.0078.fits,AqlX-1,19:11:16.05,+00:35:05.8,2017-09-03,03:03:20.796,2457999.62732,600.0,1.34,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170902.0077.fits,AqlX-1,19:11:16.02,+00:35:06.1,2017-09-03,02:57:33.113,2457999.6233,300.0,1.32,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170831.0053.fits,AqlX-1,19:11:16.08,+00:35:04.5,2017-09-01,02:57:30.222,2457997.62327,600.0,1.3,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170831.0052.fits,AqlX-1,19:11:16.00,+00:35:06.0,2017-09-01,02:51:42.830,2457997.61925,300.0,1.28,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170901.0085.fits,AqlX-1,19:11:16.00,+00:35:06.1,2017-09-02,02:26:28.856,2457998.60172,300.0,1.23,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170901.0087.fits,AqlX-1,19:11:16.07,+00:35:02.3,2017-09-02,02:44:51.531,2457998.61448,600.0,1.27,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170901.0086.fits,AqlX-1,19:11:16.04,+00:35:05.2,2017-09-02,02:32:16.919,2457998.60575,600.0,1.25,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170904.0071.fits,AqlX-1,19:11:16.11,+00:35:00.7,2017-09-05,02:29:24.199,2458001.60375,600.0,1.27,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170904.0070.fits,AqlX-1,19:11:16.10,+00:35:03.5,2017-09-05,02:16:49.471,2458001.59502,600.0,1.24,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170903.0061.fits,AqlX-1,19:11:16.01,+00:35:06.6,2017-09-04,02:32:29.324,2458000.6059,300.0,1.26,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170903.0062.fits,AqlX-1,19:11:16.02,+00:35:07.0,2017-09-04,02:38:16.484,2458000.60991,600.0,1.28,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170903.0063.fits,AqlX-1,19:11:16.22,+00:35:06.2,2017-09-04,02:50:50.941,2458000.61864,600.0,1.31,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170904.0069.fits,AqlX-1,19:11:16.00,+00:35:05.8,2017-09-05,02:11:01.647,2458001.59099,300.0,1.23,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170831.0054.fits,AqlX-1,19:11:16.21,+00:35:03.7,2017-09-01,03:10:04.656,2457997.632,600.0,1.33,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170826.0087.fits,AqlX-1,19:11:16.01,+00:35:05.9,2017-08-27,02:46:30.928,2457992.61565,300.0,1.23,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170826.0088.fits,AqlX-1,19:11:16.09,+00:35:03.6,2017-08-27,02:52:18.849,2457992.61967,600.0,1.24,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170826.0089.fits,AqlX-1,19:11:16.14,+00:35:01.1,2017-08-27,03:04:53.290,2457992.62841,600.0,1.27,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170822.0093.fits,AqlX-1,19:11:16.18,+00:35:06.6,2017-08-23,02:59:04.265,2457988.62436,600.0,1.22,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170823.0113.fits,AqlX-1,19:11:16.10,+00:35:02.9,2017-08-24,03:07:09.112,2457989.62996,600.0,1.24,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170823.0112.fits,AqlX-1,19:11:16.00,+00:35:05.3,2017-08-24,02:54:34.451,2457989.62123,600.0,1.22,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170823.0111.fits,AqlX-1,19:11:16.00,+00:35:06.0,2017-08-24,02:48:46.730,2457989.6172,300.0,1.21,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170827.0070.fits,AqlX-1,19:11:16.00,+00:35:05.8,2017-08-28,02:15:28.305,2457993.59409,300.0,1.19,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170827.0071.fits,AqlX-1,19:11:16.05,+00:35:05.6,2017-08-28,02:21:15.748,2457993.59811,600.0,1.2,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170829.0064.fits,AqlX-1,19:11:16.03,+00:35:05.8,2017-08-30,02:23:42.783,2457995.59979,600.0,1.21,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170829.0065.fits,AqlX-1,19:11:16.09,+00:35:04.1,2017-08-30,02:36:17.224,2457995.60852,600.0,1.23,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170830.0048.fits,AqlX-1,19:11:16.00,+00:35:05.9,2017-08-31,02:36:34.946,2457996.60874,300.0,1.24,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170830.0049.fits,AqlX-1,19:11:15.97,+00:35:06.8,2017-08-31,02:42:22.736,2457996.61276,600.0,1.25,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170830.0050.fits,AqlX-1,19:11:15.94,+00:35:06.4,2017-08-31,02:54:57.460,2457996.6215,600.0,1.28,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170829.0063.fits,AqlX-1,19:11:16.00,+00:35:06.5,2017-08-30,02:17:55.664,2457995.59578,300.0,1.2,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170827.0072.fits,AqlX-1,19:11:16.16,+00:35:04.9,2017-08-28,02:33:50.356,2457993.60685,600.0,1.21,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170828.0075.fits,AqlX-1,19:11:15.99,+00:35:05.8,2017-08-29,02:35:11.389,2457994.60779,300.0,1.22,R,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170828.0076.fits,AqlX-1,19:11:16.06,+00:35:04.3,2017-08-29,02:40:58.500,2457994.61181,600.0,1.23,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170828.0077.fits,AqlX-1,19:11:16.16,+00:35:02.3,2017-08-29,02:53:33.157,2457994.62054,600.0,1.26,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170915.0068.fits,AqlX-1,19:11:16.21,+00:35:01.6,2017-09-16,02:51:50.041,2458012.61933,600.0,1.51,V,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
rccd170915.0067.fits,AqlX-1,19:11:16.00,+00:35:05.5,2017-09-16,02:39:15.357,2458012.6106,600.0,1.45,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,AqlX-1,True,optical
