filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd150615.0022.fits,BWCir,13:58:09.70,-64:44:05.4,2015-06-15,23:44:37.815,2457189.48932,320.0,1.25,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150601ThruEnd/20150615/ccd/processed/rccd150615.0022.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150601ThruEnd/20150615/ccd/processed/rccd150615.0022.fits,BWCir,True,optical
rccd150622.0049.fits,BWCir,13:58:09.75,-64:44:05.2,2015-06-23,02:50:32.328,2457196.61842,320.0,1.31,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150601ThruEnd/20150622/ccd/processed/rccd150622.0049.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150601ThruEnd/20150622/ccd/processed/rccd150622.0049.fits,BWCir,True,optical
rccd150620.0020.fits,BWCir,13:58:09.70,-64:44:05.1,2015-06-20,23:38:58.668,2457194.4854,320.0,1.24,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150601ThruEnd/20150620/ccd/processed/rccd150620.0020.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150601ThruEnd/20150620/ccd/processed/rccd150620.0020.fits,BWCir,True,optical
rccd150618.0032.fits,BWCir,13:58:09.70,-64:44:05.6,2015-06-18,23:57:50.044,2457192.49849,320.0,1.23,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150601ThruEnd/20150618/ccd/processed/rccd150618.0032.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150601ThruEnd/20150618/ccd/processed/rccd150618.0032.fits,BWCir,True,optical
rccd150627.0051.fits,BWCir,13:58:09.74,-64:44:04.9,2015-06-28,02:51:53.612,2457201.61937,320.0,1.34,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150601ThruEnd/20150627/ccd/processed/rccd150627.0051.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150601ThruEnd/20150627/ccd/processed/rccd150627.0051.fits,BWCir,True,optical
rccd150616.0028.fits,BWCir,13:58:09.74,-64:44:05.1,2015-06-17,00:20:41.257,2457190.51436,320.0,1.22,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150601ThruEnd/20150616/ccd/processed/rccd150616.0028.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150601ThruEnd/20150616/ccd/processed/rccd150616.0028.fits,BWCir,True,optical
rccd150629.0046.fits,BWCir,13:58:09.72,-64:44:05.2,2015-06-30,01:49:10.535,2457203.57582,320.0,1.27,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150601ThruEnd/20150629/ccd/processed/rccd150629.0046.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150601ThruEnd/20150629/ccd/processed/rccd150629.0046.fits,BWCir,True,optical
rccd150701.0007.fits,BWCir,13:58:09.71,-64:44:05.3,2015-07-01,23:13:11.552,2457205.46749,320.0,1.23,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150701ThruEnd/20150701/ccd/processed/rccd150701.0007.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150701ThruEnd/20150701/ccd/processed/rccd150701.0007.fits,BWCir,True,optical
rccd150704.0045.fits,BWCir,13:58:09.72,-64:44:05.2,2015-07-05,02:19:07.597,2457208.59661,320.0,1.33,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150701ThruEnd/20150704/ccd/processed/rccd150704.0045.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150701ThruEnd/20150704/ccd/processed/rccd150704.0045.fits,BWCir,True,optical
rccd150707.0047.fits,BWCir,13:58:09.73,-64:44:05.2,2015-07-08,02:08:37.707,2457211.58932,320.0,1.34,R,H,1040,1590,1960,usbdrivescrapelog_BWCir.csv,/USB3/archive/20150701ThruEnd/20150707/ccd/processed/rccd150707.0047.fits,,Data scrape,DD-15A-0001,/USB3/archive/20150701ThruEnd/20150707/ccd/processed/rccd150707.0047.fits,BWCir,True,optical
