filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
ir090113.0054,CAL 83,05:43:32.9,-68:22:25,2009-01-14,03:17:04.6,2454845.6369,25.1,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090116.0035,CAL 83,05:43:26.9,-68:22:36,2009-01-17,02:01:43.6,2454848.5845,25.1,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090116.0034,CAL 83,05:43:27.0,-68:22:36,2009-01-17,02:00:33.0,2454848.5837,25.1,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090116.0033,CAL 83,05:43:27.0,-68:22:37,2009-01-17,01:59:22.6,2454848.5829,25.1,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090115.0057,CAL 83,05:43:27.0,-68:22:28,2009-01-16,02:37:14.0,2454847.6092,25.0,1.28,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090115.0056,CAL 83,05:43:27.1,-68:22:29,2009-01-16,02:36:03.2,2454847.6084,25.1,1.28,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090115.0055,CAL 83,05:43:27.2,-68:22:29,2009-01-16,02:34:52.9,2454847.6076,25.1,1.28,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090114.0053,CAL 83,05:43:32.3,-68:22:19,2009-01-15,04:09:53.9,2454846.6735,25.0,1.31,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090114.0052,CAL 83,05:43:32.3,-68:22:19,2009-01-15,04:08:43.1,2454846.6727,25.0,1.31,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090114.0051,CAL 83,05:43:32.5,-68:22:20,2009-01-15,04:07:32.9,2454846.6719,25.0,1.31,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090113.0056,CAL 83,05:43:32.8,-68:22:25,2009-01-14,03:19:25.6,2454845.6385,25.0,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090113.0055,CAL 83,05:43:32.8,-68:22:25,2009-01-14,03:18:14.9,2454845.6377,25.1,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0165,CAL 83,05:43:33.0,-68:22:19,2009-01-07,04:27:54.4,2454838.6861,25.1,1.3,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090103.0185,CAL 83,05:43:32.3,-68:22:44,2009-01-04,06:51:50.3,2454835.786,25.0,1.5,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0164,CAL 83,05:43:33.0,-68:22:19,2009-01-07,04:26:43.7,2454838.6852,25.0,1.3,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0163,CAL 83,05:43:32.9,-68:22:19,2009-01-07,04:25:33.0,2454838.6844,25.1,1.3,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0162,CAL 83,05:43:32.9,-68:22:20,2009-01-07,04:23:20.3,2454838.6829,25.1,1.3,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0161,CAL 83,05:43:32.9,-68:22:19,2009-01-07,04:22:09.5,2454838.6821,25.0,1.29,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0160,CAL 83,05:43:32.9,-68:22:20,2009-01-07,04:20:59.2,2454838.6812,25.0,1.29,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0159,CAL 83,05:43:32.9,-68:22:20,2009-01-07,04:18:46.7,2454838.6797,25.0,1.29,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0158,CAL 83,05:43:32.9,-68:22:20,2009-01-07,04:17:36.0,2454838.6789,25.0,1.29,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0157,CAL 83,05:43:32.9,-68:22:19,2009-01-07,04:16:25.4,2454838.6781,25.1,1.29,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0156,CAL 83,05:43:32.9,-68:22:19,2009-01-07,04:14:12.9,2454838.6765,25.0,1.29,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0155,CAL 83,05:43:33.0,-68:22:19,2009-01-07,04:13:02.0,2454838.6757,25.0,1.29,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090106.0154,CAL 83,05:43:33.1,-68:22:20,2009-01-07,04:11:51.6,2454838.6749,25.1,1.29,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
irir090117.0077,CAL 83,05:43:25.5,-68:22:26,2009-01-18,04:12:25.4,2454849.6753,25.0,1.32,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
irir090117.0078,CAL 83,05:43:25.4,-68:22:25,2009-01-18,04:13:35.7,2454849.6761,25.0,1.32,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
irir090117.0079,CAL 83,05:43:25.4,-68:22:25,2009-01-18,04:14:46.4,2454849.6769,25.1,1.32,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090118.0057,CAL 83,05:43:26.3,-68:22:37,2009-01-19,02:52:00.8,2454850.6195,25.1,1.28,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090125.0064,CAL 83,05:43:33.0,-68:22:16,2009-01-26,05:07:15.5,2454857.7134,25.1,1.45,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090125.0063,CAL 83,05:43:33.1,-68:22:16,2009-01-26,05:06:04.6,2454857.7126,25.1,1.45,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090125.0062,CAL 83,05:43:33.3,-68:22:17,2009-01-26,05:04:54.4,2454857.7117,25.1,1.45,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090125.0045,CAL 83,05:43:31.8,-68:22:20,2009-01-26,04:31:59.0,2454857.6889,25.0,1.39,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090125.0044,CAL 83,05:43:31.9,-68:22:21,2009-01-26,04:30:48.1,2454857.6881,25.1,1.39,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090125.0043,CAL 83,05:43:32.0,-68:22:21,2009-01-26,04:29:37.7,2454857.6872,25.0,1.38,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090124.0034,CAL 83,05:43:33.2,-68:22:20,2009-01-25,02:24:57.4,2454856.6007,25.1,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090124.0033,CAL 83,05:43:33.2,-68:22:20,2009-01-25,02:23:46.6,2454856.5998,25.0,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090124.0032,CAL 83,05:43:33.2,-68:22:21,2009-01-25,02:22:36.2,2454856.599,25.1,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090123.0197,CAL 83,05:43:33.5,-68:22:16,2009-01-24,04:34:51.1,2454855.6909,25.0,1.38,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090123.0196,CAL 83,05:43:33.5,-68:22:17,2009-01-24,04:33:40.2,2454855.69,25.1,1.38,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090123.0195,CAL 83,05:43:33.6,-68:22:17,2009-01-24,04:32:29.7,2454855.6892,25.1,1.38,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090122.0186,CAL 83,05:43:34.3,-68:22:16,2009-01-23,04:35:16.1,2454854.6912,25.0,1.38,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090122.0185,CAL 83,05:43:34.4,-68:22:17,2009-01-23,04:34:05.4,2454854.6903,25.0,1.37,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090122.0184,CAL 83,05:43:34.4,-68:22:17,2009-01-23,04:32:55.0,2454854.6895,25.0,1.37,J,J,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090120.0052,CAL 83,05:43:26.0,-68:22:37,2009-01-21,02:43:04.5,2454852.6132,25.1,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090120.0051,CAL 83,05:43:26.0,-68:22:37,2009-01-21,02:41:53.9,2454852.6124,25.0,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090120.0050,CAL 83,05:43:26.1,-68:22:37,2009-01-21,02:40:43.5,2454852.6116,25.1,1.28,K,K,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090119.0143,CAL 83,05:43:26.0,-68:22:32,2009-01-20,03:42:51.2,2454851.6548,25.0,1.3,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090119.0142,CAL 83,05:43:26.0,-68:22:32,2009-01-20,03:41:40.5,2454851.6539,25.1,1.3,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
ir090119.0141,CAL 83,05:43:26.1,-68:22:33,2009-01-20,03:40:30.1,2454851.6531,25.1,1.3,H,H,,,,usbdrivereplog_Cal83.csv,,,Data replog,,,Cal83,True,IR
