filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir070701.0047.fits,Cen X-3,11:21:15.74,-60:37:22.5,2007-07-02,01:53:05.839,2454283.57854,25.05,1.66,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.57854,2007-07-02 01:53:05.856,1
binir070701.0048.fits,Cen X-3,11:21:15.73,-60:37:22.3,2007-07-02,01:53:46.674,2454283.57901,25.04,1.66,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.57901,2007-07-02 01:53:46.464,1
binir070701.0049.fits,Cen X-3,11:21:15.71,-60:37:22.5,2007-07-02,01:54:27.342,2454283.57948,25.04,1.66,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.57948,2007-07-02 01:54:27.072,1
binir070701.0050.fits,Cen X-3,11:21:15.72,-60:37:22.3,2007-07-02,01:55:08.221,2454283.57995,25.04,1.67,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.57995,2007-07-02 01:55:07.680,1
binir070701.0051.fits,Cen X-3,11:21:15.73,-60:37:22.4,2007-07-02,01:55:48.913,2454283.58042,25.04,1.67,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.58042,2007-07-02 01:55:48.288,1
binir070701.0052.fits,Cen X-3,11:21:15.69,-60:37:12.1,2007-07-02,01:57:26.991,2454283.58156,25.05,1.68,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.58156,2007-07-02 01:57:26.784,1
binir070701.0053.fits,Cen X-3,11:21:15.67,-60:37:12.5,2007-07-02,01:58:07.777,2454283.58203,25.04,1.68,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.58203,2007-07-02 01:58:07.392,1
binir070701.0054.fits,Cen X-3,11:21:15.62,-60:37:12.9,2007-07-02,01:58:48.892,2454283.58251,25.04,1.69,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.58251,2007-07-02 01:58:48.864,1
binir070701.0055.fits,Cen X-3,11:21:15.63,-60:37:13.2,2007-07-02,01:59:30.177,2454283.58298,25.04,1.69,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.58298,2007-07-02 01:59:29.472,1
binir070701.0056.fits,Cen X-3,11:21:15.61,-60:37:13.1,2007-07-02,02:00:10.644,2454283.58345,25.05,1.69,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cen X-3,True,1.0,2454283.58345,2007-07-02 02:00:10.080,1
