filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd070701.0026.fits,Cen X-3,11:21:15.68,-60:37:12.3,2007-07-02,01:57:29.194,2454283.58158,180.0,1.68,V,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,CenX-3,True,optical
rccd070701.0025.fits,Cen X-3,11:21:15.75,-60:37:22.5,2007-07-02,01:53:08.059,2454283.57856,180.0,1.66,I,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,CenX-3,True,optical
ir070701.0050,Cen X-3,11:21:15.7,-60:37:22,2007-07-02,01:55:08.2,2454283.58,25.0,1.67,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
ir070701.0049,Cen X-3,11:21:15.7,-60:37:22,2007-07-02,01:54:27.3,2454283.5795,25.0,1.66,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
ir070701.0048,Cen X-3,11:21:15.7,-60:37:22,2007-07-02,01:53:46.6,2454283.579,25.0,1.66,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
ir070701.0047,Cen X-3,11:21:15.7,-60:37:22,2007-07-02,01:53:05.8,2454283.5785,25.1,1.66,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
ir070701.0051,Cen X-3,11:21:15.7,-60:37:22,2007-07-02,01:55:48.9,2454283.5804,25.0,1.67,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
ir070701.0052,Cen X-3,11:21:15.6,-60:37:12,2007-07-02,01:57:26.9,2454283.5816,25.1,1.68,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
ir070701.0053,Cen X-3,11:21:15.6,-60:37:12,2007-07-02,01:58:07.7,2454283.582,25.0,1.68,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
ir070701.0054,Cen X-3,11:21:15.6,-60:37:12,2007-07-02,01:58:48.8,2454283.5825,25.0,1.69,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
ir070701.0056,Cen X-3,11:21:15.6,-60:37:13,2007-07-02,02:00:10.6,2454283.5834,25.1,1.69,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
ir070701.0055,Cen X-3,11:21:15.6,-60:37:13,2007-07-02,01:59:30.1,2454283.583,25.0,1.69,J,J,,,,missingreplog_CenX-3.csv,,,Data replog,,,CenX-3,True,IR
binir070701.0053.fits,Cen X-3,11:21:15.67,-60:37:12.5,2007-07-02,01:58:07.777,2454283.58203,25.04,1.68,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
binir070701.0056.fits,Cen X-3,11:21:15.61,-60:37:13.1,2007-07-02,02:00:10.644,2454283.58345,25.05,1.69,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
binir070701.0055.fits,Cen X-3,11:21:15.63,-60:37:13.2,2007-07-02,01:59:30.177,2454283.58298,25.04,1.69,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
binir070701.0054.fits,Cen X-3,11:21:15.62,-60:37:12.9,2007-07-02,01:58:48.892,2454283.58251,25.04,1.69,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
binir070701.0052.fits,Cen X-3,11:21:15.69,-60:37:12.1,2007-07-02,01:57:26.991,2454283.58156,25.05,1.68,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
binir070701.0051.fits,Cen X-3,11:21:15.73,-60:37:22.4,2007-07-02,01:55:48.913,2454283.58042,25.04,1.67,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
binir070701.0050.fits,Cen X-3,11:21:15.72,-60:37:22.3,2007-07-02,01:55:08.221,2454283.57995,25.04,1.67,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
binir070701.0049.fits,Cen X-3,11:21:15.71,-60:37:22.5,2007-07-02,01:54:27.342,2454283.57948,25.04,1.66,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
binir070701.0048.fits,Cen X-3,11:21:15.73,-60:37:22.3,2007-07-02,01:53:46.674,2454283.57901,25.04,1.66,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
binir070701.0047.fits,Cen X-3,11:21:15.74,-60:37:22.5,2007-07-02,01:53:05.839,2454283.57854,25.05,1.66,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,CenX-3,True,IR
