filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
ir010322.K_ON.fits,K Dome Flat Lights ON,03:34:58.77,+14:59:38.2,2001-03-22,20:16:42.5,2451991.3449,4.01,1.41,R,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,3.0,2451991.3449,2001-03-22 20:16:39.360,No
ir010322.K_OFF.fits,K Dome Flat Lights OFF,04:18:42.93,+14:59:40.7,2001-03-22,21:00:19.7,2451991.3752,4.01,1.41,R,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,3.0,2451991.3752,2001-03-22 21:00:17.280,No
ir010323.flath.fits,H Dome Flat Lights ON,02:09:44.68,+14:59:32.5,2001-03-23,18:47:46.9,2451992.2832,4.01,1.41,V,H,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,2.0,2451992.2832,2001-03-23 18:47:48.480,1
ir010323.H_ON.fits,H Dome Flat Lights ON,02:09:44.68,+14:59:32.5,2001-03-23,18:47:46.9,2451992.2832,4.01,1.41,V,H,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,2.0,2451992.2832,2001-03-23 18:47:48.480,1
ir010323flath.0002.fits,H Dome Flat Lights ON,02:11:10.93,+14:59:32.5,2001-03-23,18:49:12.9,2451992.2842,4.01,1.41,V,H,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,2.0,2451992.2842,2001-03-23 18:49:14.880,1
ir010323flath.0003.fits,H Dome Flat Lights ON,02:12:37.04,+14:59:32.5,2001-03-23,18:50:38.7,2451992.2852,4.01,1.41,V,H,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,2.0,2451992.2852,2001-03-23 18:50:41.280,1
ir010323.flatk.fits,K Dome Flat Lights ON,02:24:27.46,+14:59:32.9,2001-03-23,19:02:27.3,2451992.2934,4.01,1.41,V,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,3.0,2451992.2934,2001-03-23 19:02:29.760,No
ir010323.K_ON.fits,K Dome Flat Lights ON,02:24:27.46,+14:59:32.9,2001-03-23,19:02:27.3,2451992.2934,4.01,1.41,V,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,3.0,2451992.2934,2001-03-23 19:02:29.760,No
ir010323.H_OFF.fits,H Dome Flat Lights OFF,02:53:49.74,+14:59:34.0,2001-03-23,19:31:44.9,2451992.3137,4.01,1.41,V,H,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,2.0,2451992.3137,2001-03-23 19:31:43.680,No
ir010323.K_OFF.fits,K Dome Flat Lights OFF,03:08:24.69,+14:59:34.6,2001-03-23,19:46:17.5,2451992.3238,4.01,1.41,V,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,3.0,2451992.3238,2001-03-23 19:46:16.320,No
ir010323nickhon.0001.fits,"Dome H On, Dither=2/40",03:32:01.12,+14:59:35.7,2001-03-23,20:09:50.2,2451992.3402,4.01,1.41,V,H,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,2.0,2451992.3402,2001-03-23 20:09:53.280,No
ir010323nickhon.0002.fits,"Dome H On, Dither=2/40",03:33:30.51,+14:59:35.8,2001-03-23,20:11:19.4,2451992.3412,4.01,1.41,V,H,1320.0,2265.0,1820.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,2.0,2451992.3412,2001-03-23 20:11:19.680,No
ir010323nickkon.0001.fits,"Dome K On, Dither=2/40",03:36:55.10,+14:59:36.0,2001-03-23,20:14:43.4,2451992.3436,4.01,1.41,V,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_Cen X-4.20010322thru20010522.csv,IR_CD_header_logs/,Cen X-4,CD,,Cen X-4,True,3.0,2451992.3436,2001-03-23 20:14:47.040,No
