filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd010112.0068.fits,Cen X-4,14:58:22.08,-31:39:34.6,2001-01-13,07:28:07.3,2451922.8112,900.0,1.97,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451922.8112,2001-01-13 07:28:07.680,No
rccd010112.0069.fits,Cen X-4,14:58:22.20,-31:39:33.0,2001-01-13,07:45:25.8,2451922.8232,900.0,1.79,V,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451922.8232,2001-01-13 07:45:24.480,No
rccd010114.0062.fits,Cen X-4,14:58:21.92,-31:40:00.3,2001-01-15,07:48:41.1,2451924.8255,900.0,1.69,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451924.8255,2001-01-15 07:48:43.200,No
rccd010114.0063.fits,Cen X-4,14:58:21.92,-31:39:59.8,2001-01-15,08:07:10.5,2451924.8383,900.0,1.55,I,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,3.0,2451924.8383,2001-01-15 08:07:09.120,2
rccd010116.0075.fits,Cen X-4,14:58:22.19,-31:40:07.6,2001-01-17,07:53:59.5,2451926.8292,900.0,1.59,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451926.8292,2001-01-17 07:54:02.880,2
rccd010116.0076.fits,Cen X-4,14:58:22.08,-31:39:54.4,2001-01-17,08:10:33.8,2451926.8407,900.0,1.48,I,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,3.0,2451926.8407,2001-01-17 08:10:36.480,No
rccd010118.0069.fits,Cen X-4,14:58:21.81,-31:40:07.5,2001-01-19,07:56:11.6,2451928.8307,900.0,1.52,I,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,3.0,2451928.8307,2001-01-19 07:56:12.480,2
rccd010120.0087.fits,Cen X-4,14:58:21.86,-31:40:06.5,2001-01-21,07:53:33.4,2451930.8289,900.0,1.49,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451930.8289,2001-01-21 07:53:36.960,2
rccd010120.0088.fits,Cen X-4,14:58:21.89,-31:40:04.8,2001-01-21,08:10:07.5,2451930.8404,900.0,1.4,I,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,3.0,2451930.8404,2001-01-21 08:10:10.560,2
rccd010122.0071.fits,Cen X-4,14:58:22.02,-31:40:08.0,2001-01-23,07:05:47.8,2451932.7957,900.0,1.79,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451932.7957,2001-01-23 07:05:48.480,2
rccd010122.0072.fits,Cen X-4,14:58:21.95,-31:40:06.2,2001-01-23,07:30:54.0,2451932.8131,900.0,1.58,I,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,3.0,2451932.8131,2001-01-23 07:30:51.840,2
rccd010124.0067.fits,Cen X-4,14:58:22.03,-31:40:08.3,2001-01-25,07:19:55.8,2451934.8055,900.0,1.61,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451934.8055,2001-01-25 07:19:55.200,2
rccd010124.0068.fits,Cen X-4,14:58:22.00,-31:39:36.3,2001-01-25,07:38:11.7,2451934.8182,900.0,1.49,I,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,3.0,2451934.8182,2001-01-25 07:38:12.480,2
rccd010128.0063.fits,Cen X-4,14:58:20.65,-31:40:04.2,2001-01-29,06:59:15.4,2451938.7911,900.0,1.64,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451938.7911,2001-01-29 06:59:11.040,2
rccd010128.0064.fits,Cen X-4,14:58:20.56,-31:39:44.4,2001-01-29,07:15:46.5,2451938.8026,900.0,1.53,I,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,3.0,2451938.8026,2001-01-29 07:15:44.640,2
rccd010130.0065.fits,Cen X-4,14:58:22.04,-31:40:07.8,2001-01-31,07:23:40.5,2451940.8081,900.0,1.44,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451940.8081,2001-01-31 07:23:39.840,2
rccd010130.0066.fits,Cen X-4,14:58:22.17,-31:40:03.4,2001-01-31,07:40:13.5,2451940.8196,900.0,1.35,I,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,3.0,2451940.8196,2001-01-31 07:40:13.440,2
rccd010131.0057.fits,Cen X-4,14:58:21.23,-31:40:07.3,2001-02-01,07:08:02.7,2451941.7973,900.0,1.5,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451941.7973,2001-02-01 07:08:06.720,2
rccd010131.0058.fits,Cen X-4,14:58:21.23,-31:40:05.5,2001-02-01,07:26:26.3,2451941.81,900.0,1.4,I,K,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,3.0,2451941.81,2001-02-01 07:26:24.000,2
rccd010201.0033.fits,Cen X-4,14:58:22.04,-31:40:09.8,2001-02-02,06:00:42.5,2451942.7505,900.0,2.08,V,H,1320.0,2225.0,1860.0,optical_CD_header_logs/,MULTI_wCen-1 wCen-2 Cen X-1 Cen X-4,CD,Cen X-4,True,1.0,2451942.7505,2001-02-02 06:00:43.200,2
