filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd150223.0073.fits,Cir X-1,15:20:40.88,-57:10:00.0,2015-02-24,06:33:20.206,2457077.77315,540.0,1.37,V,K,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd150223.0074.fits,Cir X-1,15:20:40.43,-57:10:00.2,2015-02-24,06:43:08.129,2457077.77995,540.0,1.34,V,K,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd150213.0074.fits,Cir X-1,15:20:41.04,-57:10:02.6,2015-02-14,06:45:15.706,2457067.78144,540.0,1.46,V,K,1010,1590,1990,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd150213.0073.fits,Cir X-1,15:20:40.89,-57:10:00.3,2015-02-14,06:35:28.371,2457067.77464,540.0,1.5,V,K,1010,1590,1990,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd150217.0083.fits,Cir X-1,15:20:40.96,-57:10:01.2,2015-02-18,06:05:37.949,2457071.75391,540.0,1.55,V,K,950,1460,2180,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd150217.0082.fits,Cir X-1,15:20:40.84,-57:10:00.9,2015-02-18,05:55:50.350,2457071.74711,540.0,1.6,V,K,950,1460,2180,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd150206.0077.fits,Cir X-1,15:20:41.35,-57:10:00.5,2015-02-07,07:18:30.421,2457060.80452,540.0,1.44,V,K,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd150206.0076.fits,Cir X-1,15:20:40.95,-57:09:59.3,2015-02-07,07:08:42.098,2457060.79771,540.0,1.47,V,K,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd150209.0081.fits,Cir X-1,15:20:40.97,-57:10:00.7,2015-02-10,08:05:52.258,2457063.83741,540.0,1.28,V,K,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd150209.0082.fits,Cir X-1,15:20:41.19,-57:10:00.6,2015-02-10,08:15:40.094,2457063.84421,540.0,1.26,V,K,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,CirX-1,True,optical
rccd070704.0028.fits,Cir X-1,15:20:40.27,-57:09:47.4,2007-07-05,01:04:04.025,2454286.54449,600.0,1.12,V,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,CirX-1,True,optical
rccd070704.0027.fits,Cir X-1,15:20:40.36,-57:09:59.2,2007-07-05,00:53:13.601,2454286.53696,600.0,1.13,V,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,CirX-1,True,optical
rccd070630.0034.fits,Cir X-1,15:20:40.88,-57:10:00.8,2007-07-01,02:37:42.384,2454282.60951,600.0,1.15,V,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,CirX-1,True,optical
rccd070630.0035.fits,Cir X-1,15:20:40.50,-57:09:46.7,2007-07-01,02:48:33.119,2454282.61705,600.0,1.16,V,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,CirX-1,True,optical
rccd140226.0061.fits,Cir X-1,15:20:40.87,-57:10:00.2,2014-02-27,07:36:19.972,2456715.8169,540.0,1.21,V,K,1040,1590,1960,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,CirX-1,True,optical
rccd140226.0062.fits,Cir X-1,15:20:40.88,-57:09:58.6,2014-02-27,07:46:09.954,2456715.82372,540.0,1.2,V,K,1040,1590,1960,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,CirX-1,True,optical
rccd170423.0089.fits,Cir X-1,15:20:40.85,-57:10:00.0,2017-04-24,06:05:49.133,2457867.75404,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170401ThruEnd/20170423/ccd/processed/rccd170423.0089.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170401ThruEnd/20170423/ccd/processed/rccd170423.0089.fits,CirX-1,True,optical
rccd170527.0033.fits,Cir X-1,15:20:40.86,-57:10:00.0,2017-05-28,01:32:55.868,2457901.56453,600.0,1.22,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170527/ccd/processed/rccd170527.0033.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170527/ccd/processed/rccd170527.0033.fits,CirX-1,True,optical
rccd170505.0073.fits,Cir X-1,15:20:40.84,-57:10:00.1,2017-05-06,03:17:28.471,2457879.63714,600.0,1.19,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170505/ccd/processed/rccd170505.0073.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170505/ccd/processed/rccd170505.0073.fits,CirX-1,True,optical
rccd170513.0064.fits,Cir X-1,15:20:40.85,-57:09:59.8,2017-05-14,03:07:20.787,2457887.6301,600.0,1.17,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170513/ccd/processed/rccd170513.0064.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170513/ccd/processed/rccd170513.0064.fits,CirX-1,True,optical
rccd170501.0067.fits,Cir X-1,15:20:40.84,-57:09:59.5,2017-05-02,04:30:18.923,2457875.68772,600.0,1.14,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170501/ccd/processed/rccd170501.0067.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170501/ccd/processed/rccd170501.0067.fits,CirX-1,True,optical
rccd170531.0058.fits,Cir X-1,15:20:40.82,-57:09:59.5,2017-06-01,01:26:18.920,2457905.55994,600.0,1.21,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170531/ccd/processed/rccd170531.0058.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170531/ccd/processed/rccd170531.0058.fits,CirX-1,True,optical
rccd170504.0083.fits,Cir X-1,15:20:40.85,-57:09:59.7,2017-05-05,05:15:59.521,2457878.71944,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170504/ccd/processed/rccd170504.0083.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170504/ccd/processed/rccd170504.0083.fits,CirX-1,True,optical
rccd170515.0052.fits,Cir X-1,15:20:40.81,-57:10:00.1,2017-05-16,02:05:23.078,2457889.58707,600.0,1.25,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170515/ccd/processed/rccd170515.0052.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170515/ccd/processed/rccd170515.0052.fits,CirX-1,True,optical
rccd170509.0057.fits,Cir X-1,15:20:40.83,-57:10:00.1,2017-05-10,02:30:14.630,2457883.60434,600.0,1.24,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170509/ccd/processed/rccd170509.0057.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170509/ccd/processed/rccd170509.0057.fits,CirX-1,True,optical
rccd170508.0050.fits,Cir X-1,15:20:40.83,-57:10:00.0,2017-05-09,02:26:07.805,2457882.60148,600.0,1.26,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170508/ccd/processed/rccd170508.0050.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170508/ccd/processed/rccd170508.0050.fits,CirX-1,True,optical
rccd170425.0091.fits,Cir X-1,15:20:40.85,-57:10:00.0,2017-04-26,05:59:30.112,2457869.74966,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170401ThruEnd/20170425/ccd/processed/rccd170425.0091.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170401ThruEnd/20170425/ccd/processed/rccd170425.0091.fits,CirX-1,True,optical
rccd170516.0037.fits,Cir X-1,15:20:40.85,-57:10:00.0,2017-05-17,02:40:40.188,2457890.61158,600.0,1.19,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170516/ccd/processed/rccd170516.0037.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170516/ccd/processed/rccd170516.0037.fits,CirX-1,True,optical
rccd170521.0051.fits,Cir X-1,15:20:40.83,-57:10:00.1,2017-05-22,02:34:32.584,2457895.60732,600.0,1.17,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170521/ccd/processed/rccd170521.0051.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170521/ccd/processed/rccd170521.0051.fits,CirX-1,True,optical
rccd170519.0077.fits,Cir X-1,15:20:40.85,-57:10:00.1,2017-05-20,04:30:29.029,2457893.68783,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170519/ccd/processed/rccd170519.0077.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170519/ccd/processed/rccd170519.0077.fits,CirX-1,True,optical
rccd170522.0010.fits,Cir X-1,15:20:40.83,-57:10:00.1,2017-05-23,01:47:22.924,2457896.57458,600.0,1.23,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170522/ccd/processed/rccd170522.0010.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170522/ccd/processed/rccd170522.0010.fits,CirX-1,True,optical
rccd170603.0032.fits,Cir X-1,15:20:40.84,-57:10:00.2,2017-06-04,01:17:18.772,2457908.5537,600.0,1.2,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170601ThruEnd/20170603/ccd/processed/rccd170603.0032.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170601ThruEnd/20170603/ccd/processed/rccd170603.0032.fits,CirX-1,True,optical
rccd170601.0033.fits,Cir X-1,15:20:40.84,-57:10:00.1,2017-06-02,01:13:57.331,2457906.55136,600.0,1.22,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170601ThruEnd/20170601/ccd/processed/rccd170601.0033.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170601ThruEnd/20170601/ccd/processed/rccd170601.0033.fits,CirX-1,True,optical
rccd170604.0028.fits,Cir X-1,15:23:22.50,-59:19:16.0,2017-06-05,01:05:44.899,2457909.54567,600.0,1.24,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170601ThruEnd/20170604/ccd/processed/rccd170604.0028.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170601ThruEnd/20170604/ccd/processed/rccd170604.0028.fits,CirX-1,True,optical
rccd170605.0046.fits,Cir X-1,15:20:40.83,-57:09:59.7,2017-06-06,02:08:45.406,2457910.5894,600.0,1.14,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170601ThruEnd/20170605/ccd/processed/rccd170605.0046.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170601ThruEnd/20170605/ccd/processed/rccd170605.0046.fits,CirX-1,True,optical
rccd170530.0038.fits,Cir X-1,15:20:40.83,-57:10:00.1,2017-05-31,02:02:26.236,2457904.58503,600.0,1.17,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170530/ccd/processed/rccd170530.0038.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170530/ccd/processed/rccd170530.0038.fits,CirX-1,True,optical
rccd170506.0012.fits,Cir X-1,15:20:40.84,-57:10:00.1,2017-05-07,02:23:05.912,2457880.59938,600.0,1.28,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170506/ccd/processed/rccd170506.0012.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170506/ccd/processed/rccd170506.0012.fits,CirX-1,True,optical
rccd170503.0054.fits,Cir X-1,15:20:40.85,-57:10:00.3,2017-05-04,02:51:09.604,2457877.61886,600.0,1.25,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170503/ccd/processed/rccd170503.0054.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170503/ccd/processed/rccd170503.0054.fits,CirX-1,True,optical
rccd170502.0091.fits,Cir X-1,15:20:40.83,-57:09:59.7,2017-05-03,05:11:20.839,2457876.71621,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170502/ccd/processed/rccd170502.0091.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170502/ccd/processed/rccd170502.0091.fits,CirX-1,True,optical
rccd170520.0062.fits,Cir X-1,15:20:40.84,-57:10:00.1,2017-05-21,02:41:23.801,2457894.61208,600.0,1.17,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170520/ccd/processed/rccd170520.0062.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170520/ccd/processed/rccd170520.0062.fits,CirX-1,True,optical
rccd170514.0050.fits,Cir X-1,15:20:40.83,-57:09:59.7,2017-05-15,03:12:38.284,2457888.63377,600.0,1.16,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170514/ccd/processed/rccd170514.0050.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170514/ccd/processed/rccd170514.0050.fits,CirX-1,True,optical
rccd170529.0103.fits,Cir X-1,15:20:40.86,-57:09:59.8,2017-05-30,05:25:56.431,2457903.72635,600.0,1.2,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170529/ccd/processed/rccd170529.0103.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170529/ccd/processed/rccd170529.0103.fits,CirX-1,True,optical
rccd170528.0085.fits,Cir X-1,15:20:40.83,-57:09:59.9,2017-05-29,05:27:13.648,2457902.72724,600.0,1.19,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170501ThruEnd/20170528/ccd/processed/rccd170528.0085.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170501ThruEnd/20170528/ccd/processed/rccd170528.0085.fits,CirX-1,True,optical
rccd170422.0088.fits,Cir X-1,15:20:40.83,-57:09:59.3,2017-04-23,06:20:51.549,2457866.76448,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170401ThruEnd/20170422/ccd/processed/rccd170422.0088.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170401ThruEnd/20170422/ccd/processed/rccd170422.0088.fits,CirX-1,True,optical
rccd170429.0082.fits,Cir X-1,15:20:40.85,-57:10:00.0,2017-04-30,05:36:54.081,2457873.73396,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170401ThruEnd/20170429/ccd/processed/rccd170429.0082.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170401ThruEnd/20170429/ccd/processed/rccd170429.0082.fits,CirX-1,True,optical
rccd170427.0093.fits,Cir X-1,15:20:40.84,-57:09:59.9,2017-04-28,05:45:05.185,2457871.73964,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170401ThruEnd/20170427/ccd/processed/rccd170427.0093.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170401ThruEnd/20170427/ccd/processed/rccd170427.0093.fits,CirX-1,True,optical
rccd170430.0061.fits,Cir X-1,15:20:40.84,-57:10:00.1,2017-05-01,05:19:36.874,2457874.72195,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170401ThruEnd/20170430/ccd/processed/rccd170430.0061.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170401ThruEnd/20170430/ccd/processed/rccd170430.0061.fits,CirX-1,True,optical
rccd170428.0075.fits,Cir X-1,15:20:40.85,-57:10:00.1,2017-04-29,05:44:40.452,2457872.73936,600.0,1.12,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170401ThruEnd/20170428/ccd/processed/rccd170428.0075.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170401ThruEnd/20170428/ccd/processed/rccd170428.0075.fits,CirX-1,True,optical
rccd170426.0070.fits,Cir X-1,15:20:40.84,-57:10:00.0,2017-04-27,05:04:23.707,2457870.71138,600.0,1.13,R,J,1040,1590,1960,usbdrivescrapelog_CirX-1.csv,/USB3/archive/20170401ThruEnd/20170426/ccd/processed/rccd170426.0070.fits,,Data scrape,NOAO-17A-0005,/USB3/archive/20170401ThruEnd/20170426/ccd/processed/rccd170426.0070.fits,CirX-1,True,optical
binir150206.0258.fits,Cir X-1,15:20:40.92,-57:09:59.4,2015-02-07,07:08:38.618,2457060.79767,60.03,1.47,V,K,1040.0,1590.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150209.0253.fits,Cir X-1,15:20:41.12,-57:10:00.1,2015-02-10,08:08:21.957,2457063.83914,60.04,1.27,V,K,1000.0,1590.0,2000.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150209.0254.fits,Cir X-1,15:20:41.12,-57:10:00.2,2015-02-10,08:09:38.382,2457063.84003,60.03,1.27,V,K,1080.0,1550.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150209.0255.fits,Cir X-1,15:20:41.12,-57:10:00.1,2015-02-10,08:10:55.288,2457063.84092,60.03,1.27,V,K,1040.0,1550.0,2000.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150209.0251.fits,Cir X-1,15:20:40.97,-57:10:00.6,2015-02-10,08:05:48.840,2457063.83737,60.04,1.28,V,K,1040.0,1590.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150209.0252.fits,Cir X-1,15:20:41.09,-57:10:00.2,2015-02-10,08:07:05.150,2457063.83825,60.04,1.27,V,K,1040.0,1630.0,1920.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150209.0257.fits,Cir X-1,15:20:41.21,-57:10:00.6,2015-02-10,08:13:28.888,2457063.84269,60.04,1.26,V,K,1000.0,1630.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150209.0256.fits,Cir X-1,15:20:41.19,-57:10:00.2,2015-02-10,08:12:11.806,2457063.8418,60.03,1.26,V,K,1080.0,1590.0,1920.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150209.0258.fits,Cir X-1,15:20:41.24,-57:10:00.5,2015-02-10,08:14:45.104,2457063.84358,60.03,1.26,V,K,1040.0,1590.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150209.0259.fits,Cir X-1,15:20:41.21,-57:10:00.7,2015-02-10,08:16:01.351,2457063.84446,60.03,1.26,V,K,1040.0,1630.0,1920.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150206.0265.fits,Cir X-1,15:20:41.30,-57:10:00.5,2015-02-07,07:17:33.884,2457060.80386,60.03,1.44,V,K,1040.0,1590.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150206.0264.fits,Cir X-1,15:20:41.26,-57:10:00.5,2015-02-07,07:16:17.714,2457060.80298,60.03,1.45,V,K,1000.0,1630.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150206.0263.fits,Cir X-1,15:20:41.19,-57:10:00.0,2015-02-07,07:15:00.933,2457060.80209,60.04,1.45,V,K,1080.0,1590.0,1920.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150206.0262.fits,Cir X-1,15:20:41.15,-57:09:59.9,2015-02-07,07:13:44.530,2457060.80121,60.03,1.46,V,K,1040.0,1550.0,2000.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150206.0261.fits,Cir X-1,15:20:41.08,-57:09:59.6,2015-02-07,07:12:27.894,2457060.80032,60.03,1.46,V,K,1080.0,1550.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150206.0260.fits,Cir X-1,15:20:41.05,-57:09:59.7,2015-02-07,07:11:11.520,2457060.79944,60.03,1.46,V,K,1000.0,1590.0,2000.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150206.0259.fits,Cir X-1,15:20:40.99,-57:09:59.4,2015-02-07,07:09:54.871,2457060.79855,60.03,1.47,V,K,1040.0,1630.0,1920.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
binir150206.0266.fits,Cir X-1,15:20:41.33,-57:10:00.5,2015-02-07,07:18:49.828,2457060.80474,60.03,1.44,V,K,1040.0,1630.0,1920.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,,CirX-1,True,IR
