filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir070630.0071.fits,Cir X-1,15:20:40.89,-57:10:00.8,2007-07-01,02:37:39.563,2454282.60948,30.05,1.15,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.60948,2007-07-01 02:37:39.072,1
binir070630.0072.fits,Cir X-1,15:20:40.85,-57:10:00.2,2007-07-01,02:38:24.700,2454282.61,30.04,1.15,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.61,2007-07-01 02:38:24.000,1
binir070630.0073.fits,Cir X-1,15:20:40.81,-57:09:59.8,2007-07-01,02:39:10.093,2454282.61053,30.05,1.15,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.61053,2007-07-01 02:39:09.792,1
binir070630.0074.fits,Cir X-1,15:20:40.79,-57:09:59.3,2007-07-01,02:39:55.101,2454282.61106,30.04,1.15,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.61106,2007-07-01 02:39:55.584,1
binir070630.0075.fits,Cir X-1,15:20:40.75,-57:09:59.0,2007-07-01,02:40:40.232,2454282.61158,30.04,1.15,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.61158,2007-07-01 02:40:40.512,1
binir070630.0076.fits,Cir X-1,15:20:40.71,-57:09:58.9,2007-07-01,02:41:25.591,2454282.6121,30.04,1.15,V,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.6121,2007-07-01 02:41:25.440,1
binir070630.0077.fits,Cir X-1,15:20:40.67,-57:09:58.6,2007-07-01,02:42:10.941,2454282.61263,30.05,1.15,V,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.61263,2007-07-01 02:42:11.232,1
binir070630.0078.fits,Cir X-1,15:20:40.65,-57:09:58.3,2007-07-01,02:42:55.985,2454282.61315,30.04,1.16,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.61315,2007-07-01 02:42:56.160,1
binir070630.0079.fits,Cir X-1,15:20:40.63,-57:09:58.1,2007-07-01,02:43:41.134,2454282.61367,30.04,1.16,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.61367,2007-07-01 02:43:41.088,1
binir070630.0080.fits,Cir X-1,15:20:40.60,-57:09:57.8,2007-07-01,02:44:26.616,2454282.6142,30.04,1.16,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Cir X-1,True,1.0,2454282.6142,2007-07-01 02:44:26.880,1
