filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd000601.0030.fits,GRO J1655-40,16:54:00.21,-39:50:45.1,2000-06-02,06:59:24.8,2451697.7913,300.0,1.13,I,H,1320,2225,1855,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,3.0,2451697.7913,2000-06-02 06:59:28.320000,No
rccd000602.0027.fits,GRO J1655-40,16:54:00.20,-39:50:39.9,2000-06-03,04:53:36.9,2451698.7039,300.0,1.02,I,H,1320,2225,1855,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,3.0,2451698.7039,2000-06-03 04:53:36.960000,No
rccd000630.0008.fits,GRO 1655-40,16:54:00.23,-39:50:46.0,2000-07-01,07:08:06.2,2451726.7973,300.0,1.59,V,H,1320,2225,1855,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,1.0,2451726.7973,2000-07-01 07:08:06.720000,No
rccd000701.0016.fits,GRO 1655-40,16:54:00.24,-39:50:30.1,2000-07-02,06:38:39.1,2451727.7768,300.0,1.44,V,H,1320,2225,1855,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,1.0,2451727.7768,2000-07-02 06:38:35.520000,No
rccd000702.0022.fits,GRO 1655-40,16:54:00.21,-39:50:34.8,2000-07-03,03:07:50.4,2451728.6304,300.0,1.02,V,H,1320,2225,1855,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,1.0,2451728.6304,2000-07-03 03:07:46.560000,2
rccd010607.0032.fits,GRO J1655-40,16:54:00.09,-39:50:44.8,2001-06-08,02:43:49.9,2452068.6138,120.0,1.09,I,K,1320,2225,1860,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,3.0,2452068.6138,2001-06-08 02:43:52.320000,2
rccd010607.0033.fits,GRO J1655-40,16:54:01.17,-39:50:37.8,2001-06-08,02:48:09.0,2452068.6168,120.0,1.09,I,K,1320,2225,1860,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,3.0,2452068.6168,2001-06-08 02:48:11.520000,No
rccd010607.0034.fits,GRO J1655-40,16:54:02.33,-39:50:32.6,2001-06-08,02:52:49.0,2452068.62,120.0,1.08,V,K,1320,2225,1860,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,1.0,2452068.62,2001-06-08 02:52:48.000000,No
rccd010607.0035.fits,GRO J1655-40,16:54:03.42,-39:50:27.6,2001-06-08,02:56:36.6,2452068.6226,120.0,1.08,V,K,1320,2225,1860,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,1.0,2452068.6226,2001-06-08 02:56:32.640000,No
rccd010607.0036.fits,GRO J1655-40,16:54:04.41,-39:50:22.6,2001-06-08,03:00:52.4,2452068.6256,120.0,1.07,V,K,1320,2225,1860,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,1.0,2452068.6256,2001-06-08 03:00:51.840000,2
rccd010608.0034.fits,GRO J1655-40,16:53:59.99,-39:51:01.0,2001-06-09,02:53:02.6,2452069.6202,120.0,1.08,I,K,1320,2225,1860,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,3.0,2452069.6202,2001-06-09 02:53:05.280000,2
rccd010608.0035.fits,GRO J1655-40,16:54:01.08,-39:50:55.2,2001-06-09,02:57:01.2,2452069.6229,120.0,1.07,I,K,1320,2225,1860,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,3.0,2452069.6229,2001-06-09 02:56:58.560000,No
rccd010608.0036.fits,GRO J1655-40,16:54:02.14,-39:50:48.4,2001-06-09,03:02:02.1,2452069.6264,120.0,1.06,I,K,1320,2225,1860,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,3.0,2452069.6264,2001-06-09 03:02:00.960000,No
rccd010608.0037.fits,GRO J1655-40,16:54:02.21,-39:50:47.9,2001-06-09,03:05:52.4,2452069.6291,120.0,1.06,V,K,1320,2225,1860,optical_CD_header_logs/,J1655-40,CD,GRO J1655-40,True,1.0,2452069.6291,2001-06-09 03:05:54.240000,No
