filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
binir110105.0026.fits,GRO J0433+32,04:21:42.74,+32:54:24.8,2011-01-06,01:59:56.504,2455567.58329,90.02,2.2,R,H,1250,1840,2030,xrb-archive_data_ALLTHEREST/LOG_data.20001116thru20920605.csv,irdirecs/xrb-archive_data_ALLTHEREST/,data,Disk,YALE-03A-0001,,GROJ0433+32,True,IR
binir110105.0024.fits,GRO J0433+32,04:21:42.67,+32:54:25.1,2011-01-06,01:53:14.198,2455567.57864,90.03,2.2,R,H,1210,1880,2030,xrb-archive_data_ALLTHEREST/LOG_data.20001116thru20920605.csv,irdirecs/xrb-archive_data_ALLTHEREST/,data,Disk,YALE-03A-0001,,GROJ0433+32,True,IR
binir110105.0025.fits,GRO J0433+32,04:21:42.68,+32:54:24.9,2011-01-06,01:56:35.767,2455567.58097,90.02,2.2,R,H,1290,1840,1990,xrb-archive_data_ALLTHEREST/LOG_data.20001116thru20920605.csv,irdirecs/xrb-archive_data_ALLTHEREST/,data,Disk,YALE-03A-0001,,GROJ0433+32,True,IR
binir110105.0027.fits,GRO J0433+32,04:21:42.78,+32:54:24.4,2011-01-06,02:03:17.732,2455567.58562,90.02,2.2,R,H,1290,1880,1950,xrb-archive_data_ALLTHEREST/LOG_data.20001116thru20920605.csv,irdirecs/xrb-archive_data_ALLTHEREST/,data,Disk,YALE-03A-0001,,GROJ0433+32,True,IR
binir110105.0028.fits,GRO J0433+32,04:21:42.80,+32:54:24.5,2011-01-06,02:06:39.451,2455567.58795,90.02,2.2,R,H,1210,1920,1990,xrb-archive_data_ALLTHEREST/LOG_data.20001116thru20920605.csv,irdirecs/xrb-archive_data_ALLTHEREST/,data,Disk,YALE-03A-0001,,GROJ0433+32,True,IR
binir110105.0023.fits,GRO J0433+32,04:21:42.62,+32:54:25.3,2011-01-06,01:49:52.680,2455567.5763,90.02,2.2,R,H,1250,1920,1950,xrb-archive_data_ALLTHEREST/LOG_data.20001116thru20920605.csv,irdirecs/xrb-archive_data_ALLTHEREST/,data,Disk,YALE-03A-0001,,GROJ0433+32,True,IR
binir110105.0022.fits,GRO J0433+32,04:21:42.64,+32:54:25.4,2011-01-06,01:46:31.859,2455567.57398,90.02,2.21,R,H,1250,1880,1990,xrb-archive_data_ALLTHEREST/LOG_data.20001116thru20920605.csv,irdirecs/xrb-archive_data_ALLTHEREST/,data,Disk,YALE-03A-0001,,GROJ0433+32,True,IR
ir110105.0028,GRO J0433+32,04:21:42.8,+32:54:24,2011-01-06,02:06:39.4,2455567.588,90.0,2.2,H,H,,,,missingreplog_GROJ0433+32.csv,,,Data replog,,,GROJ0433+32,True,IR
ir110105.0027,GRO J0433+32,04:21:42.7,+32:54:24,2011-01-06,02:03:17.7,2455567.5856,90.0,2.2,H,H,,,,missingreplog_GROJ0433+32.csv,,,Data replog,,,GROJ0433+32,True,IR
ir110105.0026,GRO J0433+32,04:21:42.7,+32:54:24,2011-01-06,01:59:56.5,2455567.5833,90.0,2.2,H,H,,,,missingreplog_GROJ0433+32.csv,,,Data replog,,,GROJ0433+32,True,IR
ir110105.0025,GRO J0433+32,04:21:42.6,+32:54:24,2011-01-06,01:56:35.7,2455567.581,90.0,2.2,H,H,,,,missingreplog_GROJ0433+32.csv,,,Data replog,,,GROJ0433+32,True,IR
ir110105.0024,GRO J0433+32,04:21:42.6,+32:54:25,2011-01-06,01:53:14.1,2455567.5786,90.0,2.2,H,H,,,,missingreplog_GROJ0433+32.csv,,,Data replog,,,GROJ0433+32,True,IR
ir110105.0023,GRO J0433+32,04:21:42.6,+32:54:25,2011-01-06,01:49:52.6,2455567.5763,90.0,2.2,H,H,,,,missingreplog_GROJ0433+32.csv,,,Data replog,,,GROJ0433+32,True,IR
ir110105.0022,GRO J0433+32,04:21:42.6,+32:54:25,2011-01-06,01:46:31.8,2455567.574,90.0,2.21,H,H,,,,missingreplog_GROJ0433+32.csv,,,Data replog,,,GROJ0433+32,True,IR
