filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
ir010607.0074.fits,GRO J1655-40,16:53:59.96,-39:50:44.9,2001-06-08,02:43:43.1,2452068.6137,60.04,1.09,I,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6137,2001-06-08 02:43:43.680,No
ir010607.0075.fits,GRO J1655-40,16:54:00.01,-39:50:44.6,2001-06-08,02:44:56.3,2452068.6145,60.03,1.09,I,K,1320.0,2255.0,1830.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6145,2001-06-08 02:44:52.800,No
ir010607.0076.fits,GRO J1655-40,16:54:00.02,-39:50:44.5,2001-06-08,02:46:09.5,2452068.6154,60.03,1.09,I,K,1290.0,2225.0,1890.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6154,2001-06-08 02:46:10.560,No
ir010607.0077.fits,GRO J1655-40,16:54:01.22,-39:50:38.0,2001-06-08,02:48:02.0,2452068.6167,60.03,1.09,I,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6167,2001-06-08 02:48:02.880,No
ir010607.0078.fits,GRO J1655-40,16:54:01.18,-39:50:38.0,2001-06-08,02:49:15.3,2452068.6175,60.04,1.09,I,K,1320.0,2255.0,1830.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6175,2001-06-08 02:49:12.000,No
ir010607.0079.fits,GRO J1655-40,16:54:01.27,-39:50:38.7,2001-06-08,02:50:28.7,2452068.6184,60.03,1.08,I,K,1290.0,2225.0,1890.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6184,2001-06-08 02:50:29.760,No
ir010607.0080.fits,GRO J1655-40,16:54:02.32,-39:50:32.4,2001-06-08,02:52:42.1,2452068.6199,60.03,1.08,V,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6199,2001-06-08 02:52:39.360,No
ir010607.0081.fits,GRO J1655-40,16:54:02.31,-39:50:32.4,2001-06-08,02:53:55.5,2452068.6208,60.04,1.08,V,K,1320.0,2255.0,1830.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6208,2001-06-08 02:53:57.120,No
ir010607.0082.fits,GRO J1655-40,16:54:02.34,-39:50:32.4,2001-06-08,02:55:08.9,2452068.6216,60.04,1.08,V,K,1290.0,2225.0,1890.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6216,2001-06-08 02:55:06.240,No
ir010607.0083.fits,GRO J1655-40,16:54:03.42,-39:50:27.6,2001-06-08,02:56:29.7,2452068.6226,60.03,1.08,V,K,1320.0,2225.0,1860.0,IR_CD_header_logs/LOG_GRO J1655-40.20010607thru20010725.csv,IR_CD_header_logs/,GRO J1655-40,CD,,GRO J1655-40,True,3.0,2452068.6226,2001-06-08 02:56:32.640,No
