filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd071207.0078.fits,GRS 1009-45,10:13:36.36,-45:04:32.1,2007-12-08,05:53:26.817,2454442.74545,1200.0,1.5,V,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,1.0,2454442.74545,2007-12-08 05:53:26.880,1
rccd071207.0079.fits,GRS 1009-45,10:13:36.80,-45:04:31.9,2007-12-08,06:14:24.125,2454442.76,1200.0,1.4,R,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,2.0,2454442.76,2007-12-08 06:14:24.000,1
rccd080118.0093.fits,GRS 1009-45,10:13:34.49,-45:04:53.1,2008-01-19,07:24:18.165,2454484.80854,1200.0,1.04,R,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,2.0,2454484.80854,2008-01-19 07:24:17.856,2
rccd080119.0084.fits,GRS 1009-45,10:13:34.38,-45:04:47.5,2008-01-20,06:50:04.625,2454485.78477,1200.0,1.04,R,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,2.0,2454485.78477,2008-01-20 06:50:04.128,2
rccd080120.0064.fits,GRS 1009-45,10:13:35.29,-45:04:42.0,2008-01-21,06:46:02.562,2454486.78198,1200.0,1.04,R,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,2.0,2454486.78198,2008-01-21 06:46:03.072,2
rccd080121.0105.fits,GRS 1009-45,10:13:35.36,-45:04:42.6,2008-01-22,06:13:53.451,2454487.75964,1200.0,1.05,R,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,2.0,2454487.75964,2008-01-22 06:13:52.896,2
rccd080123.0096.fits,GRS 1009-45,10:13:34.86,-45:04:37.5,2008-01-24,05:56:17.961,2454489.74743,1200.0,1.05,R,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,2.0,2454489.74743,2008-01-24 05:56:17.952,2
rccd080125.0102.fits,GRS 1009-45,10:13:36.00,-45:04:32.0,2008-01-26,06:43:30.187,2454491.78021,1200.0,1.04,R,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,2.0,2454491.78021,2008-01-26 06:43:30.144,2
rccd080126.0075.fits,GRS 1009-45,10:13:36.01,-45:04:34.9,2008-01-27,06:23:42.277,2454492.76646,1200.0,1.04,R,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,2.0,2454492.76646,2008-01-27 06:23:42.144,2
rccd080127.0089.fits,GRS 1009-45,10:13:35.99,-45:04:35.4,2008-01-28,06:59:06.129,2454493.79106,1200.0,1.04,R,J,1210,1868,2020,optical_CD_header_logs/,GRS 1009-45,CD,GRS 1009-45,True,2.0,2454493.79106,2008-01-28 06:59:07.584,2
