filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir190331.0430.fits,GRS1716,17:19:36.93,-25:01:03.5,2019-04-01,07:37:54.698,2458574.81797,30.05,1.1,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458574.81797,2019-04-01 07:37:52.608,1
binir190331.0431.fits,GRS1716,17:19:36.89,-25:01:04.2,2019-04-01,07:38:37.173,2458574.81847,30.05,1.1,I,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458574.81847,2019-04-01 07:38:35.808,1
binir190331.0432.fits,GRS1716,17:19:36.90,-25:01:04.4,2019-04-01,07:39:20.259,2458574.81897,30.04,1.1,I,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458574.81897,2019-04-01 07:39:19.008,1
binir190331.0433.fits,GRS1716,17:19:36.91,-25:01:04.9,2019-04-01,07:40:03.071,2458574.81947,30.04,1.1,I,H,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458574.81947,2019-04-01 07:40:02.208,1
binir190331.0434.fits,GRS1716,17:19:36.91,-25:01:05.0,2019-04-01,07:40:45.817,2458574.81996,30.04,1.09,I,H,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458574.81996,2019-04-01 07:40:44.544,1
binir190331.0435.fits,GRS1716,17:19:36.93,-25:01:05.2,2019-04-01,07:41:28.532,2458574.82045,30.05,1.09,I,H,1080,1590,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458574.82045,2019-04-01 07:41:26.880,1
binir190331.0436.fits,GRS1716,17:19:36.93,-25:01:05.2,2019-04-01,07:42:11.488,2458574.82095,30.05,1.09,I,H,1000,1630,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458574.82095,2019-04-01 07:42:10.080,1
binir190331.0437.fits,GRS1716,17:19:36.93,-25:01:05.9,2019-04-01,07:42:54.007,2458574.82144,30.04,1.09,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458574.82144,2019-04-01 07:42:52.416,1
binir190331.0438.fits,GRS1716,17:19:36.91,-25:01:06.2,2019-04-01,07:44:23.905,2458574.82248,30.04,1.09,V,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,1.0,2458574.82248,2019-04-01 07:44:22.272,1
binir190331.0439.fits,GRS1716,17:19:36.90,-25:01:06.2,2019-04-01,07:45:06.407,2458574.82298,30.04,1.09,V,J,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,1.0,2458574.82298,2019-04-01 07:45:05.472,1
binir190331.0440.fits,GRS1716,17:19:36.91,-25:01:06.3,2019-04-01,07:45:49.483,2458574.82347,30.05,1.09,V,J,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,1.0,2458574.82347,2019-04-01 07:45:47.808,1
binir190331.0441.fits,GRS1716,17:19:36.92,-25:01:06.4,2019-04-01,07:46:32.418,2458574.82397,30.05,1.08,V,J,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,1.0,2458574.82397,2019-04-01 07:46:31.008,1
binir190331.0442.fits,GRS1716,17:19:36.91,-25:01:06.6,2019-04-01,07:47:15.160,2458574.82446,30.04,1.08,V,J,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,1.0,2458574.82446,2019-04-01 07:47:13.344,1
binir190331.0443.fits,GRS1716,17:19:36.92,-25:01:06.8,2019-04-01,07:47:57.883,2458574.82496,30.04,1.08,V,J,1080,1590,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,1.0,2458574.82496,2019-04-01 07:47:56.544,1
binir190331.0444.fits,GRS1716,17:19:36.94,-25:01:06.8,2019-04-01,07:48:40.841,2458574.82545,30.04,1.08,V,J,1000,1630,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,1.0,2458574.82545,2019-04-01 07:48:38.880,1
binir190331.0445.fits,GRS1716,17:19:36.93,-25:01:06.9,2019-04-01,07:49:23.334,2458574.82595,30.05,1.08,V,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,1.0,2458574.82595,2019-04-01 07:49:22.080,1
binir190414.0411.fits,GRS1716,17:19:36.95,-25:01:03.8,2019-04-15,06:21:04.940,2458588.76464,30.05,1.15,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458588.76464,2019-04-15 06:21:04.896,1
binir190414.0412.fits,GRS1716,17:19:36.94,-25:01:04.0,2019-04-15,06:21:47.688,2458588.76512,30.04,1.14,I,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458588.76512,2019-04-15 06:21:46.368,1
binir190414.0413.fits,GRS1716,17:19:36.95,-25:01:04.2,2019-04-15,06:22:30.532,2458588.76561,30.04,1.14,I,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458588.76561,2019-04-15 06:22:28.704,1
binir190414.0414.fits,GRS1716,17:19:36.95,-25:01:04.4,2019-04-15,06:23:13.610,2458588.76613,30.04,1.14,I,H,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458588.76613,2019-04-15 06:23:13.632,1
binir190414.0415.fits,GRS1716,17:19:36.95,-25:01:04.3,2019-04-15,06:23:56.085,2458588.76661,30.05,1.14,I,H,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458588.76661,2019-04-15 06:23:55.104,1
binir190414.0416.fits,GRS1716,17:19:36.96,-25:01:04.5,2019-04-15,06:24:39.044,2458588.7671,30.05,1.14,I,H,1080,1590,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GRS 1716−249,True,2.0,2458588.7671,2019-04-15 06:24:37.440,1
