filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd150416.0036.fits,GRS1009-45,10:13:36.30,-45:04:32.1,2015-04-17,02:04:45.759,2457129.58663,1200.0,1.05,R,J,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
rccd150420.0036.fits,GRS1009-45,10:13:36.29,-45:04:32.1,2015-04-21,01:28:50.645,2457133.56169,1200.0,1.04,R,J,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
rccd150418.0034.fits,GRS1009-45,10:13:36.27,-45:04:30.7,2015-04-19,01:17:21.158,2457131.55371,1200.0,1.04,R,J,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
rccd150412.0042.fits,GRS1009-45,10:13:36.30,-45:04:31.7,2015-04-13,02:38:16.102,2457125.6099,1200.0,1.06,R,J,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
rccd150413.0041.fits,GRS1009-45,10:13:36.28,-45:04:32.0,2015-04-14,02:19:56.988,2457126.59718,1200.0,1.05,R,J,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
rccd150426.0038.fits,GRS1009-45,10:13:36.30,-45:04:32.1,2015-04-27,00:53:06.974,2457139.53688,1200.0,1.04,R,J,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
rccd150424.0028.fits,GRS1009-45,10:13:36.32,-45:04:31.9,2015-04-25,00:55:38.883,2457137.53864,1200.0,1.04,R,J,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
rccd150429.0039.fits,GRS1009-45,10:13:36.31,-45:04:32.1,2015-04-30,01:19:07.621,2457142.55494,1200.0,1.05,R,J,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
rccd150422.0029.fits,GRS1009-45,10:13:36.34,-45:04:32.7,2015-04-23,01:18:19.314,2457135.55439,1200.0,1.04,R,J,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
rccd150118.0077.fits,GRS 1009-45,10:13:36.31,-45:04:31.8,2015-01-19,06:15:18.462,2457041.76063,1200.0,1.05,R,J,1040,1530,2020,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,GRS1009-45,True,optical
