filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd190428.0115.fits,GRS1716,17:19:36.93,-25:01:03.8,2019-04-29,06:00:43.297,2458602.7505,90.0,1.08,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190428.0117.fits,GRS1716,17:19:36.89,-25:01:04.7,2019-04-29,06:04:58.038,2458602.75345,90.0,1.07,I,H,1080,1590,1920,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190428.0118.fits,GRS1716,17:19:36.87,-25:01:05.0,2019-04-29,06:07:15.040,2458602.75503,90.0,1.07,V,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190428.0119.fits,GRS1716,17:19:36.83,-25:01:05.5,2019-04-29,06:09:22.818,2458602.75651,90.0,1.06,V,J,1080,1550,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190428.0120.fits,GRS1716,17:19:36.77,-25:01:06.1,2019-04-29,06:11:29.631,2458602.75798,90.0,1.06,V,J,1080,1590,1920,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190414.0109.fits,GRS1716,17:19:37.05,-25:01:05.0,2019-04-15,06:31:56.350,2458588.77218,90.0,1.12,V,J,1080,1590,1920,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190414.0108.fits,GRS1716,17:19:37.01,-25:01:04.9,2019-04-15,06:29:49.309,2458588.77071,90.0,1.13,V,J,1000,1590,2000,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190414.0107.fits,GRS1716,17:19:36.95,-25:01:04.8,2019-04-15,06:27:42.525,2458588.76924,90.0,1.13,V,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190414.0106.fits,GRS1716,17:19:36.94,-25:01:04.6,2019-04-15,06:25:25.266,2458588.76765,90.0,1.14,I,H,1080,1590,1920,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190414.0105.fits,GRS1716,17:19:36.95,-25:01:04.4,2019-04-15,06:23:18.427,2458588.76619,90.0,1.14,I,H,1080,1550,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190414.0104.fits,GRS1716,17:19:36.93,-25:01:03.9,2019-04-15,06:21:10.341,2458588.7647,90.0,1.15,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
rccd190428.0116.fits,GRS1716,17:19:36.93,-25:01:04.2,2019-04-29,06:02:51.211,2458602.75198,90.0,1.07,I,H,1080,1550,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GRS1716−249,True,optical
