filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir140326.0286.fits,GRS 1739-278,17:42:40.04,-27:44:52.9,2014-03-27,07:55:01.149,2456743.82987,40.04,1.14,V,J,1040.0,1590.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.82987,2014-03-27 07:55:00.768,1
binir140326.0287.fits,GRS 1739-278,17:42:40.09,-27:44:53.0,2014-03-27,07:56:00.743,2456743.83056,40.04,1.14,V,J,1040.0,1620.0,1930.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83056,2014-03-27 07:56:00.384,1
"IR140326.""GRS.J.fits",GRS 1739-278,17:42:40.09,-27:44:53.0,2014-03-27,07:56:00.743,2456743.83056,40.04,1.14,V,J,1040.0,1620.0,1930.0,xrb_ir_reduced/LOG_reduced.20130119thru20150430.csv,irdirecs/xrb_ir_reduced/,reduced,Disk,,GRS 1739-278,True,1.0,2456743.83056,2014-03-27 07:56:00.384,1
binir140326.0288.fits,GRS 1739-278,17:42:40.07,-27:44:53.1,2014-03-27,07:56:57.377,2456743.83122,40.04,1.14,V,J,1010.0,1590.0,1990.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83122,2014-03-27 07:56:57.408,1
binir140326.0289.fits,GRS 1739-278,17:42:40.10,-27:44:53.1,2014-03-27,07:57:57.038,2456743.83191,40.04,1.14,V,J,1070.0,1560.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83191,2014-03-27 07:57:57.024,1
binir140326.0290.fits,GRS 1739-278,17:42:40.12,-27:44:53.1,2014-03-27,07:58:53.198,2456743.83256,40.04,1.14,V,J,1040.0,1560.0,1990.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83256,2014-03-27 07:58:53.184,1
binir140326.0291.fits,GRS 1739-278,17:42:40.15,-27:44:53.1,2014-03-27,07:59:53.009,2456743.83325,40.04,1.13,V,J,1070.0,1590.0,1930.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83325,2014-03-27 07:59:52.800,1
binir140326.0292.fits,GRS 1739-278,17:42:40.15,-27:44:53.2,2014-03-27,08:00:49.726,2456743.83391,40.04,1.13,V,J,1010.0,1620.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83391,2014-03-27 08:00:49.824,1
binir140326.0293.fits,GRS 1739-278,17:42:40.16,-27:44:53.5,2014-03-27,08:01:49.378,2456743.8346,40.04,1.13,V,J,1040.0,1590.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.8346,2014-03-27 08:01:49.440,1
binir140326.0294.fits,GRS 1739-278,17:42:40.12,-27:44:53.3,2014-03-27,08:02:45.697,2456743.83525,40.04,1.13,V,J,1040.0,1620.0,1930.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83525,2014-03-27 08:02:45.600,1
binir140326.0295.fits,GRS 1739-278,17:42:40.15,-27:44:53.4,2014-03-27,08:03:45.607,2456743.83595,40.04,1.12,V,J,1010.0,1590.0,1990.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83595,2014-03-27 08:03:46.080,1
binir140326.0296.fits,GRS 1739-278,17:42:40.11,-27:44:53.6,2014-03-27,08:04:42.324,2456743.8366,40.04,1.12,V,J,1070.0,1560.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.8366,2014-03-27 08:04:42.240,1
binir140326.0297.fits,GRS 1739-278,17:42:40.15,-27:44:53.5,2014-03-27,08:05:41.917,2456743.83729,40.04,1.12,V,J,1040.0,1560.0,1990.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83729,2014-03-27 08:05:41.856,1
binir140326.0298.fits,GRS 1739-278,17:42:40.15,-27:44:53.7,2014-03-27,08:06:38.269,2456743.83794,40.04,1.12,V,J,1070.0,1590.0,1930.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83794,2014-03-27 08:06:38.016,1
binir140326.0299.fits,GRS 1739-278,17:42:40.15,-27:44:53.8,2014-03-27,08:07:38.071,2456743.83864,40.04,1.12,V,J,1010.0,1620.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83864,2014-03-27 08:07:38.496,1
binir140326.0300.fits,GRS 1739-278,17:42:40.13,-27:44:53.9,2014-03-27,08:08:34.467,2456743.83929,40.04,1.11,V,J,1040.0,1590.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456743.83929,2014-03-27 08:08:34.656,1
binir140328.0386.fits,GRS 1739-278,17:42:40.03,-27:44:53.4,2014-03-29,08:45:56.950,2456745.86524,40.04,1.04,V,J,1040.0,1590.0,1960.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456745.86524,2014-03-29 08:45:56.736,1
"IR140328.""GRS.J.fits",GRS 1739-278,17:42:40.03,-27:44:53.4,2014-03-29,08:45:56.950,2456745.86524,40.04,1.04,V,J,1040.0,1590.0,1960.0,xrb_ir_reduced/LOG_reduced.20130119thru20150430.csv,irdirecs/xrb_ir_reduced/,reduced,Disk,,GRS 1739-278,True,1.0,2456745.86524,2014-03-29 08:45:56.736,1
binir140328.0387.fits,GRS 1739-278,17:42:40.03,-27:44:53.9,2014-03-29,08:46:53.235,2456745.86589,40.04,1.04,V,J,1040.0,1620.0,1930.0,xrb_ir_photometry/LOG_photometry.20130310thru20150430.csv,irdirecs/xrb_ir_photometry/,photometry,Disk,YALE-03A-0001,GRS 1739-278,True,1.0,2456745.86589,2014-03-29 08:46:52.896,1
