filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
ir000907.0163.fits,GRXS1915+105,19:15:10.49,+10:56:02.9,2000-09-08,04:40:05.3,2451795.6945,90.02,2.8,I,K,1300,2245,1855,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000914.0104.fits,GRXS1915+105,19:15:08.18,+10:56:53.6,2000-09-15,04:04:11.9,2451802.6696,90.02,2.61,I,K,1300,2225,1875,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000914.0106.fits,GRXS1915+105,19:15:08.01,+10:56:53.5,2000-09-15,04:10:49.5,2451802.6742,90.02,2.76,I,K,1320,2205,1875,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000914.0107.fits,GRXS1915+105,19:15:07.96,+10:56:53.8,2000-09-15,04:14:08.5,2451802.6765,90.02,2.84,I,K,1340,2225,1835,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000914.0108.fits,GRXS1915+105,19:15:07.84,+10:56:53.7,2000-09-15,04:17:27.3,2451802.6788,90.02,2.93,I,K,1300,2245,1855,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000914.0105.fits,GRXS1915+105,19:15:08.10,+10:56:53.7,2000-09-15,04:07:31.1,2451802.6719,90.03,2.68,I,K,1340,2205,1855,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000914.0103.fits,GRXS1915+105,19:15:08.27,+10:56:54.2,2000-09-15,04:00:53.0,2451802.6673,90.03,2.54,I,K,1320,2245,1835,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000914.0102.fits,GRXS1915+105,19:15:08.31,+10:56:54.8,2000-09-15,03:57:34.6,2451802.665,90.02,2.48,I,K,1320,2225,1855,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000907.0158.fits,GRXS1915+105,19:15:10.84,+10:56:02.9,2000-09-08,04:23:30.9,2451795.683,90.03,2.45,I,K,1320,2245,1835,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000907.0160.fits,GRXS1915+105,19:15:10.69,+10:56:03.1,2000-09-08,04:30:09.1,2451795.6876,90.03,2.58,I,K,1340,2205,1855,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000907.0162.fits,GRXS1915+105,19:15:10.51,+10:56:03.4,2000-09-08,04:36:46.4,2451795.6922,90.03,2.72,I,K,1340,2225,1835,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000916.0006.fits,GRXS1915+105,19:15:10.59,+10:56:44.0,2000-09-16,23:44:42.5,2451804.4894,90.03,1.34,V,K,1320,2225,1855,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000915.0116.fits,GRXS1915+105,19:15:08.05,+10:56:03.7,2000-09-16,03:35:40.2,2451803.6498,90.02,2.19,I,K,1300,2245,1855,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000915.0110.fits,GRXS1915+105,19:15:08.34,+10:56:52.0,2000-09-16,03:15:49.9,2451803.636,90.03,1.96,I,K,1320,2225,1855,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000915.0114.fits,GRXS1915+105,19:15:08.15,+10:56:03.6,2000-09-16,03:29:03.9,2451803.6452,90.03,2.11,I,K,1320,2205,1875,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000915.0115.fits,GRXS1915+105,19:15:08.10,+10:56:03.6,2000-09-16,03:32:22.1,2451803.6475,90.02,2.15,I,K,1340,2225,1835,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000915.0113.fits,GRXS1915+105,19:15:08.20,+10:56:04.2,2000-09-16,03:25:45.8,2451803.6429,90.02,2.07,I,K,1340,2205,1855,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000916.0010.fits,GRXS1915+105,19:15:10.29,+10:56:43.7,2000-09-16,23:57:55.9,2451804.4986,90.03,1.33,V,K,1320,2205,1875,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000916.0008.fits,GRXS1915+105,19:15:10.42,+10:56:44.0,2000-09-16,23:51:19.4,2451804.494,90.03,1.33,V,K,1300,2225,1875,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
ir000916.0007.fits,GRXS1915+105,19:15:10.46,+10:56:44.1,2000-09-16,23:48:00.8,2451804.4917,90.02,1.33,V,K,1320,2245,1835,xrb-archive_tapes_ALLTHEREST/LOG_tapes.20000411thru20031201.csv,irdirecs/xrb-archive_tapes_ALLTHEREST/,tapes,Disk,,,GRS1915+105,True,IR
