filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd160116.0098.fits,GS 1354-645,13:58:09.78,-64:44:06.6,2016-01-17,08:34:19.659,2457404.85717,360.0,1.33,V,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160115.0102.fits,GS 1354-645,13:58:09.97,-64:44:05.2,2016-01-16,07:24:24.048,2457403.80861,360.0,1.49,V,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160115.0101.fits,GS 1354-645,13:58:09.70,-64:44:05.4,2016-01-16,07:17:30.987,2457403.80383,360.0,1.51,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160116.0097.fits,GS 1354-645,13:58:09.76,-64:44:05.3,2016-01-17,08:27:26.574,2457404.85239,360.0,1.34,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160117.0089.fits,GS 1354-645,13:58:09.70,-64:44:05.6,2016-01-18,07:28:43.297,2457405.81162,360.0,1.46,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160112.0093.fits,GS 1354-645,13:58:09.24,-64:44:07.0,2016-01-13,08:19:23.377,2457400.8468,360.0,1.38,V,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160112.0092.fits,GS 1354-645,13:58:09.71,-64:44:05.4,2016-01-13,08:12:30.609,2457400.84202,360.0,1.4,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160114.0098.fits,GS 1354-645,13:58:09.60,-64:44:05.7,2016-01-15,08:20:11.417,2457402.84734,360.0,1.37,V,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160114.0097.fits,GS 1354-645,13:58:09.73,-64:44:05.5,2016-01-15,08:13:18.280,2457402.84256,360.0,1.38,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160117.0090.fits,GS 1354-645,13:58:09.52,-64:44:07.0,2016-01-18,07:35:36.356,2457405.8164,360.0,1.44,V,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160109.0108.fits,GS 1354-645,13:58:09.70,-64:44:06.1,2016-01-10,07:46:32.759,2457397.82399,360.0,1.5,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160109.0109.fits,GS 1354-645,13:58:09.83,-64:44:06.0,2016-01-10,07:53:25.831,2457397.82877,360.0,1.48,V,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160110.0127.fits,GS 1354-645,13:58:09.86,-64:44:05.9,2016-01-11,09:02:15.772,2457398.87657,360.0,1.32,V,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd160110.0126.fits,GS 1354-645,13:58:09.75,-64:44:05.1,2016-01-11,08:55:23.016,2457398.87179,360.0,1.33,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
rccd150911.0001.fits,GS 1354-645,13:58:09.40,-64:44:09.9,2015-09-11,23:25:54.289,2457277.47632,360.0,1.58,I,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,GS1354-645,True,optical
