filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir181220.0405.fits,GS1354-645,13:58:09.75,-64:44:05.4,2018-12-21,08:17:02.954,2458473.84516,30.04,1.66,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.84516,2018-12-21 08:17:01.824,1
binir181220.0406.fits,GS1354-645,13:58:09.76,-64:44:05.2,2018-12-21,08:17:45.779,2458473.84565,30.05,1.66,I,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.84565,2018-12-21 08:17:44.160,1
binir181220.0407.fits,GS1354-645,13:58:09.77,-64:44:04.9,2018-12-21,08:18:28.663,2458473.84614,30.04,1.65,I,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.84614,2018-12-21 08:18:26.496,1
binir181220.0408.fits,GS1354-645,13:58:09.85,-64:44:04.7,2018-12-21,08:19:11.804,2458473.84664,30.05,1.65,I,H,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.84664,2018-12-21 08:19:09.696,1
binir181220.0409.fits,GS1354-645,13:58:09.93,-64:44:04.4,2018-12-21,08:19:54.375,2458473.84714,30.04,1.65,I,H,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.84714,2018-12-21 08:19:52.896,1
binir181220.0410.fits,GS1354-645,13:58:09.97,-64:44:04.3,2018-12-21,08:20:37.424,2458473.84763,30.05,1.65,I,H,1080,1590,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.84763,2018-12-21 08:20:35.232,1
binir181220.0411.fits,GS1354-645,13:58:10.03,-64:44:04.2,2018-12-21,08:21:20.225,2458473.84813,30.04,1.64,I,H,1000,1630,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.84813,2018-12-21 08:21:18.432,1
binir181220.0412.fits,GS1354-645,13:58:10.14,-64:44:03.5,2018-12-21,08:23:48.194,2458473.84985,30.04,1.63,V,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.84985,2018-12-21 08:23:47.040,1
binir181220.0413.fits,GS1354-645,13:58:10.20,-64:44:03.3,2018-12-21,08:24:30.755,2458473.85034,30.05,1.63,V,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.85034,2018-12-21 08:24:29.376,1
binir181220.0414.fits,GS1354-645,13:58:10.24,-64:44:03.1,2018-12-21,08:25:13.883,2458473.85083,30.05,1.63,V,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,GS 1354-645,True,2.0,2458473.85083,2018-12-21 08:25:11.712,1
