filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd150720.0009.fits,GS 1354-645,13:58:09.75,-64:44:05.3,2015-07-20,23:18:24.943,2457224.47112,360.0,1.22,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457224.47112,2015-07-20 23:18:24.768,1
rccd150720.0010.fits,GS 1354-645,13:58:09.62,-64:44:07.9,2015-07-20,23:25:22.152,2457224.47595,360.0,1.22,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457224.47595,2015-07-20 23:25:22.080,1
rccd150723.0004.fits,GS 1354-645,13:58:09.73,-64:44:05.4,2015-07-23,23:15:48.022,2457227.4693,360.0,1.22,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457227.4693,2015-07-23 23:15:47.520,1
rccd150723.0005.fits,GS 1354-645,13:58:09.54,-64:44:05.7,2015-07-23,23:22:44.333,2457227.47412,360.0,1.23,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457227.47412,2015-07-23 23:22:43.968,1
rccd150726.0004.fits,GS 1354-645,13:58:09.74,-64:44:05.7,2015-07-26,23:02:53.110,2457230.46034,360.0,1.22,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457230.46034,2015-07-26 23:02:53.376,1
rccd150726.0005.fits,GS 1354-645,13:58:09.56,-64:44:05.2,2015-07-26,23:09:49.362,2457230.46515,360.0,1.22,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457230.46515,2015-07-26 23:09:48.960,1
rccd150801.0001.fits,GS 1354-645,13:58:09.75,-64:44:03.8,2015-08-01,23:04:29.491,2457236.46144,360.0,1.24,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457236.46144,2015-08-01 23:04:28.416,1
rccd150801.0002.fits,GS 1354-645,13:58:09.93,-64:44:05.0,2015-08-01,23:11:28.289,2457236.46629,360.0,1.24,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457236.46629,2015-08-01 23:11:27.456,1
rccd150801.0009.fits,GS 1354-645,13:58:09.71,-64:44:05.3,2015-08-01,23:59:22.133,2457236.49955,360.0,1.29,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457236.49955,2015-08-01 23:59:21.120,1
rccd150801.0010.fits,GS 1354-645,13:58:09.74,-64:44:04.9,2015-08-02,00:06:20.246,2457236.50439,360.0,1.3,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457236.50439,2015-08-02 00:06:19.296,1
rccd150801.0014.fits,GS 1354-645,13:58:09.68,-64:44:05.0,2015-08-02,00:49:21.270,2457236.53426,360.0,1.37,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457236.53426,2015-08-02 00:49:20.064,1
rccd150801.0015.fits,GS 1354-645,13:58:09.71,-64:44:07.6,2015-08-02,00:56:19.484,2457236.5391,360.0,1.39,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457236.5391,2015-08-02 00:56:18.240,1
rccd150801.0016.fits,GS 1354-645,13:58:09.63,-64:44:06.7,2015-08-02,01:24:16.271,2457236.55851,360.0,1.45,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457236.55851,2015-08-02 01:24:15.264,1
rccd150801.0017.fits,GS 1354-645,13:58:09.69,-64:44:05.5,2015-08-02,01:31:14.907,2457236.56336,360.0,1.47,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457236.56336,2015-08-02 01:31:14.304,1
rccd150803.0013.fits,GS 1354-645,13:58:09.70,-64:44:05.6,2015-08-04,00:30:50.703,2457238.52142,360.0,1.35,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457238.52142,2015-08-04 00:30:50.688,1
rccd150803.0014.fits,GS 1354-645,13:58:09.51,-64:44:04.8,2015-08-04,00:37:47.616,2457238.52625,360.0,1.36,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457238.52625,2015-08-04 00:37:48.000,1
rccd150814.0008.fits,GS 1354-645,13:58:09.73,-64:44:07.2,2015-08-14,23:38:09.141,2457249.48483,360.0,1.33,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457249.48483,2015-08-14 23:38:09.312,1
rccd150814.0009.fits,GS 1354-645,13:58:09.50,-64:44:08.7,2015-08-14,23:45:06.962,2457249.48966,360.0,1.35,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457249.48966,2015-08-14 23:45:06.624,1
rccd150825.0024.fits,GS 1354-645,13:58:09.74,-64:44:05.3,2015-08-26,00:36:34.837,2457260.5254,360.0,1.6,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,3.0,2457260.5254,2015-08-26 00:36:34.560,1
rccd150825.0025.fits,GS 1354-645,13:58:09.63,-64:44:04.7,2015-08-26,00:43:33.836,2457260.53025,360.0,1.62,V,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,GS 1354-645,True,1.0,2457260.53025,2015-08-26 00:43:33.600,1
