filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
ir041121.0232,GUMus,11:26:27.7,-68:40:28,2004-11-22,08:07:01,2453331.8382,60.0,1.59,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0242,GU Mus,11:26:26.7,-68:40:28,2010-12-09,06:19:52.7,2455539.7638,60.0,1.74,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0253,GU Mus,11:26:28.4,-68:40:24,2010-12-09,06:57:29.9,2455539.7899,60.0,1.61,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0252,GU Mus,11:26:28.2,-68:40:25,2010-12-09,06:54:04.3,2455539.7876,60.0,1.62,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0251,GU Mus,11:26:28.0,-68:40:25,2010-12-09,06:50:39.6,2455539.7852,60.0,1.63,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0250,GU Mus,11:26:27.9,-68:40:25,2010-12-09,06:47:14.7,2455539.7828,60.0,1.64,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0249,GU Mus,11:26:27.8,-68:40:25,2010-12-09,06:43:49.1,2455539.7804,60.0,1.65,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0248,GU Mus,11:26:27.5,-68:40:25,2010-12-09,06:40:23.6,2455539.778,60.0,1.66,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0247,GU Mus,11:26:27.3,-68:40:26,2010-12-09,06:36:58.7,2455539.7757,60.0,1.67,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0246,GU Mus,11:26:27.1,-68:40:27,2010-12-09,06:33:33.3,2455539.7733,60.0,1.69,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0245,GU Mus,11:26:26.8,-68:40:27,2010-12-09,06:30:07.7,2455539.7709,60.0,1.7,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0244,GU Mus,11:26:26.8,-68:40:27,2010-12-09,06:26:43.0,2455539.7686,60.0,1.71,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0243,GU Mus,11:26:26.7,-68:40:27,2010-12-09,06:23:18.1,2455539.7662,60.0,1.72,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0241,GU Mus,11:26:26.7,-68:40:28,2010-12-09,06:16:27.0,2455539.7614,60.0,1.75,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101115.0260,GU Mus,11:26:29.0,-68:40:26,2010-11-16,08:37:22.8,2455516.8593,60.0,1.58,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0240,GU Mus,11:26:26.4,-68:40:29,2010-12-09,06:13:02.0,2455539.759,60.0,1.76,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0239,GU Mus,11:26:26.5,-68:40:29,2010-12-09,06:09:36.5,2455539.7567,60.0,1.78,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0238,GU Mus,11:26:26.4,-68:40:30,2010-12-09,06:06:10.8,2455539.7543,60.0,1.79,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101208.0237,GU Mus,11:26:26.5,-68:40:32,2010-12-09,06:02:46.0,2455539.7519,60.0,1.81,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101115.0268,GU Mus,11:26:30.5,-68:40:18,2010-11-16,09:04:51.0,2455516.8784,60.0,1.51,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101115.0267,GU Mus,11:26:30.6,-68:40:19,2010-11-16,09:01:25.9,2455516.876,60.0,1.51,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101115.0266,GU Mus,11:26:30.8,-68:40:19,2010-11-16,08:58:01.1,2455516.8736,60.0,1.52,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
ir101115.0265,GU Mus,11:26:30.6,-68:40:20,2010-11-16,08:54:27.6,2455516.8712,60.0,1.53,J,J,,,,missingreplog_GUMus.csv,,,Data replog,,,GUMus,True,IR
