filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd000503.0019.fits,GX 339-4,17:02:49.87,-48:47:22.7,2000-05-04,08:44:40.7,2451668.8644,600.0,1.13,V,H,1320,2225,1855,opticaldirecs/xrb-archive_data_gx339/,optical,Disk,GX 339-4,True,1.0,2451668.8644,2000-05-04 08:44:44.160,No
rccd020123.0065.fits,GX339,17:02:49.51,-48:47:23.0,2002-01-24,08:53:53.6,2452298.8708,240.0,1.74,V,H,1320,2225,1860,opticaldirecs/xrb-archive_data_gx339/,optical,Disk,GX 339-4,True,1.0,2452298.8708,2002-01-24 08:53:57.120,No
rccd020208.0077.fits,GX339,17:02:52.11,-48:47:02.1,2002-02-09,08:20:36.2,2452314.8476,240.0,1.56,V,H,1320,2225,1860,opticaldirecs/xrb-archive_data_gx339/,optical,Disk,GX 339-4,True,1.0,2452314.8476,2002-02-09 08:20:32.640,2
rccd030203.0079.fits,GX339-4,17:03:5.38,-48:47:40.6,2003-02-04,09:03:36,2452674.87751,300.0,1.45,I,H,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_I/,I,Disk,GX 339-4,True,3.0,2452674.87751,2003-02-04 09:03:36.864,2
rccd030203.0080.fits,GX339-4,17:03:5.59,-48:47:39.9,2003-02-04,09:09:53,2452674.88187,300.0,1.42,V,H,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_V/,V,Disk,GX 339-4,True,1.0,2452674.88187,2003-02-04 09:09:53.568,2
rccd030204.0176.fits,GX339-4,17:03:5.39,-48:47:40.4,2003-02-05,09:18:51,2452675.8881,300.0,1.37,I,H,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_I/,I,Disk,GX 339-4,True,3.0,2452675.8881,2003-02-05 09:18:51.840,2
rccd030204.0177.fits,GX339-4,17:03:5.03,-48:47:40.6,2003-02-05,09:25:08,2452675.89246,300.0,1.35,V,H,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_V/,V,Disk,GX 339-4,True,1.0,2452675.89246,2003-02-05 09:25:08.544,2
rccd030206.0162.fits,GX339-4,17:02:49.36,-48:47:23.4,2003-02-07,08:41:08,2452677.8619,300.0,1.5,I,H,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_I/,I,Disk,GX 339-4,True,3.0,2452677.8619,2003-02-07 08:41:08.160,2
rccd030206.0163.fits,GX339-4,17:02:49.56,-48:47:21.6,2003-02-07,08:48:16,2452677.86686,300.0,1.46,V,J,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_V/,V,Disk,GX 339-4,True,1.0,2452677.86686,2003-02-07 08:48:16.704,2
rccd030207.0183.fits,GX339-4,17:02:49.24,-48:47:19.7,2003-02-08,08:23:45,2452678.84983,300.0,1.56,I,H,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_I/,I,Disk,GX 339-4,True,3.0,2452678.84983,2003-02-08 08:23:45.312,2
rccd030207.0184.fits,GX339-4,17:02:49.42,-48:47:17.5,2003-02-08,08:30:56,2452678.85482,300.0,1.53,V,J,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_V/,V,Disk,GX 339-4,True,1.0,2452678.85482,2003-02-08 08:30:56.448,2
rccd030208.0188.fits,GX339-4,17:02:49.27,-48:47:23.5,2003-02-09,08:23:57,2452679.84997,300.0,1.54,I,H,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_I/,I,Disk,GX 339-4,True,3.0,2452679.84997,2003-02-09 08:23:57.408,2
rccd030208.0189.fits,GX339-4,17:02:49.41,-48:47:22.8,2003-02-09,08:31:05,2452679.85492,300.0,1.51,V,J,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_V/,V,Disk,GX 339-4,True,1.0,2452679.85492,2003-02-09 08:31:05.088,2
rccd030209.0173.fits,GX339-4,17:02:49.30,-48:47:23.5,2003-02-10,08:35:28,2452680.85797,300.0,1.47,I,H,1732,2157,2410,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_I/,I,Disk,GX 339-4,True,3.0,2452680.85797,2003-02-10 08:35:28.608,2
rccd030209.0174.fits,GX339-4,17:02:49.49,-48:47:22.6,2003-02-10,08:42:38,2452680.86295,300.0,1.44,V,J,1732,2157,2410,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_V/,V,Disk,GX 339-4,True,1.0,2452680.86295,2003-02-10 08:42:38.880,2
rccd030210.0144.fits,GX339-4,17:02:49.30,-48:47:24.2,2003-02-11,08:32:38,2452681.856,300.0,1.46,I,H,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_I/,I,Disk,GX 339-4,True,3.0,2452681.856,2003-02-11 08:32:38.400,2
rccd030210.0145.fits,GX339-4,17:02:49.46,-48:47:23.2,2003-02-11,08:39:46,2452681.86095,300.0,1.43,V,J,1732,2137,2430,opticaldirecs/xrb-archive_usb-data_GX339-4_fitsimages_V/,V,Disk,GX 339-4,True,1.0,2452681.86095,2003-02-11 08:39:46.080,2
