filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd070703.0073.fits,GX 17+2,18:16:02.65,-14:02:25.9,2007-07-04,07:27:11.933,2454285.81056,300.0,1.48,V,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,GX17+2,True,optical
rccd070703.0072.fits,GX 17+2,18:16:02.72,-14:02:35.1,2007-07-04,07:21:17.912,2454285.80646,300.0,1.45,I,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,GX17+2,True,optical
rccd070630.0067.fits,GX 17+2,18:16:01.81,-14:02:35.7,2007-07-01,05:37:24.596,2454282.73431,300.0,1.09,I,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,GX17+2,True,optical
rccd070630.0068.fits,GX 17+2,18:16:01.79,-14:02:23.7,2007-07-01,05:43:41.893,2454282.73868,300.0,1.1,V,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,GX17+2,True,optical
binir070630.0254.fits,GX 17+2,18:16:01.75,-14:02:22.6,2007-07-01,05:47:25.612,2454282.74127,30.05,1.1,V,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0253.fits,GX 17+2,18:16:01.76,-14:02:22.9,2007-07-01,05:46:40.275,2454282.74074,30.04,1.1,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0255.fits,GX 17+2,18:16:01.75,-14:02:22.4,2007-07-01,05:48:10.978,2454282.74179,30.05,1.1,V,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0245.fits,GX 17+2,18:16:01.80,-14:02:34.8,2007-07-01,05:39:37.880,2454282.73586,30.05,1.09,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0247.fits,GX 17+2,18:16:01.80,-14:02:34.3,2007-07-01,05:41:08.317,2454282.7369,30.05,1.09,I,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0248.fits,GX 17+2,18:16:01.81,-14:02:34.3,2007-07-01,05:41:53.661,2454282.73743,30.04,1.09,I,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0249.fits,GX 17+2,18:16:01.80,-14:02:23.8,2007-07-01,05:43:39.089,2454282.73865,30.05,1.1,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0250.fits,GX 17+2,18:16:01.79,-14:02:23.4,2007-07-01,05:44:24.210,2454282.73917,30.05,1.1,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0252.fits,GX 17+2,18:16:01.77,-14:02:23.0,2007-07-01,05:45:55.169,2454282.74022,30.05,1.1,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0244.fits,GX 17+2,18:16:01.81,-14:02:34.7,2007-07-01,05:38:52.396,2454282.73533,30.04,1.09,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0243.fits,GX 17+2,18:16:01.82,-14:02:35.2,2007-07-01,05:38:06.908,2454282.7348,30.04,1.09,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0242.fits,GX 17+2,18:16:01.81,-14:02:35.8,2007-07-01,05:37:21.798,2454282.73428,30.04,1.09,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0246.fits,GX 17+2,18:16:01.82,-14:02:34.8,2007-07-01,05:40:22.997,2454282.73638,30.04,1.09,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070630.0251.fits,GX 17+2,18:16:01.77,-14:02:23.2,2007-07-01,05:45:09.709,2454282.7397,30.04,1.1,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0327.fits.gz,GX 17+2,18:16:02.64,-14:02:26.5,2007-07-04,07:30:10.792,2454285.81263,30.04,1.5,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0318.fits.gz,GX 17+2,18:16:02.70,-14:02:35.5,2007-07-04,07:22:45.828,2454285.80747,30.04,1.46,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0316.fits.gz,GX 17+2,18:16:02.70,-14:02:35.3,2007-07-04,07:21:15.076,2454285.80642,30.05,1.45,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0317.fits.gz,GX 17+2,18:16:02.69,-14:02:35.1,2007-07-04,07:22:00.178,2454285.80695,30.04,1.45,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0319.fits.gz,GX 17+2,18:16:02.71,-14:02:35.5,2007-07-04,07:23:31.316,2454285.808,30.04,1.46,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0320.fits.gz,GX 17+2,18:16:02.67,-14:02:35.6,2007-07-04,07:24:16.477,2454285.80852,30.04,1.46,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0321.fits.gz,GX 17+2,18:16:02.66,-14:02:35.6,2007-07-04,07:25:01.876,2454285.80905,30.04,1.47,I,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0322.fits.gz,GX 17+2,18:16:02.64,-14:02:36.0,2007-07-04,07:25:47.212,2454285.80957,30.05,1.47,I,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0323.fits.gz,GX 17+2,18:16:02.63,-14:02:26.0,2007-07-04,07:27:09.496,2454285.81053,30.05,1.48,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
binir070703.0325.fits.gz,GX 17+2,18:16:02.63,-14:02:26.3,2007-07-04,07:28:40.066,2454285.81157,30.05,1.49,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,GX17+2,True,IR
