filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir070630.0209.fits,GX 349+2,17:05:44.48,-36:25:23.0,2007-07-01,05:05:13.249,2454282.71196,30.04,1.1,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71196,2007-07-01 05:05:13.344,1
binir070630.0210.fits,GX 349+2,17:05:44.49,-36:25:23.0,2007-07-01,05:05:58.361,2454282.71248,30.04,1.1,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71248,2007-07-01 05:05:58.272,1
binir070630.0211.fits,GX 349+2,17:05:44.49,-36:25:23.0,2007-07-01,05:06:43.890,2454282.71301,30.05,1.1,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71301,2007-07-01 05:06:44.064,1
binir070630.0212.fits,GX 349+2,17:05:44.49,-36:25:23.0,2007-07-01,05:07:29.423,2454282.71354,30.05,1.1,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71354,2007-07-01 05:07:29.856,1
binir070630.0213.fits,GX 349+2,17:05:44.51,-36:25:23.2,2007-07-01,05:08:14.618,2454282.71406,30.05,1.1,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71406,2007-07-01 05:08:14.784,1
binir070630.0214.fits,GX 349+2,17:05:44.53,-36:25:23.5,2007-07-01,05:08:59.917,2454282.71458,30.04,1.1,I,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71458,2007-07-01 05:08:59.712,1
binir070630.0215.fits,GX 349+2,17:05:44.55,-36:25:23.7,2007-07-01,05:09:45.314,2454282.71511,30.04,1.1,I,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71511,2007-07-01 05:09:45.504,1
binir070630.0216.fits,GX 349+2,17:05:44.53,-36:25:13.4,2007-07-01,05:11:14.616,2454282.71614,30.05,1.11,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71614,2007-07-01 05:11:14.496,1
binir070630.0217.fits,GX 349+2,17:05:44.52,-36:25:13.4,2007-07-01,05:11:59.790,2454282.71666,30.05,1.11,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71666,2007-07-01 05:11:59.424,1
binir070630.0218.fits,GX 349+2,17:05:44.56,-36:25:13.5,2007-07-01,05:12:45.282,2454282.71719,30.05,1.11,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71719,2007-07-01 05:12:45.216,1
binir070630.0219.fits,GX 349+2,17:05:44.52,-36:25:13.7,2007-07-01,05:13:30.762,2454282.71772,30.04,1.11,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71772,2007-07-01 05:13:31.008,1
binir070630.0220.fits,GX 349+2,17:05:44.53,-36:25:13.9,2007-07-01,05:14:15.892,2454282.71824,30.04,1.11,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71824,2007-07-01 05:14:15.936,1
binir070630.0221.fits,GX 349+2,17:05:44.53,-36:25:13.9,2007-07-01,05:15:01.247,2454282.71876,30.04,1.11,V,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71876,2007-07-01 05:15:00.864,1
binir070630.0222.fits,GX 349+2,17:05:44.58,-36:25:14.1,2007-07-01,05:15:46.635,2454282.71929,30.04,1.11,V,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454282.71929,2007-07-01 05:15:46.656,1
binir070704.0191.fits,GX 349+2,17:05:44.14,-36:25:26.1,2007-07-05,03:10:17.503,2454286.63215,30.04,1.01,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63215,2007-07-05 03:10:17.760,1
binir070704.0192.fits,GX 349+2,17:05:44.11,-36:25:25.8,2007-07-05,03:11:02.670,2454286.63267,30.04,1.01,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63267,2007-07-05 03:11:02.688,1
binir070704.0193.fits,GX 349+2,17:05:44.11,-36:25:25.6,2007-07-05,03:11:48.158,2454286.6332,30.05,1.01,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.6332,2007-07-05 03:11:48.480,1
binir070704.0194.fits,GX 349+2,17:05:44.11,-36:25:25.5,2007-07-05,03:12:33.626,2454286.63372,30.05,1.01,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63372,2007-07-05 03:12:33.408,1
binir070704.0195.fits,GX 349+2,17:05:44.13,-36:25:25.3,2007-07-05,03:13:18.763,2454286.63424,30.04,1.01,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63424,2007-07-05 03:13:18.336,1
binir070704.0196.fits,GX 349+2,17:05:44.15,-36:25:25.2,2007-07-05,03:14:04.126,2454286.63477,30.04,1.01,I,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63477,2007-07-05 03:14:04.128,1
binir070704.0197.fits,GX 349+2,17:05:44.15,-36:25:25.1,2007-07-05,03:14:49.481,2454286.63529,30.05,1.01,I,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63529,2007-07-05 03:14:49.056,1
binir070704.0198.fits,GX 349+2,17:05:44.17,-36:25:14.3,2007-07-05,03:16:11.808,2454286.63625,30.04,1.01,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63625,2007-07-05 03:16:12.000,1
binir070704.0199.fits,GX 349+2,17:05:44.19,-36:25:14.1,2007-07-05,03:16:56.980,2454286.63677,30.04,1.01,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63677,2007-07-05 03:16:56.928,1
binir070704.0200.fits,GX 349+2,17:05:44.20,-36:25:14.2,2007-07-05,03:17:42.456,2454286.6373,30.05,1.01,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.6373,2007-07-05 03:17:42.720,1
binir070704.0201.fits,GX 349+2,17:05:44.24,-36:25:14.1,2007-07-05,03:18:27.952,2454286.63782,30.05,1.01,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63782,2007-07-05 03:18:27.648,1
binir070704.0202.fits,GX 349+2,17:05:44.27,-36:25:13.9,2007-07-05,03:19:13.089,2454286.63835,30.05,1.01,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63835,2007-07-05 03:19:13.440,1
binir070704.0203.fits,GX 349+2,17:05:44.29,-36:25:13.9,2007-07-05,03:19:58.470,2454286.63887,30.04,1.01,V,J,1250,1868,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.63887,2007-07-05 03:19:58.368,1
binir070704.0204.fits,GX 349+2,17:05:44.29,-36:25:14.2,2007-07-05,03:20:43.826,2454286.6394,30.04,1.01,V,J,1170,1908,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,GX 349+2,True,1.0,2454286.6394,2007-07-05 03:20:44.160,1
