filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd160403.0133.fits,HD96670,11:07:01.97,-59:49:59.8,2016-04-04,07:04:24.011,2457482.79472,0.8,1.55,R,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160401ThruEnd/20160403/ccd/processed/rccd160403.0133.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160401ThruEnd/20160403/ccd/processed/rccd160403.0133.fits,HD96670,True,optical
rccd160505.0056.fits,HD96670,11:07:02.02,-59:49:59.4,2016-05-06,02:09:31.276,2457514.58994,0.8,1.18,V,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0056.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0056.fits,HD96670,True,optical
rccd160517.0117.fits,HD96670,11:07:02.51,-59:50:00.2,2016-05-18,04:51:59.137,2457526.70277,0.8,1.75,V,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0117.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0117.fits,HD96670,True,optical
rccd160505.0060.fits,HD96670,11:07:01.91,-59:49:59.8,2016-05-06,02:13:39.213,2457514.59281,0.8,1.19,R,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0060.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0060.fits,HD96670,True,optical
rccd160505.0044.fits,HD96670,11:07:01.99,-59:49:59.4,2016-05-06,01:52:44.506,2457514.57829,0.8,1.17,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0044.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0044.fits,HD96670,True,optical
rccd160505.0050.fits,HD96670,11:07:02.00,-59:49:58.5,2016-05-06,02:01:18.590,2457514.58424,0.8,1.18,R,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0050.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0050.fits,HD96670,True,optical
rccd160505.0066.fits,HD96670,11:07:01.72,-59:49:59.6,2016-05-06,02:18:47.035,2457514.59637,0.8,1.19,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0066.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0066.fits,HD96670,True,optical
rccd160505.0058.fits,HD96670,11:07:01.96,-59:49:59.6,2016-05-06,02:11:09.142,2457514.59107,0.8,1.18,V,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0058.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0058.fits,HD96670,True,optical
rccd160505.0067.fits,HD96670,11:07:01.71,-59:49:59.7,2016-05-06,02:19:35.642,2457514.59693,0.8,1.19,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0067.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0067.fits,HD96670,True,optical
rccd160505.0062.fits,HD96670,11:07:01.83,-59:49:59.6,2016-05-06,02:15:16.532,2457514.59393,0.8,1.19,R,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0062.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0062.fits,HD96670,True,optical
rccd160505.0046.fits,HD96670,11:07:01.93,-59:49:58.4,2016-05-06,01:57:29.964,2457514.58159,0.8,1.17,V,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0046.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0046.fits,HD96670,True,optical
rccd160505.0054.fits,HD96670,11:07:01.97,-59:49:58.9,2016-05-06,02:04:45.976,2457514.58664,0.8,1.18,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0054.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0054.fits,HD96670,True,optical
rccd160505.0048.fits,HD96670,11:07:01.94,-59:49:58.4,2016-05-06,01:59:07.735,2457514.58272,0.8,1.17,V,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0048.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0048.fits,HD96670,True,optical
rccd160527.0027.fits,HD96670,11:07:01.55,-59:49:56.3,2016-05-27,23:16:05.705,2457536.46951,0.8,1.15,V,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160527/ccd/processed/rccd160527.0027.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160527/ccd/processed/rccd160527.0027.fits,HD96670,True,optical
rccd160505.0055.fits,HD96670,11:07:01.99,-59:49:59.1,2016-05-06,02:05:35.124,2457514.5872,0.8,1.18,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0055.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0055.fits,HD96670,True,optical
rccd160505.0049.fits,HD96670,11:07:01.98,-59:49:58.4,2016-05-06,01:59:56.734,2457514.58329,0.8,1.18,V,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0049.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0049.fits,HD96670,True,optical
rccd160505.0047.fits,HD96670,11:07:01.97,-59:49:58.3,2016-05-06,01:58:19.003,2457514.58216,0.8,1.17,V,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0047.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0047.fits,HD96670,True,optical
rccd160505.0052.fits,HD96670,11:07:01.95,-59:49:58.7,2016-05-06,02:02:56.037,2457514.58536,0.8,1.18,R,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0052.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0052.fits,HD96670,True,optical
rccd160505.0064.fits,HD96670,11:07:01.75,-59:49:59.6,2016-05-06,02:17:09.345,2457514.59524,0.8,1.19,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0064.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0064.fits,HD96670,True,optical
rccd160505.0059.fits,HD96670,11:07:01.93,-59:49:59.6,2016-05-06,02:11:58.090,2457514.59164,0.8,1.19,V,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0059.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0059.fits,HD96670,True,optical
rccd160505.0053.fits,HD96670,11:07:01.95,-59:49:58.7,2016-05-06,02:03:45.052,2457514.58593,0.8,1.18,R,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0053.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0053.fits,HD96670,True,optical
rccd160505.0045.fits,HD96670,11:07:02.00,-59:49:59.1,2016-05-06,01:53:33.246,2457514.57885,0.8,1.17,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0045.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0045.fits,HD96670,True,optical
rccd160505.0061.fits,HD96670,11:07:01.86,-59:49:59.9,2016-05-06,02:14:27.642,2457514.59337,0.8,1.19,R,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0061.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0061.fits,HD96670,True,optical
rccd160505.0065.fits,HD96670,11:07:01.75,-59:49:59.6,2016-05-06,02:17:58.003,2457514.5958,0.8,1.19,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0065.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160505/ccd/processed/rccd160505.0065.fits,HD96670,True,optical
rccd160517.0112.fits,HD96670,11:07:02.36,-59:49:59.6,2016-05-18,04:47:48.469,2457526.69987,0.8,1.72,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0112.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0112.fits,HD96670,True,optical
rccd160517.0101.fits,HD96670,11:07:02.05,-59:49:59.1,2016-05-18,04:37:53.624,2457526.69298,0.8,1.67,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0101.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0101.fits,HD96670,True,optical
rccd160517.0121.fits,HD96670,11:07:02.56,-59:50:01.0,2016-05-18,04:55:20.843,2457526.7051,0.8,1.76,R,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0121.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0121.fits,HD96670,True,optical
rccd160517.0113.fits,HD96670,11:07:02.41,-59:49:59.8,2016-05-18,04:48:37.313,2457526.70043,0.8,1.73,B,H,1040,1590,1960,usbdrivescrapelog_HD96670.csv,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0113.fits,,Data scrape,NOAO-16A-0427,/USB3/archive/20160501ThruEnd/20160517/ccd/processed/rccd160517.0113.fits,HD96670,True,optical
