filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir050328.0350.fits.gz,IGR_J17091,17:09:47.98,-36:28:12.0,2005-03-29,07:30:01,2453458.81251,30.04,1.1,V,J,1145,1868,2000,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,1.0,2453458.81251,2005-03-29 07:30:00.864,No
binir050328.0353.fits.gz,IGR_J17091,17:09:48.00,-36:28:11.7,2005-03-29,07:30:52,2453458.81311,30.05,1.1,V,J,1185,1828,2000,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,1.0,2453458.81311,2005-03-29 07:30:52.704,No
binir050328.0352.fits.gz,IGR_J17091,17:09:48.00,-36:28:11.7,2005-03-29,07:30:52,2453458.81311,30.04,1.1,V,J,1105,1868,2040,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,1.0,2453458.81311,2005-03-29 07:30:52.704,No
binir050328.0351.fits.gz,IGR_J17091,17:09:48.00,-36:28:11.7,2005-03-29,07:30:52,2453458.81311,30.05,1.1,V,J,1145,1908,1960,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,1.0,2453458.81311,2005-03-29 07:30:52.704,No
binir050328.0354.fits.gz,IGR_J17091,17:09:48.10,-36:28:11.9,2005-03-29,07:33:46,2453458.81512,30.05,1.1,V,J,1145,1828,2040,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,1.0,2453458.81512,2005-03-29 07:33:46.368,No
binir050328.0356.fits.gz,IGR_J17091,17:09:48.11,-36:28:12.0,2005-03-29,07:34:38,2453458.81572,30.05,1.1,V,J,1105,1908,2000,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,1.0,2453458.81572,2005-03-29 07:34:38.208,No
binir050328.0355.fits.gz,IGR_J17091,17:09:48.11,-36:28:12.0,2005-03-29,07:34:38,2453458.81572,30.04,1.1,V,J,1185,1868,1960,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,1.0,2453458.81572,2005-03-29 07:34:38.208,No
binir050328.0357.fits.gz,IGR_J17091,17:09:48.19,-36:28:11.8,2005-03-29,07:36:30,2453458.81702,30.05,1.09,V,J,1145,1868,2000,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,1.0,2453458.81702,2005-03-29 07:36:30.528,No
binir050328.0358.fits.gz,IGR_J17091,17:09:48.22,-36:28:12.0,2005-03-29,07:37:34,2453458.81776,30.05,1.09,I,K,1145,1868,2000,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,3.0,2453458.81776,2005-03-29 07:37:34.464,No
binir050328.0360.fits.gz,IGR_J17091,17:09:48.25,-36:28:12.0,2005-03-29,07:38:25,2453458.81835,30.04,1.09,I,K,1105,1868,2040,IR_CD_header_logs/LOG_IGR_J17091.20050329thru20050411.csv,IR_CD_header_logs/,IGR_J17091,CD,YALE-03A-0001,IGR J17091-3624,True,3.0,2453458.81835,2005-03-29 07:38:25.440,No
