filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd070503.0074.fits,IGR J17191-2821,17:19:14.73,-28:18:01.8,2007-05-04,06:58:01,2454224.7903,360.0,1.0,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454224.7903,2007-05-04 06:58:01.920,1
rccd070503.0075.fits,IGR J17191-2821,17:19:14.69,-28:18:02.1,2007-05-04,07:04:56,2454224.79509,360.0,1.0,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454224.79509,2007-05-04 07:04:55.776,1
rccd070509.0114.fits,IGR J17191-2821,17:19:14.69,-28:18:00.6,2007-05-10,08:34:43,2454230.85745,360.0,1.08,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454230.85745,2007-05-10 08:34:43.680,1
rccd070509.0115.fits,IGR J17191-2821,17:19:14.85,-28:17:59.5,2007-05-10,08:41:37,2454230.86224,360.0,1.09,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454230.86224,2007-05-10 08:41:37.536,1
rccd070510.0225.fits,IGR J17191-2821,17:19:14.72,-28:18:01.7,2007-05-11,07:54:00,2454231.82917,360.0,1.03,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454231.82917,2007-05-11 07:54:00.288,1
rccd070510.0226.fits,IGR J17191-2821,17:19:14.70,-28:18:00.2,2007-05-11,08:00:54,2454231.83397,360.0,1.04,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454231.83397,2007-05-11 08:00:55.008,1
rccd070511.0082.fits,IGR J17191-2821,17:19:14.83,-28:18:08.1,2007-05-12,08:59:41,2454232.87479,360.0,1.15,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454232.87479,2007-05-12 08:59:41.856,1
rccd070511.0083.fits,IGR J17191-2821,17:19:14.78,-28:18:07.1,2007-05-12,09:06:36,2454232.87958,360.0,1.17,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454232.87958,2007-05-12 09:06:35.712,1
rccd070513.0091.fits,IGR J17191-2821,17:19:14.93,-28:18:08.1,2007-05-14,08:15:24,2454234.84403,360.0,1.08,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454234.84403,2007-05-14 08:15:24.192,1
rccd070513.0092.fits,IGR J17191-2821,17:19:14.94,-28:18:08.2,2007-05-14,08:22:18,2454234.84883,360.0,1.09,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454234.84883,2007-05-14 08:22:18.912,1
rccd070514.0096.fits,IGR J17191-2821,17:19:14.60,-28:18:08.5,2007-05-15,08:29:15,2454235.85365,360.0,1.11,I,H,1210,1828,2060,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454235.85365,2007-05-15 08:29:15.360,1
rccd070514.0097.fits,IGR J17191-2821,17:19:14.55,-28:18:09.5,2007-05-15,08:36:09,2454235.85844,360.0,1.12,V,H,1210,1828,2060,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454235.85844,2007-05-15 08:36:09.216,1
rccd070518.0097.fits,IGR J17191-2821,17:19:14.73,-28:18:01.6,2007-05-19,07:27:44,2454239.81094,360.0,1.04,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454239.81094,2007-05-19 07:27:45.216,1
rccd070518.0098.fits,IGR J17191-2821,17:19:14.75,-28:18:00.0,2007-05-19,07:34:39,2454239.81573,360.0,1.05,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454239.81573,2007-05-19 07:34:39.072,1
rccd070519.0080.fits,IGR J17191-2821,17:19:14.76,-28:18:01.7,2007-05-20,07:34:53,2454240.81589,360.0,1.05,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454240.81589,2007-05-20 07:34:52.896,1
rccd070519.0081.fits,IGR J17191-2821,17:19:14.77,-28:18:00.1,2007-05-20,07:41:47,2454240.82069,360.0,1.06,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454240.82069,2007-05-20 07:41:47.616,1
rccd070520.0086.fits,IGR J17191-2821,17:19:14.72,-28:18:01.8,2007-05-21,07:35:11,2454241.8161,360.0,1.06,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454241.8161,2007-05-21 07:35:11.040,1
rccd070520.0087.fits,IGR J17191-2821,17:19:14.78,-28:18:00.0,2007-05-21,07:42:05,2454241.8209,360.0,1.07,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454241.8209,2007-05-21 07:42:05.760,1
rccd070521.0071.fits,IGR J17191-2821,17:19:14.74,-28:18:01.8,2007-05-22,06:43:20,2454242.7801,360.0,1.01,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454242.7801,2007-05-22 06:43:20.640,1
rccd070521.0072.fits,IGR J17191-2821,17:19:14.81,-28:18:01.5,2007-05-22,06:50:15,2454242.7849,360.0,1.02,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454242.7849,2007-05-22 06:50:15.360,1
rccd070522.0092.fits,IGR J17191-2821,17:19:14.78,-28:18:00.9,2007-05-23,07:48:12,2454243.82514,360.0,1.09,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454243.82514,2007-05-23 07:48:12.096,1
rccd070522.0093.fits,IGR J17191-2821,17:19:14.89,-28:18:00.8,2007-05-23,07:55:06,2454243.82993,360.0,1.1,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454243.82993,2007-05-23 07:55:05.952,1
rccd070523.0079.fits,IGR J17191-2821,17:19:14.72,-28:18:01.9,2007-05-24,05:34:02,2454244.73198,360.0,1.0,I,H,1290,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454244.73198,2007-05-24 05:34:03.072,1
rccd070523.0080.fits,IGR J17191-2821,17:19:14.75,-28:18:02.9,2007-05-24,05:40:57,2454244.73677,360.0,1.0,V,H,1290,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454244.73677,2007-05-24 05:40:56.928,1
rccdREPROC070524.0039.fits,IGR J17191-2821,17:19:13.42,-28:17:45.8,2007-05-25,07:21:44,2454245.80676,360.0,1.06,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454245.80676,2007-05-25 07:21:44.064,No
rccd070524.0039.fits,IGR J17191-2821,17:19:13.42,-28:17:45.8,2007-05-25,07:21:44,2454245.80676,360.0,1.06,I,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,3.0,2454245.80676,2007-05-25 07:21:44.064,1
rccd070524.0040.fits,IGR J17191-2821,17:19:13.48,-28:17:45.6,2007-05-25,07:28:38,2454245.81156,360.0,1.07,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454245.81156,2007-05-25 07:28:38.784,1
rccdREPROC070524.0040.fits,IGR J17191-2821,17:19:13.48,-28:17:45.6,2007-05-25,07:28:38,2454245.81156,360.0,1.07,V,H,1210,1868,2020,optical_CD_header_logs/,IGR J17191-2821,CD,IGR J17191-2821,True,1.0,2454245.81156,2007-05-25 07:28:38.784,No
