filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir070503.0177.fits,IGR J17191-2821,17:19:14.73,-28:18:01.7,2007-05-04,06:57:59,2454224.79027,30.04,1.0,I,H,1210,1868,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79027,2007-05-04 06:57:59.328,1
binir070503.0178.fits,IGR J17191-2821,17:19:14.72,-28:18:01.8,2007-05-04,06:58:44,2454224.79079,30.05,1.0,I,H,1210,1898,1990,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79079,2007-05-04 06:58:44.256,1
binir070503.0179.fits,IGR J17191-2821,17:19:14.72,-28:18:02.0,2007-05-04,06:59:30,2454224.79132,30.04,1.0,I,H,1180,1868,2050,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79132,2007-05-04 06:59:30.048,1
binir070503.0180.fits,IGR J17191-2821,17:19:14.72,-28:18:01.8,2007-05-04,07:00:16,2454224.79185,30.04,1.0,I,H,1240,1838,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79185,2007-05-04 07:00:15.840,1
binir070503.0181.fits,IGR J17191-2821,17:19:14.72,-28:18:02.0,2007-05-04,07:01:01,2454224.79238,30.04,1.0,I,H,1210,1838,2050,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79238,2007-05-04 07:01:01.632,1
binir070503.0182.fits,IGR J17191-2821,17:19:14.72,-28:18:02.9,2007-05-04,07:01:47,2454224.7929,30.05,1.0,I,H,1240,1868,1990,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.7929,2007-05-04 07:01:46.560,1
binir070503.0183.fits,IGR J17191-2821,17:19:14.69,-28:18:02.1,2007-05-04,07:02:32,2454224.79343,30.04,1.0,I,H,1180,1898,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79343,2007-05-04 07:02:32.352,1
binir070503.0184.fits,IGR J17191-2821,17:19:14.70,-28:18:02.1,2007-05-04,07:03:17,2454224.79396,30.04,1.0,I,H,1210,1868,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79396,2007-05-04 07:03:18.144,1
binir070503.0185.fits,IGR J17191-2821,17:19:14.69,-28:18:02.0,2007-05-04,07:04:53,2454224.79506,30.04,1.0,V,H,1210,1868,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79506,2007-05-04 07:04:53.184,1
binir070503.0186.fits,IGR J17191-2821,17:19:14.68,-28:18:02.1,2007-05-04,07:05:38,2454224.79559,30.05,1.0,V,H,1210,1898,1990,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79559,2007-05-04 07:05:38.976,1
binir070503.0187.fits,IGR J17191-2821,17:19:14.68,-28:18:02.0,2007-05-04,07:06:24,2454224.79612,30.04,1.0,V,H,1180,1868,2050,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79612,2007-05-04 07:06:24.768,1
binir070503.0188.fits,IGR J17191-2821,17:19:14.68,-28:18:02.0,2007-05-04,07:07:10,2454224.79664,30.04,1.0,V,H,1240,1838,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79664,2007-05-04 07:07:09.696,1
binir070503.0189.fits,IGR J17191-2821,17:19:14.68,-28:18:01.9,2007-05-04,07:07:55,2454224.79717,30.05,1.0,V,H,1210,1838,2050,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79717,2007-05-04 07:07:55.488,1
binir070503.0190.fits,IGR J17191-2821,17:19:14.66,-28:18:02.0,2007-05-04,07:08:41,2454224.7977,30.05,1.0,V,H,1240,1868,1990,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.7977,2007-05-04 07:08:41.280,1
binir070503.0191.fits,IGR J17191-2821,17:19:14.64,-28:18:02.0,2007-05-04,07:09:26,2454224.79822,30.04,1.0,V,H,1180,1898,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79822,2007-05-04 07:09:26.208,1
binir070503.0192.fits,IGR J17191-2821,17:19:14.64,-28:18:02.0,2007-05-04,07:10:12,2454224.79875,30.05,1.0,V,H,1210,1868,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454224.79875,2007-05-04 07:10:12.000,1
binir070509.0300.fits,IGR J17191-2821,17:19:14.71,-28:18:00.7,2007-05-10,08:34:40,2454230.85742,30.04,1.08,I,H,1210,1868,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454230.85742,2007-05-10 08:34:41.088,1
binir070509.0301.fits,IGR J17191-2821,17:19:14.68,-28:18:00.4,2007-05-10,08:35:26,2454230.85794,30.04,1.08,I,H,1210,1898,1990,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454230.85794,2007-05-10 08:35:26.016,1
binir070509.0302.fits,IGR J17191-2821,17:19:14.72,-28:18:00.2,2007-05-10,08:36:11,2454230.85847,30.04,1.08,I,H,1180,1868,2050,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454230.85847,2007-05-10 08:36:11.808,1
binir070509.0303.fits,IGR J17191-2821,17:19:14.73,-28:18:00.1,2007-05-10,08:36:56,2454230.85899,30.04,1.09,I,H,1240,1838,2020,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454230.85899,2007-05-10 08:36:56.736,1
binir070509.0304.fits,IGR J17191-2821,17:19:14.75,-28:18:00.0,2007-05-10,08:37:41,2454230.85951,30.04,1.09,I,H,1210,1838,2050,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454230.85951,2007-05-10 08:37:41.664,1
binir070509.0305.fits,IGR J17191-2821,17:19:14.78,-28:17:59.9,2007-05-10,08:38:27,2454230.86003,30.05,1.09,I,H,1240,1868,1990,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454230.86003,2007-05-10 08:38:26.592,1
binir070509.0306.fits,IGR J17191-2821,17:19:14.77,-28:18:00.0,2007-05-10,08:39:16,2454230.86061,30.05,1.09,I,H,1240,1868,1990,IR_CD_header_logs/LOG_IGR J17191-2821.20070504thru20070525.csv,IR_CD_header_logs/,IGR J17191-2821,CD,YALE-03A-0001,IGR J17191-2821,True,2.0,2454230.86061,2007-05-10 08:39:16.704,1
