filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd140928.0016.fits,IGRJ1745,17:45:06.78,-30:22:43.7,2014-09-29,00:25:55.223,2456929.51801,210.0,1.17,V,H,1090,1450,2050,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20140901ThruEnd/20140928/ccd/processed/rccd140928.0016.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20140901ThruEnd/20140928/ccd/processed/rccd140928.0016.fits,IGRJ17454,True,optical
rccd141006.0025.fits,IGRJ17454,17:45:28.68,-29:19:56.3,2014-10-07,01:19:31.253,2456937.55523,210.0,1.55,V,H,1040,1590,1960,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20141001ThruEnd/20141006/ccd/processed/rccd141006.0025.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20141001ThruEnd/20141006/ccd/processed/rccd141006.0025.fits,IGRJ17454,True,optical
rccd141006.0024.fits,IGRJ17454,17:45:28.75,-29:19:56.5,2014-10-07,01:15:07.208,2456937.55218,210.0,1.52,B,K,1040,1590,1960,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20141001ThruEnd/20141006/ccd/processed/rccd141006.0024.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20141001ThruEnd/20141006/ccd/processed/rccd141006.0024.fits,IGRJ17454,True,optical
rccd141006.0026.fits,IGRJ17454,17:45:28.59,-29:19:57.2,2014-10-07,01:23:56.579,2456937.5583,210.0,1.58,I,J,1040,1590,1960,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20141001ThruEnd/20141006/ccd/processed/rccd141006.0026.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20141001ThruEnd/20141006/ccd/processed/rccd141006.0026.fits,IGRJ17454,True,optical
rccd140911.0030.fits,IGRJ1745,17:45:06.78,-30:22:43.6,2014-09-12,01:34:10.750,2456912.5654,60.0,1.18,I,K,1000,1550,2040,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0030.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0030.fits,IGRJ17454,True,optical
rccd140911.0029.fits,IGRJ1745,17:45:06.78,-30:22:43.5,2014-09-12,01:32:23.092,2456912.56415,60.0,1.17,I,K,960,1630,2000,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0029.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0029.fits,IGRJ17454,True,optical
rccd140911.0028.fits,IGRJ1745,17:45:06.80,-30:22:43.4,2014-09-12,01:30:35.732,2456912.56291,60.0,1.17,I,K,960,1590,2040,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0028.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0028.fits,IGRJ17454,True,optical
rccd140911.0031.fits,IGRJ1745,17:45:06.78,-30:22:43.8,2014-09-12,01:35:58.333,2456912.56665,60.0,1.18,I,K,960,1590,2040,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0031.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0031.fits,IGRJ17454,True,optical
rccd140911.0032.fits,IGRJ1745,17:45:06.81,-30:22:44.2,2014-09-12,01:37:46.287,2456912.5679,60.0,1.19,I,K,960,1590,2040,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0032.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20140901ThruEnd/20140911/ccd/processed/rccd140911.0032.fits,IGRJ17454,True,optical
rccd140928.0017.fits,IGRJ1745,17:45:06.80,-30:22:44.2,2014-09-29,00:30:21.352,2456929.52109,210.0,1.19,I,K,1090,1450,2050,usbdrivescrapelog_IGRJ17454.csv,/USB3/archive/20140901ThruEnd/20140928/ccd/processed/rccd140928.0017.fits,,Data scrape,ESA-14B-TOO,/USB3/archive/20140901ThruEnd/20140928/ccd/processed/rccd140928.0017.fits,IGRJ17454,True,optical
