filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir180321.0425.fits,IGR_J17379-3747,17:37:58.84,-37:46:19.0,2018-03-22,07:57:19.018,2458199.83146,40.04,1.17,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.83146,2018-03-22 07:57:18.144,1
binir180321.0426.fits,IGR_J17379-3747,17:37:58.86,-37:46:19.1,2018-03-22,07:58:11.476,2458199.83206,40.04,1.16,I,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.83206,2018-03-22 07:58:09.984,1
binir180321.0427.fits,IGR_J17379-3747,17:37:58.89,-37:46:19.2,2018-03-22,07:59:04.506,2458199.83267,40.04,1.16,I,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.83267,2018-03-22 07:59:02.688,1
binir180321.0428.fits,IGR_J17379-3747,17:37:58.86,-37:46:19.4,2018-03-22,07:59:57.330,2458199.83328,40.04,1.16,I,H,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.83328,2018-03-22 07:59:55.392,1
binir180321.0429.fits,IGR_J17379-3747,17:37:58.88,-37:46:19.5,2018-03-22,08:00:50.065,2458199.83389,40.04,1.16,I,H,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.83389,2018-03-22 08:00:48.096,1
binir180321.0430.fits,IGR_J17379-3747,17:37:58.87,-37:46:19.6,2018-03-22,08:01:42.783,2458199.8345,40.04,1.16,I,H,1080,1590,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.8345,2018-03-22 08:01:40.800,1
binir180321.0431.fits,IGR_J17379-3747,17:37:58.89,-37:46:19.8,2018-03-22,08:02:35.738,2458199.83511,40.04,1.15,I,H,1000,1630,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.83511,2018-03-22 08:02:33.504,1
binir180321.0432.fits,IGR_J17379-3747,17:37:58.89,-37:46:19.9,2018-03-22,08:03:28.219,2458199.83573,40.04,1.15,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.83573,2018-03-22 08:03:27.072,1
binir180321.0433.fits,IGR_J17379-3747,17:37:58.90,-37:46:20.1,2018-03-22,08:04:20.965,2458199.83634,40.04,1.15,I,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.83634,2018-03-22 08:04:19.776,1
binir180321.0434.fits,IGR_J17379-3747,17:37:58.91,-37:46:20.2,2018-03-22,08:05:13.789,2458199.83694,40.04,1.15,I,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458199.83694,2018-03-22 08:05:11.616,1
binir180329.0490.fits,IGR_J17379-374,17:37:58.83,-37:46:18.8,2018-03-30,08:01:48.557,2458207.83458,40.04,1.09,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.83458,2018-03-30 08:01:47.712,1
binir180329.0491.fits,IGR_J17379-374,17:37:58.86,-37:46:19.0,2018-03-30,08:02:41.268,2458207.83519,40.04,1.09,I,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.83519,2018-03-30 08:02:40.416,1
binir180329.0492.fits,IGR_J17379-374,17:37:58.86,-37:46:18.9,2018-03-30,08:03:34.090,2458207.8358,40.04,1.09,I,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.8358,2018-03-30 08:03:33.120,1
binir180329.0493.fits,IGR_J17379-374,17:37:58.87,-37:46:18.9,2018-03-30,08:04:27.167,2458207.83641,40.04,1.09,I,H,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.83641,2018-03-30 08:04:25.824,1
binir180329.0494.fits,IGR_J17379-374,17:37:58.89,-37:46:18.8,2018-03-30,08:05:19.645,2458207.83702,40.04,1.09,I,H,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.83702,2018-03-30 08:05:18.528,1
binir180329.0495.fits,IGR_J17379-374,17:37:58.90,-37:46:18.8,2018-03-30,08:06:12.604,2458207.83763,40.04,1.09,I,H,1080,1590,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.83763,2018-03-30 08:06:11.232,1
binir180329.0496.fits,IGR_J17379-374,17:37:58.91,-37:46:18.7,2018-03-30,08:07:05.342,2458207.83824,40.04,1.09,I,H,1000,1630,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.83824,2018-03-30 08:07:03.936,1
binir180329.0497.fits,IGR_J17379-374,17:37:58.94,-37:46:18.7,2018-03-30,08:07:58.047,2458207.83885,40.04,1.08,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.83885,2018-03-30 08:07:56.640,1
binir180329.0498.fits,IGR_J17379-374,17:37:58.95,-37:46:18.8,2018-03-30,08:08:50.542,2458207.83946,40.05,1.08,I,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.83946,2018-03-30 08:08:49.344,1
binir180329.0499.fits,IGR_J17379-374,17:37:58.97,-37:46:18.9,2018-03-30,08:09:43.626,2458207.84007,40.04,1.08,I,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458207.84007,2018-03-30 08:09:42.048,1
binir180331.0473.fits,IGR_J17379-3747,17:37:58.83,-37:46:18.9,2018-04-01,08:42:48.816,2458209.86306,40.04,1.03,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,IGR_J17379-3747,True,2.0,2458209.86306,2018-04-01 08:42:48.384,1
