filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd160725.0116.fits,XMMUJ004,00:48:55.52,-73:49:45.2,2016-07-26,07:43:22.767,2457595.82179,60.0,1.42,R,J,1040,1590,1960,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160725/ccd/processed/rccd160725.0116.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160725/ccd/processed/rccd160725.0116.fits,J004308.6+411247,True,optical
rccd160717.0106.fits,XMMUJ004,00:48:55.22,-73:49:44.1,2016-07-18,09:32:14.082,2457587.89738,60.0,1.38,I,K,1040,1650,1900,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0106.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0106.fits,J004308.6+411247,True,optical
rccd160719.0062.fits,XMMUJ004,00:48:55.20,-73:49:46.6,2016-07-20,09:06:38.938,2457589.87961,60.0,1.38,R,H,980,1590,2020,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160719/ccd/processed/rccd160719.0062.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160719/ccd/processed/rccd160719.0062.fits,J004308.6+411247,True,optical
rccd160719.0061.fits,XMMUJ004,00:48:55.30,-73:49:46.5,2016-07-20,09:04:50.700,2457589.87836,60.0,1.38,R,H,1040,1650,1900,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160719/ccd/processed/rccd160719.0061.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160719/ccd/processed/rccd160719.0061.fits,J004308.6+411247,True,optical
rccd160719.0060.fits,XMMUJ004,00:48:55.37,-73:49:46.6,2016-07-20,09:03:01.987,2457589.8771,60.0,1.38,R,H,1040,1590,1960,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160719/ccd/processed/rccd160719.0060.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160719/ccd/processed/rccd160719.0060.fits,J004308.6+411247,True,optical
rccd160717.0109.fits,XMMUJ004,00:48:54.98,-73:49:44.0,2016-07-18,09:37:50.478,2457587.90127,60.0,1.38,R,H,1040,1650,1900,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0109.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0109.fits,J004308.6+411247,True,optical
rccd160717.0111.fits,XMMUJ004,00:48:54.87,-73:49:44.3,2016-07-18,09:41:35.433,2457587.90388,60.0,1.38,V,J,1040,1590,1960,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0111.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0111.fits,J004308.6+411247,True,optical
rccd160717.0113.fits,XMMUJ004,00:48:54.89,-73:49:44.9,2016-07-18,09:45:11.537,2457587.90638,60.0,1.38,V,J,980,1590,2020,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0113.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0113.fits,J004308.6+411247,True,optical
rccd160717.0107.fits,XMMUJ004,00:48:55.13,-73:49:44.0,2016-07-18,09:34:02.065,2457587.89863,60.0,1.38,I,K,980,1590,2020,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0107.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0107.fits,J004308.6+411247,True,optical
rccd160717.0105.fits,XMMUJ004,00:48:55.28,-73:49:44.5,2016-07-18,09:30:26.405,2457587.89613,60.0,1.38,I,K,1040,1590,1960,usbdrivescrapelog_J004308.6+411247.csv,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0105.fits,,Data scrape,YNUS-16A-0001,/USB3/archive/20160701ThruEnd/20160717/ccd/processed/rccd160717.0105.fits,J004308.6+411247,True,optical
