filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd041203.0119.fits,J11435-6109,11:43:52.09,-61:08:58.3,2004-12-04,07:05:29,2453343.79548,330.0,1.66,I,K,1388.0,2035.0,2100.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,J11435,True,optical
rccd041203.0129.fits,J11435-6109,11:43:51.94,-61:09:00.2,2004-12-04,07:57:17,2453343.83145,300.0,1.46,V,J,1388.0,2035.0,2100.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,J11435,True,optical
rccd041203.0130.fits,J11435-6109,11:43:52.15,-61:08:58.3,2004-12-04,08:03:26,2453343.83572,330.0,1.44,I,K,1388.0,2035.0,2100.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,J11435,True,optical
rccd041203.0118.fits,J11435-6109,11:43:51.90,-61:09:00.5,2004-12-04,06:59:21,2453343.79122,300.0,1.69,V,J,1388.0,2035.0,2100.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,J11435,True,optical
rccd041204.0099.fits,J11435-6109,11:43:51.95,-61:09:00.5,2004-12-05,07:53:43,2453344.82897,300.0,1.46,V,J,1388.0,2035.0,2100.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,J11435,True,optical
rccd041204.0089.fits,J11435-6109,11:43:52.13,-61:08:58.6,2004-12-05,07:19:52,2453344.80546,330.0,1.58,I,K,1388.0,2035.0,2100.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,J11435,True,optical
rccd041204.0100.fits,J11435-6109,11:43:52.14,-61:08:58.7,2004-12-05,07:59:51,2453344.83324,330.0,1.44,I,K,1388.0,2035.0,2100.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,J11435,True,optical
rccd041204.0088.fits,J11435-6109,11:43:51.91,-61:09:00.6,2004-12-05,07:13:42,2453344.80119,300.0,1.61,V,J,1388.0,2035.0,2100.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,J11435,True,optical
binir041204.0277.fits,J11435-6109,11:43:52.27,-61:08:58.4,2004-12-05,07:23:55,2453344.80828,40.04,1.57,I,K,1388,1995,2140,IR_CD_header_logs/LOG_J11435-6109.20041129thru20041205.csv,IR_CD_header_logs/,J11435-6109,CD,YALE-03A-0001,,J11435,True,IR
binir041204.0275.fits,J11435-6109,11:43:52.19,-61:08:58.1,2004-12-05,07:21:51,2453344.80685,40.04,1.58,I,K,1348,2035,2140,IR_CD_header_logs/LOG_J11435-6109.20041129thru20041205.csv,IR_CD_header_logs/,J11435-6109,CD,YALE-03A-0001,,J11435,True,IR
binir041204.0274.fits,J11435-6109,11:43:52.19,-61:08:58.6,2004-12-05,07:20:49,2453344.80612,40.04,1.58,I,K,1388,2075,2060,IR_CD_header_logs/LOG_J11435-6109.20041129thru20041205.csv,IR_CD_header_logs/,J11435-6109,CD,YALE-03A-0001,,J11435,True,IR
binir041204.0273.fits,J11435-6109,11:43:52.14,-61:08:58.5,2004-12-05,07:19:47,2453344.80541,40.04,1.58,I,K,1388,2035,2100,IR_CD_header_logs/LOG_J11435-6109.20041129thru20041205.csv,IR_CD_header_logs/,J11435-6109,CD,YALE-03A-0001,,J11435,True,IR
binir041204.0272.fits,J11435-6109,11:43:52.04,-61:08:58.6,2004-12-05,07:18:23,2453344.80443,35.04,1.59,V,J,1428,2035,2060,IR_CD_header_logs/LOG_J11435-6109.20041129thru20041205.csv,IR_CD_header_logs/,J11435-6109,CD,YALE-03A-0001,,J11435,True,IR
binir041204.0271.fits,J11435-6109,11:43:52.03,-61:08:59.2,2004-12-05,07:17:25,2453344.80377,35.05,1.59,V,J,1388,1995,2140,IR_CD_header_logs/LOG_J11435-6109.20041129thru20041205.csv,IR_CD_header_logs/,J11435-6109,CD,YALE-03A-0001,,J11435,True,IR
binir041204.0270.fits,J11435-6109,11:43:52.00,-61:08:59.4,2004-12-05,07:16:29,2453344.80312,35.04,1.6,V,J,1428,1995,2100,IR_CD_header_logs/LOG_J11435-6109.20041129thru20041205.csv,IR_CD_header_logs/,J11435-6109,CD,YALE-03A-0001,,J11435,True,IR
