filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir190227.0327.fits,J1357,13:57:17.31,-09:32:11.2,2019-02-28,05:42:53.407,2458542.7381,50.04,1.31,I,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458542.7381,2019-02-28 05:42:51.840,1
binir190227.0328.fits,J1357,13:57:17.33,-09:32:13.0,2019-02-28,05:43:55.869,2458542.73883,50.04,1.3,I,J,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458542.73883,2019-02-28 05:43:54.912,1
binir190227.0329.fits,J1357,13:57:17.32,-09:32:14.2,2019-02-28,05:44:58.778,2458542.73955,50.03,1.3,I,J,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458542.73955,2019-02-28 05:44:57.120,1
binir190227.0330.fits,J1357,13:57:17.36,-09:32:15.3,2019-02-28,05:46:01.476,2458542.74028,50.03,1.29,I,J,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458542.74028,2019-02-28 05:46:00.192,1
binir190227.0331.fits,J1357,13:57:17.33,-09:32:16.2,2019-02-28,05:47:04.151,2458542.74101,50.04,1.29,I,J,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458542.74101,2019-02-28 05:47:03.264,1
binir190227.0332.fits,J1357,13:57:17.33,-09:32:17.2,2019-02-28,05:48:39.877,2458542.74211,50.03,1.29,V,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458542.74211,2019-02-28 05:48:38.304,1
binir190227.0333.fits,J1357,13:57:17.34,-09:32:17.9,2019-02-28,05:49:42.601,2458542.74284,50.04,1.28,V,H,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458542.74284,2019-02-28 05:49:41.376,1
binir190227.0334.fits,J1357,13:57:17.33,-09:32:18.5,2019-02-28,05:50:45.308,2458542.74357,50.04,1.28,V,H,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458542.74357,2019-02-28 05:50:44.448,1
binir190227.0335.fits,J1357,13:57:17.33,-09:32:19.0,2019-02-28,05:51:48.217,2458542.74429,50.03,1.27,V,H,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458542.74429,2019-02-28 05:51:46.656,1
binir190227.0336.fits,J1357,13:57:17.33,-09:32:19.4,2019-02-28,05:52:50.681,2458542.74502,50.03,1.27,V,H,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458542.74502,2019-02-28 05:52:49.728,1
binir190302.0338.fits,J1357,13:57:17.30,-09:32:10.3,2019-03-03,06:13:58.992,2458545.7597,50.04,1.18,I,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458545.7597,2019-03-03 06:13:58.080,1
binir190302.0339.fits,J1357,13:57:17.28,-09:32:10.3,2019-03-03,06:15:01.707,2458545.76042,50.04,1.18,I,J,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458545.76042,2019-03-03 06:15:00.288,1
binir190302.0340.fits,J1357,13:57:17.30,-09:32:10.3,2019-03-03,06:16:04.416,2458545.76115,50.04,1.17,I,J,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458545.76115,2019-03-03 06:16:03.360,1
binir190302.0341.fits,J1357,13:57:17.29,-09:32:10.3,2019-03-03,06:17:07.326,2458545.76188,50.04,1.17,I,J,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458545.76188,2019-03-03 06:17:06.432,1
binir190302.0342.fits,J1357,13:57:17.29,-09:32:10.2,2019-03-03,06:18:09.807,2458545.7626,50.04,1.17,I,J,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458545.7626,2019-03-03 06:18:08.640,1
binir190302.0343.fits,J1357,13:57:17.28,-09:32:10.3,2019-03-03,06:19:45.363,2458545.7637,50.04,1.17,V,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458545.7637,2019-03-03 06:19:43.680,1
binir190302.0344.fits,J1357,13:57:17.29,-09:32:10.3,2019-03-03,06:20:47.809,2458545.76443,50.04,1.16,V,H,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458545.76443,2019-03-03 06:20:46.752,1
binir190302.0345.fits,J1357,13:57:17.28,-09:32:10.3,2019-03-03,06:21:50.718,2458545.76515,50.04,1.16,V,H,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458545.76515,2019-03-03 06:21:48.960,1
binir190302.0346.fits,J1357,13:57:17.28,-09:32:10.3,2019-03-03,06:22:53.426,2458545.76588,50.04,1.16,V,H,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458545.76588,2019-03-03 06:22:52.032,1
binir190302.0347.fits,J1357,13:57:17.28,-09:32:10.3,2019-03-03,06:23:56.153,2458545.76661,50.04,1.16,V,H,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458545.76661,2019-03-03 06:23:55.104,1
binir190306.0311.fits,J1357,13:57:17.31,-09:32:10.6,2019-03-07,05:32:55.567,2458549.73118,50.04,1.25,I,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458549.73118,2019-03-07 05:32:53.952,1
binir190306.0312.fits,J1357,13:57:17.33,-09:32:11.8,2019-03-07,05:33:58.247,2458549.73191,50.03,1.24,I,J,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458549.73191,2019-03-07 05:33:57.024,1
binir190306.0313.fits,J1357,13:57:17.33,-09:32:12.6,2019-03-07,05:35:00.960,2458549.73263,50.03,1.24,I,J,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458549.73263,2019-03-07 05:34:59.232,1
binir190306.0314.fits,J1357,13:57:17.37,-09:32:13.1,2019-03-07,05:36:03.859,2458549.73336,50.04,1.24,I,J,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458549.73336,2019-03-07 05:36:02.304,1
binir190306.0315.fits,J1357,13:57:17.41,-09:32:13.8,2019-03-07,05:37:06.326,2458549.73409,50.04,1.23,I,J,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458549.73409,2019-03-07 05:37:05.376,1
binir190306.0316.fits,J1357,13:57:17.38,-09:32:14.3,2019-03-07,05:38:42.047,2458549.73519,50.03,1.23,V,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458549.73519,2019-03-07 05:38:40.416,1
binir190306.0317.fits,J1357,13:57:17.41,-09:32:14.8,2019-03-07,05:39:44.535,2458549.73592,50.04,1.23,V,H,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458549.73592,2019-03-07 05:39:43.488,1
binir190306.0318.fits,J1357,13:57:17.43,-09:32:15.3,2019-03-07,05:40:47.475,2458549.73664,50.03,1.22,V,H,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458549.73664,2019-03-07 05:40:45.696,1
binir190306.0319.fits,J1357,13:57:17.46,-09:32:15.2,2019-03-07,05:41:50.191,2458549.73737,50.04,1.22,V,H,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458549.73737,2019-03-07 05:41:48.768,1
binir190306.0320.fits,J1357,13:57:17.47,-09:32:15.4,2019-03-07,05:42:52.909,2458549.7381,50.03,1.22,V,H,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458549.7381,2019-03-07 05:42:51.840,1
binir190311.0302.fits,J1357,13:57:17.29,-09:32:10.5,2019-03-12,05:12:23.091,2458554.71692,50.04,1.25,I,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.71692,2019-03-12 05:12:21.888,1
binir190311.0303.fits,J1357,13:57:17.26,-09:32:11.2,2019-03-12,05:13:25.778,2458554.71765,50.04,1.25,I,J,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.71765,2019-03-12 05:13:24.960,1
binir190311.0304.fits,J1357,13:57:17.24,-09:32:12.0,2019-03-12,05:14:28.470,2458554.71838,50.04,1.24,I,J,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.71838,2019-03-12 05:14:28.032,1
binir190311.0305.fits,J1357,13:57:17.24,-09:32:12.5,2019-03-12,05:15:31.383,2458554.71911,50.04,1.24,I,J,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.71911,2019-03-12 05:15:31.104,1
binir190311.0306.fits,J1357,13:57:17.24,-09:32:12.8,2019-03-12,05:16:33.857,2458554.71983,50.04,1.24,I,J,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.71983,2019-03-12 05:16:33.312,1
binir190311.0307.fits,J1357,13:57:17.22,-09:32:13.9,2019-03-12,05:18:09.221,2458554.72093,50.04,1.23,V,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.72093,2019-03-12 05:18:08.352,1
binir190311.0308.fits,J1357,13:57:17.22,-09:32:13.8,2019-03-12,05:19:11.698,2458554.72166,50.04,1.23,V,H,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.72166,2019-03-12 05:19:11.424,1
binir190311.0309.fits,J1357,13:57:17.25,-09:32:14.0,2019-03-12,05:20:14.621,2458554.72238,50.04,1.23,V,H,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.72238,2019-03-12 05:20:13.632,1
binir190311.0310.fits,J1357,13:57:17.25,-09:32:14.2,2019-03-12,05:21:17.311,2458554.72311,50.04,1.22,V,H,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.72311,2019-03-12 05:21:16.704,1
binir190311.0311.fits,J1357,13:57:17.25,-09:32:14.7,2019-03-12,05:22:19.994,2458554.72384,50.04,1.22,V,H,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.72384,2019-03-12 05:22:19.776,1
binir190311.0312.fits,J1357,13:57:17.30,-09:32:15.5,2019-03-12,05:24:53.308,2458554.7256,50.03,1.21,I,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.7256,2019-03-12 05:24:51.840,1
binir190311.0313.fits,J1357,13:57:17.33,-09:32:15.2,2019-03-12,05:25:56.004,2458554.72634,50.04,1.21,I,J,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.72634,2019-03-12 05:25:55.776,1
binir190311.0314.fits,J1357,13:57:17.34,-09:32:15.6,2019-03-12,05:26:58.697,2458554.72706,50.04,1.21,I,J,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.72706,2019-03-12 05:26:57.984,1
binir190311.0315.fits,J1357,13:57:17.37,-09:32:15.7,2019-03-12,05:28:01.621,2458554.72779,50.03,1.2,I,J,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.72779,2019-03-12 05:28:01.056,1
binir190311.0316.fits,J1357,13:57:17.42,-09:32:16.0,2019-03-12,05:29:04.084,2458554.72851,50.03,1.2,I,J,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458554.72851,2019-03-12 05:29:03.264,1
binir190311.0317.fits,J1357,13:57:17.45,-09:32:16.0,2019-03-12,05:30:39.520,2458554.72961,50.03,1.2,V,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.72961,2019-03-12 05:30:38.304,1
binir190311.0318.fits,J1357,13:57:17.48,-09:32:16.4,2019-03-12,05:31:41.984,2458554.73034,50.03,1.19,V,H,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.73034,2019-03-12 05:31:41.376,1
binir190311.0319.fits,J1357,13:57:17.51,-09:32:16.4,2019-03-12,05:32:44.900,2458554.73107,50.04,1.19,V,H,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.73107,2019-03-12 05:32:44.448,1
binir190311.0320.fits,J1357,13:57:17.52,-09:32:16.8,2019-03-12,05:33:47.600,2458554.73179,50.04,1.19,V,H,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.73179,2019-03-12 05:33:46.656,1
binir190311.0321.fits,J1357,13:57:17.55,-09:32:17.1,2019-03-12,05:34:50.276,2458554.73252,50.03,1.19,V,H,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458554.73252,2019-03-12 05:34:49.728,1
binir190323.0294.fits,J1357,13:57:17.28,-09:32:10.5,2019-03-24,06:02:26.341,2458566.75168,50.04,1.08,I,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458566.75168,2019-03-24 06:02:25.152,1
binir190323.0295.fits,J1357,13:57:17.24,-09:32:10.3,2019-03-24,06:03:28.808,2458566.7524,50.04,1.08,I,J,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458566.7524,2019-03-24 06:03:27.360,1
binir190323.0296.fits,J1357,13:57:17.20,-09:32:10.4,2019-03-24,06:04:31.720,2458566.75313,50.03,1.08,I,J,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458566.75313,2019-03-24 06:04:30.432,1
binir190323.0297.fits,J1357,13:57:17.16,-09:32:10.5,2019-03-24,06:05:34.430,2458566.75385,50.04,1.08,I,J,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458566.75385,2019-03-24 06:05:32.640,1
binir190323.0298.fits,J1357,13:57:17.17,-09:32:10.6,2019-03-24,06:06:37.169,2458566.75458,50.03,1.08,I,J,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458566.75458,2019-03-24 06:06:35.712,1
binir190323.0299.fits,J1357,13:57:17.15,-09:32:10.6,2019-03-24,06:08:12.770,2458566.75568,50.04,1.08,V,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458566.75568,2019-03-24 06:08:10.752,1
binir190323.0300.fits,J1357,13:57:17.14,-09:32:10.9,2019-03-24,06:09:15.501,2458566.75641,50.03,1.07,V,H,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458566.75641,2019-03-24 06:09:13.824,1
binir190323.0301.fits,J1357,13:57:17.12,-09:32:11.0,2019-03-24,06:10:18.194,2458566.75714,50.03,1.07,V,H,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458566.75714,2019-03-24 06:10:16.896,1
binir190323.0302.fits,J1357,13:57:17.12,-09:32:11.0,2019-03-24,06:11:21.111,2458566.75787,50.04,1.07,V,H,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458566.75787,2019-03-24 06:11:19.968,1
binir190323.0303.fits,J1357,13:57:17.10,-09:32:11.0,2019-03-24,06:12:23.590,2458566.75859,50.03,1.07,V,H,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458566.75859,2019-03-24 06:12:22.176,1
binir190326.0257.fits,J1357,13:57:17.29,-09:32:10.3,2019-03-27,04:55:04.632,2458569.7049,50.03,1.15,I,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458569.7049,2019-03-27 04:55:03.360,1
binir190326.0258.fits,J1357,13:57:17.25,-09:32:10.6,2019-03-27,04:56:07.222,2458569.70562,50.04,1.14,I,J,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458569.70562,2019-03-27 04:56:05.568,1
binir190326.0259.fits,J1357,13:57:17.22,-09:32:10.7,2019-03-27,04:57:09.829,2458569.70634,50.03,1.14,I,J,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458569.70634,2019-03-27 04:57:07.776,1
binir190326.0260.fits,J1357,13:57:17.19,-09:32:10.7,2019-03-27,04:58:12.666,2458569.70707,50.04,1.14,I,J,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458569.70707,2019-03-27 04:58:10.848,1
binir190326.0261.fits,J1357,13:57:17.16,-09:32:10.9,2019-03-27,04:59:15.037,2458569.7078,50.03,1.14,I,J,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458569.7078,2019-03-27 04:59:13.920,1
binir190326.0262.fits,J1357,13:57:17.11,-09:32:11.0,2019-03-27,05:00:50.203,2458569.70889,50.03,1.14,V,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458569.70889,2019-03-27 05:00:48.096,1
binir190326.0263.fits,J1357,13:57:17.08,-09:32:11.3,2019-03-27,05:01:52.546,2458569.70962,50.03,1.13,V,H,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458569.70962,2019-03-27 05:01:51.168,1
binir190326.0264.fits,J1357,13:57:17.08,-09:32:11.5,2019-03-27,05:02:55.363,2458569.71034,50.04,1.13,V,H,1020,1590,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458569.71034,2019-03-27 05:02:53.376,1
binir190326.0265.fits,J1357,13:57:17.07,-09:32:11.6,2019-03-27,05:03:57.946,2458569.71107,50.03,1.13,V,H,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458569.71107,2019-03-27 05:03:56.448,1
binir190326.0266.fits,J1357,13:57:17.04,-09:32:12.2,2019-03-27,05:05:00.563,2458569.71179,50.04,1.13,V,H,1040,1570,1980,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,2.0,2458569.71179,2019-03-27 05:04:58.656,1
binir190329.0213.fits,J1357,13:57:17.30,-09:32:09.6,2019-03-30,03:47:44.563,2458572.65814,50.04,1.3,I,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458572.65814,2019-03-30 03:47:43.296,1
binir190329.0214.fits,J1357,13:57:17.29,-09:32:10.4,2019-03-30,03:48:46.954,2458572.65887,50.04,1.29,I,J,1040,1610,1940,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1357,True,1.0,2458572.65887,2019-03-30 03:48:46.368,1
