filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
ir090728.0226,Swift_J1626.6,16:26:36.4,-51:56:30,2009-07-29,03:53:29.6,2455041.6622,70.0,1.33,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
ir090728.0233,Swift_J1626.6,16:26:36.1,-51:56:30,2009-07-29,04:03:31.6,2455041.6691,70.0,1.36,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
ir090728.0232,Swift_J1626.6,16:26:36.1,-51:56:30,2009-07-29,04:02:05.7,2455041.6681,70.0,1.35,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
ir090728.0231,Swift_J1626.6,16:26:36.2,-51:56:30,2009-07-29,04:00:39.8,2455041.6671,70.0,1.35,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
ir090728.0230,Swift_J1626.6,16:26:36.2,-51:56:30,2009-07-29,03:59:13.7,2455041.6661,70.0,1.35,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
ir090728.0229,Swift_J1626.6,16:26:36.2,-51:56:30,2009-07-29,03:57:47.7,2455041.6651,70.0,1.34,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
ir090728.0228,Swift_J1626.6,16:26:36.3,-51:56:30,2009-07-29,03:56:21.9,2455041.6642,70.0,1.34,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
ir090728.0227,Swift_J1626.6,16:26:36.4,-51:56:30,2009-07-29,03:54:55.7,2455041.6631,70.0,1.33,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
ir090728.0225,Swift_J1626.6,16:26:36.4,-51:56:31,2009-07-29,03:52:03.7,2455041.6612,70.0,1.32,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
ir090708.0158,Swift_J1626.6,16:26:33.8,-51:56:17,2009-07-09,02:57:08.6,2455021.623,70.0,1.1,J,J,,,,usbdrivereplog_J1626.6.csv,,,Data replog,,,J1626.6,True,IR
