filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd030617.0027.fits,J1628-41,16:28:47.29,-41:52:38.4,2003-06-18,04:24:16,2452808.68352,300.0,1.04,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452808.68352,2003-06-18 04:24:16.128,2
rccd030618.0092.fits,J1628-41,16:28:47.30,-41:52:38.5,2003-06-19,04:36:58,2452809.69234,300.0,1.06,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452809.69234,2003-06-19 04:36:58.176,2
rccd030619.0039.fits,J1628-41,16:28:47.25,-41:52:38.5,2003-06-20,01:23:18,2452810.55786,300.0,1.12,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452810.55786,2003-06-20 01:23:19.104,2
rccd030620.0026.fits,J1628-41,16:28:47.30,-41:52:38.4,2003-06-21,01:26:45,2452811.56025,300.0,1.1,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452811.56025,2003-06-21 01:26:45.600,2
rccd030621.0071.fits,J1628-41,16:28:47.30,-41:52:38.4,2003-06-22,03:11:16,2452812.63282,300.0,1.02,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452812.63282,2003-06-22 03:11:15.648,2
rccd030622.0007.fits,J1628-41,16:28:47.27,-41:52:38.7,2003-06-22,23:32:28,2452813.48088,300.0,1.41,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452813.48088,2003-06-22 23:32:28.032,2
rccd030623.0007.fits,J1628-41,16:28:47.24,-41:52:38.8,2003-06-23,23:37:42,2452814.48452,300.0,1.37,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452814.48452,2003-06-23 23:37:42.528,2
rccd030624.0047.fits,J1628-41,16:28:47.28,-41:52:38.2,2003-06-25,01:02:52,2452815.54366,300.0,1.12,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452815.54366,2003-06-25 01:02:52.224,2
rccd030624.0137.fits,J1628-41,16:28:47.24,-41:52:38.3,2003-06-25,06:46:08,2452815.78204,300.0,1.45,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452815.78204,2003-06-25 06:46:08.256,2
rccd030625.0034.fits,J1628-41,16:28:47.25,-41:52:39.2,2003-06-26,00:13:56,2452816.50968,300.0,1.22,V,J,1732.0,2137.0,2430.0,optical_CD_header_logs/,J1628-41,CD,J1628-41,True,1.0,2452816.50968,2003-06-26 00:13:56.352,2
