filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd050802.0033.fits,J16283-4838,16:28:10.83,-48:38:55.9,2005-08-03,02:18:16,2453585.59603,450.0,1.14,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050905.0018.fits,J16283-4838,16:28:10.31,-48:38:57.3,2005-09-05,23:51:32,2453619.49413,450.0,1.12,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YAL2-03A-0001,,J16283-4838,True,optical
rccd050823.0013.fits,J16283-4838,16:28:11.01,-48:38:56.9,2005-08-24,03:02:00,2453606.6264,450.0,1.51,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YAL2-03A-0001,,J16283-4838,True,optical
rccd050727.0053.fits,J16283-4838,16:28:10.21,-48:38:47.4,2005-07-28,02:37:03,2453579.60907,450.0,1.13,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050608.0092.fits,J16283-4838,16:28:10.80,-48:38:56.0,2005-06-09,03:39:31,2453530.65245,450.0,1.06,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050621.0122.fits,J16283-4838,16:28:10.83,-48:38:55.9,2005-06-22,03:59:31,2453543.66633,450.0,1.07,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050622.0132.fits,J16283-4838,16:28:10.81,-48:38:56.2,2005-06-23,03:18:03,2453544.63754,450.0,1.06,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050625.0095.fits,J16283-4838,16:28:10.74,-48:38:59.3,2005-06-26,05:26:43,2453547.72689,450.0,1.21,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050530.0124.fits,J16283-4838,16:28:09.41,-48:39:01.9,2005-05-31,05:02:44,2453521.71023,450.0,1.06,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050602.0053.fits,J16283-4838,16:28:10.82,-48:38:55.9,2005-06-03,04:19:15,2453524.68004,450.0,1.06,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050605.0049.fits,J16283-4838,16:28:10.82,-48:38:56.2,2005-06-06,02:43:39,2453527.61366,450.0,1.11,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050718.0080.fits,J16283-4838,16:28:10.81,-48:38:56.0,2005-07-19,02:47:29,2453570.61631,450.0,1.1,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050722.0049.fits,J16283-4838,16:28:09.44,-48:39:04.1,2005-07-23,01:41:49,2453574.57071,450.0,1.06,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050725.0047.fits,J16283-4838,16:28:09.10,-48:39:06.5,2005-07-26,01:56:57,2453577.58122,450.0,1.08,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050707.0070.fits,J16283-4838,16:28:09.87,-48:38:48.7,2005-07-08,03:57:52,2453559.66519,450.0,1.13,R,K,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050422.0108.fits,J16283-4838,16:28:10.82,-48:38:56100000.0,2005-04-23,05:42:25,2453483.7378,450.0,1.1,R,K,1145.0,1868.0,2000.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050425.0060.fits,J16283-4838,16:28:10.82,-48:38:56100000.0,2005-04-26,05:48:33,2453486.74205,450.0,1.08,R,K,1145.0,1868.0,2000.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050416.0125.fits,J16283-4838,16:28:10.82,-48:38:55.9,2005-04-17,07:30:30,2453477.81285,450.0,1.06,R,K,1145.0,1868.0,2000.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
rccd050415.0101.fits,J16283-4838,16:28:10.80,-48:38:04.4,2005-04-16,07:20:34,2453476.80596,450.0,1.06,R,K,1145.0,1868.0,2000.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,J16283-4838,True,optical
