filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir180607.0245.fits,J1727-203,17:28:29.92,-20:22:56.3,2018-06-08,03:05:25.253,2458277.62875,25.04,1.14,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458277.62875,2018-06-08 03:05:24.000,1
binir180607.0246.fits,J1727-203,17:28:29.91,-20:22:56.6,2018-06-08,03:06:02.786,2458277.62918,25.05,1.14,I,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458277.62918,2018-06-08 03:06:01.152,1
binir180607.0247.fits,J1727-203,17:28:29.93,-20:22:56.7,2018-06-08,03:06:40.878,2458277.62962,25.05,1.14,I,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458277.62962,2018-06-08 03:06:39.168,1
binir180607.0248.fits,J1727-203,17:28:29.96,-20:22:56.6,2018-06-08,03:07:18.736,2458277.63006,25.0,1.14,I,H,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458277.63006,2018-06-08 03:07:17.184,1
binir180607.0249.fits,J1727-203,17:28:29.98,-20:22:56.7,2018-06-08,03:07:56.433,2458277.6305,25.04,1.14,I,H,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458277.6305,2018-06-08 03:07:55.200,1
binir180607.0250.fits,J1727-203,17:28:30.01,-20:22:57.0,2018-06-08,03:08:34.212,2458277.63093,25.04,1.14,I,H,1080,1590,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458277.63093,2018-06-08 03:08:32.352,1
binir180607.0251.fits,J1727-203,17:28:30.07,-20:22:57.2,2018-06-08,03:10:11.081,2458277.63205,25.05,1.13,V,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458277.63205,2018-06-08 03:10:09.120,1
binir180607.0252.fits,J1727-203,17:28:30.08,-20:22:57.2,2018-06-08,03:10:48.584,2458277.63249,25.0,1.13,V,J,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458277.63249,2018-06-08 03:10:47.136,1
binir180607.0253.fits,J1727-203,17:28:30.10,-20:22:57.1,2018-06-08,03:11:26.639,2458277.63293,25.04,1.13,V,J,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458277.63293,2018-06-08 03:11:25.152,1
binir180607.0254.fits,J1727-203,17:28:30.12,-20:22:57.3,2018-06-08,03:12:04.503,2458277.63336,25.04,1.13,V,J,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458277.63336,2018-06-08 03:12:02.304,1
binir180607.0255.fits,J1727-203,17:28:30.14,-20:22:57.3,2018-06-08,03:12:42.303,2458277.63381,25.04,1.13,V,J,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458277.63381,2018-06-08 03:12:41.184,1
binir180607.0256.fits,J1727-203,17:28:30.15,-20:22:57.5,2018-06-08,03:13:20.069,2458277.63424,25.05,1.13,V,J,1080,1590,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458277.63424,2018-06-08 03:13:18.336,1
binir180607.0257.fits,J1727-203,17:28:30.20,-20:22:58.0,2018-06-08,03:14:55.743,2458277.63536,25.05,1.12,B,K,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,3.0,2458277.63536,2018-06-08 03:14:55.104,1
binir180607.0258.fits,J1727-203,17:28:30.23,-20:22:57.7,2018-06-08,03:15:33.251,2458277.63578,25.05,1.12,B,K,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,3.0,2458277.63578,2018-06-08 03:15:31.392,1
binir180607.0259.fits,J1727-203,17:28:30.25,-20:22:57.7,2018-06-08,03:16:11.339,2458277.63622,25.05,1.12,B,K,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,3.0,2458277.63622,2018-06-08 03:16:09.408,1
binir180607.0260.fits,J1727-203,17:28:30.26,-20:22:57.8,2018-06-08,03:16:49.222,2458277.63666,25.05,1.12,B,K,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,3.0,2458277.63666,2018-06-08 03:16:47.424,1
binir180607.0261.fits,J1727-203,17:28:30.28,-20:22:57.9,2018-06-08,03:17:27.022,2458277.6371,25.05,1.12,B,K,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,3.0,2458277.6371,2018-06-08 03:17:25.440,1
binir180607.0262.fits,J1727-203,17:28:30.29,-20:22:57.9,2018-06-08,03:18:04.780,2458277.63754,25.05,1.12,B,K,1080,1590,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,3.0,2458277.63754,2018-06-08 03:18:03.456,1
binir180608.0380.fits,J1727-203,17:28:29.93,-20:22:56.3,2018-06-09,05:14:32.199,2458278.71838,25.04,1.02,I,H,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458278.71838,2018-06-09 05:14:28.032,1
binir180608.0381.fits,J1727-203,17:28:29.92,-20:22:56.4,2018-06-09,05:15:09.958,2458278.71885,25.05,1.02,I,H,1060,1610,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458278.71885,2018-06-09 05:15:08.640,1
binir180608.0382.fits,J1727-203,17:28:29.92,-20:22:56.4,2018-06-09,05:15:47.800,2458278.71928,25.0,1.02,I,H,1020,1570,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458278.71928,2018-06-09 05:15:45.792,1
binir180608.0383.fits,J1727-203,17:28:29.94,-20:22:56.6,2018-06-09,05:16:25.802,2458278.71972,25.05,1.02,I,H,1100,1530,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458278.71972,2018-06-09 05:16:23.808,1
binir180608.0384.fits,J1727-203,17:28:29.95,-20:22:56.4,2018-06-09,05:17:03.310,2458278.72016,25.04,1.02,I,H,1060,1530,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458278.72016,2018-06-09 05:17:01.824,1
binir180608.0385.fits,J1727-203,17:28:29.93,-20:22:56.2,2018-06-09,05:17:41.270,2458278.7206,25.05,1.02,I,H,1100,1570,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,2.0,2458278.7206,2018-06-09 05:17:39.840,1
binir180608.0386.fits,J1727-203,17:28:29.95,-20:22:56.6,2018-06-09,05:19:17.929,2458278.72172,25.05,1.02,V,J,1060,1570,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458278.72172,2018-06-09 05:19:16.608,1
binir180608.0387.fits,J1727-203,17:28:29.94,-20:22:56.6,2018-06-09,05:19:55.657,2458278.72216,25.05,1.02,V,J,1060,1610,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458278.72216,2018-06-09 05:19:54.624,1
binir180608.0388.fits,J1727-203,17:28:29.95,-20:22:56.6,2018-06-09,05:20:33.484,2458278.72259,25.04,1.02,V,J,1020,1570,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458278.72259,2018-06-09 05:20:31.776,1
binir180608.0389.fits,J1727-203,17:28:29.95,-20:22:56.4,2018-06-09,05:21:11.565,2458278.72303,25.05,1.02,V,J,1100,1530,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458278.72303,2018-06-09 05:21:09.792,1
binir180608.0390.fits,J1727-203,17:28:29.95,-20:22:56.3,2018-06-09,05:21:49.059,2458278.72347,25.0,1.02,V,J,1060,1530,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458278.72347,2018-06-09 05:21:47.808,1
binir180608.0391.fits,J1727-203,17:28:29.96,-20:22:56.6,2018-06-09,05:22:26.969,2458278.72391,25.05,1.02,V,J,1100,1570,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,J1727-203,True,1.0,2458278.72391,2018-06-09 05:22:25.824,1
