filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir100422.0360.fits,Swift_J1749,17:49:31.92,-28:08:03.1,2010-04-23,06:20:10.176,2455309.764,30.04,1.13,I,H,1250,1880,1990,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.764,2010-04-23 06:20:09.600,1
binir100422.0361.fits,Swift_J1749,17:49:31.85,-28:08:03.1,2010-04-23,06:20:56.048,2455309.76454,30.04,1.13,I,H,1250,1910,1960,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.76454,2010-04-23 06:20:56.256,1
binir100422.0362.fits,Swift_J1749,17:49:31.83,-28:08:02.8,2010-04-23,06:21:42.503,2455309.76507,30.04,1.13,I,H,1220,1880,2020,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.76507,2010-04-23 06:21:42.048,1
binir100422.0363.fits,Swift_J1749,17:49:31.81,-28:08:03.1,2010-04-23,06:22:29.286,2455309.76562,30.04,1.13,I,H,1280,1850,1990,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.76562,2010-04-23 06:22:29.568,1
binir100422.0364.fits,Swift_J1749,17:49:31.80,-28:08:03.2,2010-04-23,06:23:15.125,2455309.76615,30.05,1.13,I,H,1250,1850,2020,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.76615,2010-04-23 06:23:15.360,1
binir100422.0365.fits,Swift_J1749,17:49:31.82,-28:08:02.9,2010-04-23,06:24:01.214,2455309.76668,30.05,1.12,I,H,1280,1880,1960,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.76668,2010-04-23 06:24:01.152,1
binir100422.0366.fits,Swift_J1749,17:49:31.80,-28:08:03.1,2010-04-23,06:24:47.257,2455309.76721,30.04,1.12,I,H,1220,1910,1990,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.76721,2010-04-23 06:24:46.944,1
binir100422.0367.fits,Swift_J1749,17:49:31.77,-28:08:03.1,2010-04-23,06:25:33.217,2455309.76774,30.05,1.12,I,H,1250,1880,1990,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.76774,2010-04-23 06:25:32.736,1
binir100422.0368.fits,Swift_J1749,17:49:31.78,-28:08:02.9,2010-04-23,06:26:19.267,2455309.76828,30.05,1.12,I,H,1250,1910,1960,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.76828,2010-04-23 06:26:19.392,1
binir100422.0369.fits,Swift_J1749,17:49:31.80,-28:08:03.0,2010-04-23,06:27:05.626,2455309.76881,30.04,1.12,I,H,1220,1880,2020,IR_CD_header_logs/LOG_Swift_J1749.20100423thru20100428.csv,IR_CD_header_logs/,Swift_J1749,CD,YALE-03A-0001,J1749.4-2807,True,2.0,2455309.76881,2010-04-23 06:27:05.184,1
