filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd150308.0107.fits,SAX_J1808.4-3658,18:08:27.56,-36:58:44.1,2015-03-09,09:25:30.643,2457090.89271,360.0,1.15,I,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150418.0122.fits,SAX_J1808.4-3658,18:08:27.66,-36:58:43.3,2015-04-19,08:52:25.666,2457131.86974,360.0,1.01,I,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150418.0121.fits,SAX_J1808.4-3658,18:08:27.54,-36:58:44.6,2015-04-19,08:44:35.235,2457131.8643,360.0,1.01,R,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150417.0086.fits,SAX_J1808.4-3658,18:08:27.66,-36:58:43.3,2015-04-18,07:09:10.792,2457130.79804,360.0,1.11,I,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150416.0133.fits,SAX_J1808.4-3658,18:08:27.65,-36:58:43.8,2015-04-17,09:28:59.629,2457129.89513,360.0,1.01,I,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150417.0085.fits,SAX_J1808.4-3658,18:08:27.58,-36:58:42.9,2015-04-18,07:01:48.207,2457130.79292,360.0,1.12,R,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150420.0103.fits,SAX_J1808.4-3658,18:08:27.42,-36:58:44.4,2015-04-21,08:30:03.335,2457133.8542,360.0,1.01,I,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150420.0102.fits,SAX_J1808.4-3658,18:08:27.54,-36:58:45.0,2015-04-21,08:22:04.233,2457133.84866,360.0,1.01,R,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150416.0134.fits,SAX_J1808.4-3658,18:08:27.68,-36:58:45.9,2015-04-17,09:38:15.204,2457129.90156,360.0,1.01,R,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150427.0148.fits,SAX_J1808.4-3658,18:08:27.43,-36:58:43.1,2015-04-28,08:10:22.613,2457140.84055,360.0,1.01,R,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150427.0147.fits,SAX_J1808.4-3658,18:08:27.55,-36:58:44.4,2015-04-28,08:03:12.494,2457140.83557,360.0,1.01,I,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
rccd150426.0157.fits,SAX_J1808.4-3658,18:08:27.48,-36:58:43.8,2015-04-27,08:34:50.200,2457139.85752,360.0,1.01,R,H,1040,1590,1960,xrb_ccd_reduced_2015/LOG_2015.20150103thru20150430.csv,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,,,J1808.4-3658,True,optical
