filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd090129.0051.fits.gz,SAX_J1808.4-3658,18:08:27.48,-36:58:44.6,2009-01-30,09:25:26.798,2454861.89267,360.0,1.94,I,H,1210,1868,2020,optical_CD_header_logs/,SAX_J1808,CD,J1808.4-3658,True,3.0,2454861.89267,2009-01-30 09:25:26.688,No
rccd090129.0052.fits.gz,SAX_J1808.4-3658,18:08:27.51,-36:58:43.6,2009-01-30,09:32:19.516,2454861.89745,360.0,1.87,I,H,1210,1868,2020,optical_CD_header_logs/,SAX_J1808,CD,J1808.4-3658,True,3.0,2454861.89745,2009-01-30 09:32:19.680,2
rccd090209.0071.fits,SAX_J1808.4-3658,18:08:27.49,-36:58:44.7,2009-02-10,09:02:04.748,2454872.87645,360.0,1.75,R,H,1210,1868,2020,optical_CD_header_logs/,SAX_J1808,CD,J1808.4-3658,True,2.0,2454872.87645,2009-02-10 09:02:05.280,2
rccd090209.0072.fits,SAX_J1808.4-3658,18:08:27.60,-36:58:44.4,2009-02-10,09:08:57.951,2454872.88123,360.0,1.69,R,H,1210,1868,2020,optical_CD_header_logs/,SAX_J1808,CD,J1808.4-3658,True,2.0,2454872.88123,2009-02-10 09:08:58.272,1
rccd090210.0070.fits,SAX_J1808.4-3658,18:08:27.90,-36:58:22.3,2009-02-11,08:36:37.387,2454873.85877,360.0,1.96,I,H,1210,1868,2020,optical_CD_header_logs/,SAX_J1808,CD,J1808.4-3658,True,3.0,2454873.85877,2009-02-11 08:36:37.728,1
rccd090210.0071.fits,SAX_J1808.4-3658,18:08:28.72,-36:58:46.9,2009-02-11,08:50:11.508,2454873.86819,360.0,1.82,I,H,1210,1868,2020,optical_CD_header_logs/,SAX_J1808,CD,J1808.4-3658,True,3.0,2454873.86819,2009-02-11 08:50:11.616,No
rccd090210.0072.fits,SAX_J1808.4-3658,18:08:28.90,-36:58:45.3,2009-02-11,08:57:04.556,2454873.87297,360.0,1.76,I,H,1210,1868,2020,optical_CD_header_logs/,SAX_J1808,CD,J1808.4-3658,True,3.0,2454873.87297,2009-02-11 08:57:04.608,No
rccd150308.0107.fits,SAX_J1808.4-3658,18:08:27.56,-36:58:44.1,2015-03-09,09:25:30.643,2457090.89271,360.0,1.15,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457090.89271,2015-03-09 09:25:30.144,No
rccd150416.0133.fits,SAX_J1808.4-3658,18:08:27.65,-36:58:43.8,2015-04-17,09:28:59.629,2457129.89513,360.0,1.01,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457129.89513,2015-04-17 09:28:59.232,2
rccd150416.0134.fits,SAX_J1808.4-3658,18:08:27.68,-36:58:45.9,2015-04-17,09:38:15.204,2457129.90156,360.0,1.01,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457129.90156,2015-04-17 09:38:14.784,2
rccd150417.0085.fits,SAX_J1808.4-3658,18:08:27.58,-36:58:42.9,2015-04-18,07:01:48.207,2457130.79292,360.0,1.12,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457130.79292,2015-04-18 07:01:48.288,1
rccd150417.0086.fits,SAX_J1808.4-3658,18:08:27.66,-36:58:43.3,2015-04-18,07:09:10.792,2457130.79804,360.0,1.11,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457130.79804,2015-04-18 07:09:10.656,1
rccd150418.0121.fits,SAX_J1808.4-3658,18:08:27.54,-36:58:44.6,2015-04-19,08:44:35.235,2457131.8643,360.0,1.01,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457131.8643,2015-04-19 08:44:35.520,1
rccd150418.0122.fits,SAX_J1808.4-3658,18:08:27.66,-36:58:43.3,2015-04-19,08:52:25.666,2457131.86974,360.0,1.01,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457131.86974,2015-04-19 08:52:25.536,1
rccd150420.0102.fits,SAX_J1808.4-3658,18:08:27.54,-36:58:45.0,2015-04-21,08:22:04.233,2457133.84866,360.0,1.01,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457133.84866,2015-04-21 08:22:04.224,1
rccd150420.0103.fits,SAX_J1808.4-3658,18:08:27.42,-36:58:44.4,2015-04-21,08:30:03.335,2457133.8542,360.0,1.01,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457133.8542,2015-04-21 08:30:02.880,1
rccd150421.0126.fits,SAX_J1808.4-3658,18:08:27.56,-36:58:44.0,2015-04-22,09:45:12.798,2457134.9064,360.0,1.03,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457134.9064,2015-04-22 09:45:12.960,1
rccd150421.0127.fits,SAX_J1808.4-3658,18:08:27.61,-36:58:42.8,2015-04-22,09:52:57.358,2457134.91177,360.0,1.03,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457134.91177,2015-04-22 09:52:56.928,1
rccd150422.0114.fits,SAX_J1808.4-3658,18:08:27.57,-36:58:44.0,2015-04-23,08:31:04.317,2457135.85491,360.0,1.01,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457135.85491,2015-04-23 08:31:04.224,1
rccd150422.0115.fits,SAX_J1808.4-3658,18:08:27.56,-36:58:42.7,2015-04-23,08:38:35.048,2457135.86013,360.0,1.01,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457135.86013,2015-04-23 08:38:35.232,1
rccd150423.0092.fits,SAX_J1808.4-3658,18:08:27.54,-36:58:44.3,2015-04-24,07:40:48.326,2457136.82001,360.0,1.03,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457136.82001,2015-04-24 07:40:48.864,No
rccd150423.0094.fits,SAX_J1808.4-3658,18:08:27.52,-36:58:44.4,2015-04-24,08:07:00.908,2457136.83821,360.0,1.02,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457136.83821,2015-04-24 08:07:01.344,1
rccd150424.0098.fits,SAX_J1808.4-3658,18:08:27.57,-36:58:44.1,2015-04-25,07:35:22.988,2457137.81624,360.0,1.04,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457137.81624,2015-04-25 07:35:23.136,1
rccd150424.0099.fits,SAX_J1808.4-3658,18:08:27.60,-36:58:44.7,2015-04-25,07:42:38.344,2457137.82128,360.0,1.03,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457137.82128,2015-04-25 07:42:38.592,1
rccd150426.0156.fits,SAX_J1808.4-3658,18:08:27.54,-36:58:44.3,2015-04-27,08:27:43.938,2457139.85259,360.0,1.01,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457139.85259,2015-04-27 08:27:43.776,1
rccd150426.0157.fits,SAX_J1808.4-3658,18:08:27.48,-36:58:43.8,2015-04-27,08:34:50.200,2457139.85752,360.0,1.01,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457139.85752,2015-04-27 08:34:49.728,1
rccd150427.0147.fits,SAX_J1808.4-3658,18:08:27.55,-36:58:44.4,2015-04-28,08:03:12.494,2457140.83557,360.0,1.01,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457140.83557,2015-04-28 08:03:13.248,1
rccd150427.0148.fits,SAX_J1808.4-3658,18:08:27.43,-36:58:43.1,2015-04-28,08:10:22.613,2457140.84055,360.0,1.01,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457140.84055,2015-04-28 08:10:23.520,1
rccd150428.0112.fits,SAX_J1808.4-3658,18:08:27.55,-36:58:44.5,2015-04-29,06:53:27.088,2457141.78712,360.0,1.07,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457141.78712,2015-04-29 06:53:27.168,1
rccd150428.0113.fits,SAX_J1808.4-3658,18:08:27.81,-36:58:43.2,2015-04-29,07:00:32.672,2457141.79205,360.0,1.06,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457141.79205,2015-04-29 07:00:33.120,No
rccd150429.0113.fits,SAX_J1808.4-3658,18:08:27.56,-36:58:44.3,2015-04-30,08:38:02.549,2457142.85975,360.0,1.01,R,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,2.0,2457142.85975,2015-04-30 08:38:02.400,1
rccd150429.0114.fits,SAX_J1808.4-3658,18:08:27.59,-36:58:45.0,2015-04-30,08:45:19.925,2457142.86481,360.0,1.01,I,H,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2015/,2015,Disk,J1808.4-3658,True,3.0,2457142.86481,2015-04-30 08:45:19.584,1
rccd150620.0097.fits,SAX_J1808.4-3658,18:08:27.56,-36:58:44.2,2015-06-21,06:47:14.233,2457194.7828,360.0,1.09,R,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1808.4-3658,True,2.0,2457194.7828,2015-06-21 06:47:13.920,1
rccd150620.0098.fits,SAX_J1808.4-3658,18:08:27.57,-36:58:43.4,2015-06-21,06:54:21.538,2457194.78775,360.0,1.11,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1808.4-3658,True,3.0,2457194.78775,2015-06-21 06:54:21.600,1
rccd150621.0102.fits,SAX_J1808.4-3658,18:08:27.56,-36:58:44.1,2015-06-22,07:36:57.008,2457195.81732,360.0,1.22,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1808.4-3658,True,3.0,2457195.81732,2015-06-22 07:36:56.448,No
rccd150623.0089.fits,SAX_J1808.4-3658,18:08:27.55,-36:58:44.3,2015-06-24,06:25:59.366,2457197.76805,360.0,1.08,R,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1808.4-3658,True,2.0,2457197.76805,2015-06-24 06:25:59.520,1
rccd150623.0090.fits,SAX_J1808.4-3658,18:08:27.46,-36:58:43.7,2015-06-24,06:33:01.475,2457197.77294,360.0,1.09,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1808.4-3658,True,3.0,2457197.77294,2015-06-24 06:33:02.016,1
rccd150626.0074.fits,SAX_J1808.4-3658,18:08:27.54,-36:58:44.3,2015-06-27,07:05:49.647,2457200.79571,360.0,1.18,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1808.4-3658,True,3.0,2457200.79571,2015-06-27 07:05:49.344,No
rccd150626.0075.fits,SAX_J1808.4-3658,18:08:27.58,-36:58:43.7,2015-06-27,07:13:07.061,2457200.80078,360.0,1.2,R,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1808.4-3658,True,2.0,2457200.80078,2015-06-27 07:13:07.392,1
rccd150627.0085.fits,SAX_J1808.4-3658,18:08:27.54,-36:58:44.6,2015-06-28,06:26:51.443,2457201.76865,360.0,1.11,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1808.4-3658,True,3.0,2457201.76865,2015-06-28 06:26:51.360,1
rccd150627.0086.fits,SAX_J1808.4-3658,18:08:27.48,-36:58:45.8,2015-06-28,06:33:52.647,2457201.77353,360.0,1.12,R,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1808.4-3658,True,2.0,2457201.77353,2015-06-28 06:33:52.992,No
