filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd180316.0134.fits,J1820,18:20:21.90,+07:11:08.2,2018-03-17,08:51:00.384,2458194.86876,50.0,1.64,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458194.86876,2018-03-17 08:51:00.864,1
rccd180316.0135.fits,J1820,18:20:21.92,+07:11:07.7,2018-03-17,08:52:26.889,2458194.86976,50.0,1.64,I,H,1010,1590,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458194.86976,2018-03-17 08:52:27.264,1
rccd180316.0136.fits,J1820,18:20:21.90,+07:11:07.2,2018-03-17,08:53:53.502,2458194.87076,50.0,1.63,I,H,1040,1560,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458194.87076,2018-03-17 08:53:53.664,1
rccd180316.0137.fits,J1820,18:20:21.91,+07:11:06.7,2018-03-17,08:55:20.087,2458194.87176,50.0,1.62,I,H,1010,1620,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458194.87176,2018-03-17 08:55:20.064,1
rccd180316.0138.fits,J1820,18:20:21.91,+07:11:06.2,2018-03-17,08:56:56.580,2458194.87288,50.0,1.61,V,J,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,1.0,2458194.87288,2018-03-17 08:56:56.832,1
rccd180316.0139.fits,J1820,18:20:21.95,+07:11:05.7,2018-03-17,08:58:23.099,2458194.87388,50.0,1.6,V,J,1010,1590,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,1.0,2458194.87388,2018-03-17 08:58:23.232,1
rccd180316.0140.fits,J1820,18:20:21.96,+07:11:05.5,2018-03-17,08:59:49.631,2458194.87488,50.0,1.59,V,J,1040,1560,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,1.0,2458194.87488,2018-03-17 08:59:49.632,1
rccd180316.0141.fits,J1820,18:20:21.95,+07:11:05.2,2018-03-17,09:01:16.192,2458194.87588,50.0,1.58,V,J,1010,1620,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,1.0,2458194.87588,2018-03-17 09:01:16.032,1
rccd180316.0142.fits,J1820,18:20:21.94,+07:11:05.1,2018-03-17,09:02:51.571,2458194.87699,50.0,1.58,B,K,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,0.0,2458194.87699,2018-03-17 09:02:51.936,1
rccd180316.0143.fits,J1820,18:20:21.95,+07:11:04.6,2018-03-17,09:04:18.104,2458194.87799,50.0,1.57,B,K,1010,1590,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,0.0,2458194.87799,2018-03-17 09:04:18.336,1
rccd180316.0144.fits,J1820,18:20:21.95,+07:11:04.4,2018-03-17,09:05:44.743,2458194.87899,50.0,1.56,B,K,1040,1560,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,0.0,2458194.87899,2018-03-17 09:05:44.736,1
rccd180316.0145.fits,J1820,18:20:21.95,+07:11:04.1,2018-03-17,09:07:11.316,2458194.87999,50.0,1.55,B,K,1010,1620,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,0.0,2458194.87999,2018-03-17 09:07:11.136,1
rccd180317.0132.fits,J1820,18:20:21.89,+07:11:08.0,2018-03-18,08:40:33.554,2458195.8615,50.0,1.69,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458195.8615,2018-03-18 08:40:33.600,1
rccd180317.0133.fits,J1820,18:20:21.92,+07:11:07.6,2018-03-18,08:42:00.089,2458195.8625,50.0,1.68,I,H,1010,1590,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458195.8625,2018-03-18 08:42:00.000,1
rccd180317.0134.fits,J1820,18:20:21.88,+07:11:07.0,2018-03-18,08:43:26.810,2458195.8635,50.0,1.67,I,H,1040,1560,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458195.8635,2018-03-18 08:43:26.400,1
rccd180317.0135.fits,J1820,18:20:21.89,+07:11:06.8,2018-03-18,08:44:53.398,2458195.86451,50.0,1.66,I,H,1010,1620,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458195.86451,2018-03-18 08:44:53.664,1
rccd180317.0136.fits,J1820,18:20:21.89,+07:11:06.3,2018-03-18,08:46:29.839,2458195.86562,50.0,1.65,V,J,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,1.0,2458195.86562,2018-03-18 08:46:29.568,1
rccd180317.0137.fits,J1820,18:20:21.88,+07:11:06.0,2018-03-18,08:47:56.279,2458195.86662,50.0,1.64,V,J,1010,1590,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,1.0,2458195.86662,2018-03-18 08:47:55.968,1
rccd180317.0138.fits,J1820,18:20:21.87,+07:11:05.6,2018-03-18,08:49:22.948,2458195.86762,50.0,1.63,V,J,1040,1560,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,1.0,2458195.86762,2018-03-18 08:49:22.368,1
rccd180317.0139.fits,J1820,18:20:21.88,+07:11:05.1,2018-03-18,08:50:49.294,2458195.86862,50.0,1.62,V,J,1010,1620,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,1.0,2458195.86862,2018-03-18 08:50:48.768,1
rccd180317.0140.fits,J1820,18:20:21.89,+07:11:04.9,2018-03-18,08:52:23.832,2458195.86972,50.0,1.61,B,K,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,0.0,2458195.86972,2018-03-18 08:52:23.808,1
rccd180317.0141.fits,J1820,18:20:21.92,+07:11:04.8,2018-03-18,08:53:50.044,2458195.87072,50.0,1.6,B,K,1010,1590,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,0.0,2458195.87072,2018-03-18 08:53:50.208,1
rccd180317.0142.fits,J1820,18:20:21.94,+07:11:04.5,2018-03-18,08:55:16.378,2458195.87172,50.0,1.6,B,K,1040,1560,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,0.0,2458195.87172,2018-03-18 08:55:16.608,1
rccd180317.0143.fits,J1820,18:20:21.95,+07:11:04.3,2018-03-18,08:56:42.577,2458195.87271,50.0,1.59,B,K,1010,1620,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,0.0,2458195.87271,2018-03-18 08:56:42.144,1
rccd180318.0130.fits,J1820,18:20:21.86,+07:11:07.9,2018-03-19,08:21:56.773,2458196.84858,50.0,1.8,I,H,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458196.84858,2018-03-19 08:21:57.312,1
rccd180318.0131.fits,J1820,18:20:21.84,+07:11:07.4,2018-03-19,08:23:23.186,2458196.84957,50.0,1.79,I,H,1010,1590,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458196.84957,2018-03-19 08:23:22.848,1
rccd180318.0132.fits,J1820,18:20:21.84,+07:11:07.0,2018-03-19,08:24:49.682,2458196.85058,50.0,1.77,I,H,1040,1560,1990,opticaldirecs/xrb_ccd/,ccd,Disk,J1820,True,3.0,2458196.85058,2018-03-19 08:24:50.112,1
