filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir031027.0216.fits,LMC X-2,05:20:29.15,-71:57:35.2,2003-10-28,06:28:11,2452940.76958,30.04,1.37,V,J,1388,2035,2100,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452940.76958,2003-10-28 06:28:11.712,1
binir031027.0217.fits,LMC X-2,05:20:29.16,-71:57:35.1,2003-10-28,06:29:04,2452940.77018,30.05,1.37,V,J,1388,2065,2070,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452940.77018,2003-10-28 06:29:03.552,1
binir031027.0218.fits,LMC X-2,05:20:29.16,-71:57:35.1,2003-10-28,06:29:57,2452940.7708,30.04,1.37,V,J,1358,2035,2130,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452940.7708,2003-10-28 06:29:57.120,1
binir031027.0219.fits,LMC X-2,05:20:29.15,-71:57:35.2,2003-10-28,06:30:50,2452940.77141,30.05,1.37,V,J,1418,2005,2100,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452940.77141,2003-10-28 06:30:49.824,1
binir031027.0220.fits,LMC X-2,05:20:29.17,-71:57:35.2,2003-10-28,06:31:42,2452940.77202,30.04,1.37,V,J,1388,2005,2130,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452940.77202,2003-10-28 06:31:42.528,1
binir031027.0221.fits,LMC X-2,05:20:29.21,-71:57:35.1,2003-10-28,06:32:34,2452940.77262,30.04,1.36,V,J,1418,2035,2070,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452940.77262,2003-10-28 06:32:34.368,1
binir031028.0149.fits,LMC X-2,05:20:29.10,-71:57:36.4,2003-10-29,05:36:57,2452941.734,30.05,1.41,V,J,1388,2035,2100,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452941.734,2003-10-29 05:36:57.600,1
binir031028.0150.fits,LMC X-2,05:20:29.06,-71:57:35.6,2003-10-29,05:37:49,2452941.7346,30.04,1.41,V,J,1388,2065,2070,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452941.7346,2003-10-29 05:37:49.440,1
binir031028.0151.fits,LMC X-2,05:20:29.09,-71:57:35.6,2003-10-29,05:38:42,2452941.73521,30.04,1.41,V,J,1358,2035,2130,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452941.73521,2003-10-29 05:38:42.144,1
binir031028.0152.fits,LMC X-2,05:20:29.12,-71:57:35.3,2003-10-29,05:39:35,2452941.73583,30.04,1.41,V,J,1418,2005,2100,IR_CD_header_logs/LOG_LMC X-2.20031028thru20040303.csv,IR_CD_header_logs/,LMC X-2,CD,YAL2-03A-0001,LMC X-2,True,1.0,2452941.73583,2003-10-29 05:39:35.712,1
