filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd031027.0117.fits,LMC X-2,05:20:29.15,-71:57:35.2,2003-10-28,06:28:15,2452940.76963,300.0,1.37,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452940.76963,2003-10-28 06:28:16.032,1
rccd031028.0061.fits,LMC X-2,05:20:29.10,-71:57:36.1,2003-10-29,05:37:01,2452941.73404,300.0,1.41,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452941.73404,2003-10-29 05:37:01.056,1
rccd031029.0060.fits,LMC X-2,05:20:29.17,-72:57:35.7,2003-10-30,04:51:06,2452942.70216,300.0,1.49,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452942.70216,2003-10-30 04:51:06.624,1
rccd031030.0078.fits,LMC X-2,05:20:29.01,-71:57:35.2,2003-10-31,06:15:50,2452943.761,300.0,1.37,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452943.761,2003-10-31 06:15:50.400,1
rccd031031.0071.fits,LMC X-2,05:20:29.66,-71:57:25.1,2003-11-01,05:28:49,2452944.72835,300.0,1.41,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452944.72835,2003-11-01 05:28:49.440,1
rccd031101.0078.fits,LMC X-2,05:20:28.36,-71:57:23.7,2003-11-02,05:23:48,2452945.72486,300.0,1.41,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452945.72486,2003-11-02 05:23:47.904,1
rccd031102.0075.fits,LMC X-2,05:20:29.31,-71:57:25.0,2003-11-03,05:36:48,2452946.7339,300.0,1.39,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452946.7339,2003-11-03 05:36:48.960,1
rccd031103.0078.fits,LMC X-2,05:20:29.81,-71:57:24.7,2003-11-04,05:12:38,2452947.71711,300.0,1.41,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452947.71711,2003-11-04 05:12:38.304,1
rccd031104.0066.fits,LMC X-2,05:20:30.32,-71:57:30.5,2003-11-05,03:20:43,2452948.63939,300.0,1.61,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452948.63939,2003-11-05 03:20:43.296,1
rccd031105.0099.fits,LMC X-2,05:20:29.85,-71:57:24.6,2003-11-06,05:17:26,2452949.72044,300.0,1.4,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452949.72044,2003-11-06 05:17:26.016,1
rccd031106.0067.fits,LMC X-2,05:20:29.17,-71:57:36.1,2003-11-07,04:47:29,2452950.69964,300.0,1.43,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452950.69964,2003-11-07 04:47:28.896,1
rccd031107.0066.fits,LMC X-2,05:20:29.12,-71:57:36.4,2003-11-08,05:45:02,2452951.73961,300.0,1.37,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452951.73961,2003-11-08 05:45:02.304,1
rccd031108.0071.fits,LMC X-2,05:20:29.18,-71:57:35.9,2003-11-09,05:03:55,2452952.71105,300.0,1.4,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452952.71105,2003-11-09 05:03:54.720,1
rccd031109.0068.fits,LMC X-2,05:20:29.21,-71:57:36.0,2003-11-10,06:10:50,2452953.75753,300.0,1.35,V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452953.75753,2003-11-10 06:10:50.592,1
rccd031110.0081.fits,LMC X-2,11:26:27.40,-68:40:27.5,2003-11-11,05:40:22,2452953.85614,300.0,                       / Airmass [Sec ZD],V,J,1388,2035,2100,optical_CD_header_logs/,LMC X-2,CD,LMC X-2,True,1.0,2452953.85614,2003-11-10 08:32:50.496,1
