filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir070105.0129.fits,LMC X-1,05:39:38.61,-69:44:34.6,2007-01-06,04:15:54,2454106.67772,12.03,1.31,B,J,1210,1868,2020,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.67772,2007-01-06 04:15:55.008,1
binir070105.0130.fits,LMC X-1,05:39:38.58,-69:44:34.3,2007-01-06,04:16:30,2454106.67813,12.03,1.31,B,J,1210,1908,1980,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.67813,2007-01-06 04:16:30.432,1
binir070105.0131.fits,LMC X-1,05:39:38.58,-69:44:34.0,2007-01-06,04:17:06,2454106.67855,12.03,1.32,B,J,1170,1868,2060,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.67855,2007-01-06 04:17:06.720,1
binir070105.0132.fits,LMC X-1,05:39:38.55,-69:44:34.1,2007-01-06,04:17:42,2454106.67896,12.03,1.32,B,J,1250,1828,2020,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.67896,2007-01-06 04:17:42.144,1
binir070105.0133.fits,LMC X-1,05:39:38.56,-69:44:33.7,2007-01-06,04:18:18,2454106.67938,12.03,1.32,B,J,1210,1828,2060,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.67938,2007-01-06 04:18:18.432,1
binir070105.0134.fits,LMC X-1,05:39:38.53,-69:44:33.6,2007-01-06,04:19:05,2454106.67992,12.03,1.32,V,J,1210,1868,2020,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.67992,2007-01-06 04:19:05.088,1
binir070105.0135.fits,LMC X-1,05:39:38.50,-69:44:33.3,2007-01-06,04:19:41,2454106.68034,12.02,1.32,V,J,1210,1908,1980,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.68034,2007-01-06 04:19:41.376,1
binir070105.0136.fits,LMC X-1,05:39:38.49,-69:44:33.3,2007-01-06,04:20:17,2454106.68076,12.03,1.32,V,J,1170,1868,2060,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.68076,2007-01-06 04:20:17.664,1
binir070105.0137.fits,LMC X-1,05:39:38.48,-69:44:32.8,2007-01-06,04:20:53,2454106.68117,12.03,1.32,V,J,1250,1828,2020,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.68117,2007-01-06 04:20:53.088,1
binir070105.0138.fits,LMC X-1,05:39:38.46,-69:44:33.3,2007-01-06,04:21:29,2454106.68159,12.03,1.32,V,J,1210,1828,2060,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454106.68159,2007-01-06 04:21:29.376,1
binir070106.0128.fits,LMC X-1,05:39:29.00,-69:44:33.9,2007-01-07,04:57:36,2454107.70667,12.03,1.35,B,J,1210,1868,2020,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454107.70667,2007-01-07 04:57:36.288,1
binir070106.0129.fits,LMC X-1,05:39:29.96,-69:44:33.5,2007-01-07,04:58:12,2454107.70709,12.02,1.35,B,J,1210,1908,1980,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454107.70709,2007-01-07 04:58:12.576,1
binir070106.0130.fits,LMC X-1,05:39:29.94,-69:44:33.2,2007-01-07,04:58:48,2454107.70751,12.03,1.35,B,J,1170,1868,2060,IR_CD_header_logs/LOG_LMC X-1.20070106thru20070402.csv,IR_CD_header_logs/,LMC X-1,CD,NOAO-07A-0334,LMC X-1,True,1.0,2454107.70751,2007-01-07 04:58:48.864,1
