filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd170831.0111.fits,LMCX-3,05:38:56.20,-64:04:56.2,2017-09-01,09:06:12.250,2457997.87931,180.0,1.33,B,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170902.0137.fits,LMCX-3,05:38:55.99,-64:04:54.4,2017-09-03,08:33:51.011,2457999.85684,180.0,1.38,I,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170902.0136.fits,LMCX-3,05:38:56.19,-64:04:55.9,2017-09-03,08:30:06.399,2457999.85424,180.0,1.39,B,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170902.0138.fits,LMCX-3,05:38:55.82,-64:04:54.3,2017-09-03,08:37:36.522,2457999.85945,180.0,1.37,V,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170831.0112.fits,LMCX-3,05:38:56.19,-64:04:56.1,2017-09-01,09:09:56.285,2457997.8819,180.0,1.33,I,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170831.0113.fits,LMCX-3,05:38:56.20,-64:04:56.1,2017-09-01,09:13:41.285,2457997.88451,180.0,1.32,V,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170917.0122.fits,LMCX-3,05:38:56.19,-64:04:56.0,2017-09-18,07:59:07.706,2458014.83273,180.0,1.33,B,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170917.0123.fits,LMCX-3,05:38:56.19,-64:04:54.0,2017-09-18,08:02:52.243,2458014.83533,180.0,1.33,I,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170917.0124.fits,LMCX-3,05:38:56.13,-64:04:53.3,2017-09-18,08:06:37.626,2458014.83794,180.0,1.32,V,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170906.0131.fits,LMCX-3,05:38:56.21,-64:04:56.0,2017-09-07,09:16:32.077,2458003.88648,180.0,1.28,B,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170906.0133.fits,LMCX-3,05:38:56.54,-64:04:55.9,2017-09-07,09:24:02.244,2458003.89169,180.0,1.27,V,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170906.0132.fits,LMCX-3,05:38:56.34,-64:04:55.8,2017-09-07,09:20:16.644,2458003.88908,180.0,1.28,I,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170821.0151.fits,LMCX-3,05:38:56.12,-64:04:56.4,2017-08-22,08:20:35.808,2457987.84763,180.0,1.55,I,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170821.0150.fits,LMCX-3,05:38:56.18,-64:04:56.3,2017-08-22,08:16:51.880,2457987.84504,180.0,1.56,B,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd170821.0152.fits,LMCX-3,05:38:56.17,-64:04:56.8,2017-08-22,08:24:20.781,2457987.85024,180.0,1.54,V,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd171116.0142.fits,LMCX-3,05:38:56.12,-64:04:54.0,2017-11-17,06:57:40.471,2458074.79005,180.0,1.21,I,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd171116.0143.fits,LMCX-3,05:38:56.13,-64:04:53.1,2017-11-17,07:01:25.501,2458074.79266,180.0,1.21,V,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd171116.0141.fits,LMCX-3,05:38:56.19,-64:04:56.0,2017-11-17,06:53:56.448,2458074.78746,180.0,1.21,B,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd171126.0121.fits,LMCX-3,05:38:56.14,-64:04:53.0,2017-11-27,06:07:53.746,2458084.75548,180.0,1.2,V,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
rccd171126.0119.fits,LMCX-3,05:38:56.21,-64:04:56.0,2017-11-27,06:00:23.519,2458084.75027,180.0,1.2,B,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,LMCX-3,True,optical
