filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd071005.0069.fits,LMC X-3,05:39:00.77,-64:05:15.7,2007-09-30,07:00:03.801,2454373.79171,300.0,1.37,B,J,1210.0,1868.0,2020.0,opticaldirecs/xrb-archive_USB-data-SUBDIR/,USB-data-SUBDIR,Disk,LMC X-3,True,0.0,2454373.79171,2007-09-30 07:00:03.744,2
rccd071005.0070.fits,LMC X-3,05:39:00.57,-64:05:15.3,2007-09-30,07:06:00.629,2454373.79584,300.0,1.35,I,J,1210,1868,2020,opticaldirecs/xrb-archive_usb-data_LMCX-3_fitsimages_I/,I,Disk,LMC X-3,True,3.0,2454373.79584,2007-09-30 07:06:00.576,2
rccd071005.0071.fits,LMC X-3,05:39:00.54,-64:05:15.4,2007-09-30,07:11:58.908,2454373.79998,300.0,1.34,V,J,1210.0,1868.0,2020.0,opticaldirecs/xrb-archive_USB-data-SUBDIR/,USB-data-SUBDIR,Disk,LMC X-3,True,1.0,2454373.79998,2007-09-30 07:11:58.272,2
rccd071002.0088.fits.gz,LMC X-3,05:38:56.01,-64:04:56.6,2007-10-03,06:57:45.634,2454376.79011,300.0,1.35,B,J,1210,1868,2020,optical_CD_header_logs/,LMC X-3,CD,LMC X-3,True,0.0,2454376.79011,2007-10-03 06:57:45.504,1
rccd071002.0088.fits,LMC X-3,05:38:56.01,-64:04:56.6,2007-10-03,06:57:45.634,2454376.79011,300.0,1.35,B,J,1210.0,1868.0,2020.0,opticaldirecs/xrb-archive_USB-data-SUBDIR/,USB-data-SUBDIR,Disk,LMC X-3,True,0.0,2454376.79011,2007-10-03 06:57:45.504,1
rccd071002.0089.fits,LMC X-3,05:38:55.91,-64:04:54.8,2007-10-03,07:03:42.444,2454376.79424,300.0,1.34,I,J,1210.0,1868.0,2020.0,opticaldirecs/xrb-archive_USB-data-SUBDIR/,USB-data-SUBDIR,Disk,LMC X-3,True,3.0,2454376.79424,2007-10-03 07:03:42.336,1
rccd071002.0089.fits.gz,LMC X-3,05:38:55.91,-64:04:54.8,2007-10-03,07:03:42.444,2454376.79424,300.0,1.34,I,J,1210,1868,2020,optical_CD_header_logs/,LMC X-3,CD,LMC X-3,True,3.0,2454376.79424,2007-10-03 07:03:42.336,1
rccd071002.0090.fits.gz,LMC X-3,05:38:55.81,-64:04:54.1,2007-10-03,07:09:40.748,2454376.79839,300.0,1.33,V,J,1210,1868,2020,optical_CD_header_logs/,LMC X-3,CD,LMC X-3,True,1.0,2454376.79839,2007-10-03 07:09:40.896,1
rccd071002.0090.fits,LMC X-3,05:38:55.81,-64:04:54.1,2007-10-03,07:09:40.748,2454376.79839,300.0,1.33,V,J,1210.0,1868.0,2020.0,opticaldirecs/xrb-archive_USB-data-SUBDIR/,USB-data-SUBDIR,Disk,LMC X-3,True,1.0,2454376.79839,2007-10-03 07:09:40.896,1
rccd071003.0142.fits.gz,LMC X-3,05:38:52.44,-64:05:10.3,2007-10-04,07:03:37.820,2454377.79419,300.0,1.33,B,J,1210,1868,2020,optical_CD_header_logs/,LMC X-3,CD,LMC X-3,True,0.0,2454377.79419,2007-10-04 07:03:38.016,1
rccd071003.0142.fits,LMC X-3,05:38:52.44,-64:05:10.3,2007-10-04,07:03:37.820,2454377.79419,300.0,1.33,B,J,1210.0,1868.0,2020.0,opticaldirecs/xrb-archive_USB-data-SUBDIR/,USB-data-SUBDIR,Disk,LMC X-3,True,0.0,2454377.79419,2007-10-04 07:03:38.016,1
rccd071003.0143.fits,LMC X-3,05:38:52.39,-64:05:09.5,2007-10-04,07:09:34.761,2454377.79832,300.0,1.32,I,J,1210.0,1868.0,2020.0,opticaldirecs/xrb-archive_USB-data-SUBDIR/,USB-data-SUBDIR,Disk,LMC X-3,True,3.0,2454377.79832,2007-10-04 07:09:34.848,1
rccd071003.0143.fits.gz,LMC X-3,05:38:52.39,-64:05:09.5,2007-10-04,07:09:34.761,2454377.79832,300.0,1.32,I,J,1210,1868,2020,optical_CD_header_logs/,LMC X-3,CD,LMC X-3,True,3.0,2454377.79832,2007-10-04 07:09:34.848,1
rccd071003.0144.fits.gz,LMC X-3,05:38:52.47,-64:05:08.4,2007-10-04,07:15:33.474,2454377.80247,300.0,1.31,V,J,1210,1868,2020,optical_CD_header_logs/,LMC X-3,CD,LMC X-3,True,1.0,2454377.80247,2007-10-04 07:15:33.408,1
