filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
ir101206.0251,MM Vel,10:13:35.1,-45:04:33,2010-12-07,06:59:40.1,2455537.7914,60.0,1.25,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0262,MM Vel,10:13:36.0,-45:04:29,2010-12-07,07:37:25.1,2455537.8177,60.0,1.16,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0261,MM Vel,10:13:35.9,-45:04:30,2010-12-07,07:33:51.5,2455537.8152,60.0,1.17,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0260,MM Vel,10:13:35.8,-45:04:31,2010-12-07,07:30:26.2,2455537.8128,60.0,1.18,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0259,MM Vel,10:13:35.6,-45:04:32,2010-12-07,07:27:01.3,2455537.8104,60.0,1.18,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0258,MM Vel,10:13:35.6,-45:04:33,2010-12-07,07:23:35.9,2455537.8081,60.0,1.19,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0257,MM Vel,10:13:35.5,-45:04:33,2010-12-07,07:20:10.6,2455537.8057,60.0,1.2,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0256,MM Vel,10:13:35.3,-45:04:33,2010-12-07,07:16:45.7,2455537.8033,60.0,1.21,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0255,MM Vel,10:13:35.2,-45:04:34,2010-12-07,07:13:20.9,2455537.8009,60.0,1.22,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0254,MM Vel,10:13:35.2,-45:04:34,2010-12-07,07:09:55.9,2455537.7986,60.0,1.22,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0253,MM Vel,10:13:35.1,-45:04:34,2010-12-07,07:06:30.5,2455537.7962,60.0,1.23,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0252,MM Vel,10:13:35.1,-45:04:33,2010-12-07,07:03:05.6,2455537.7938,60.0,1.24,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0250,MM Vel,10:13:35.2,-45:04:32,2010-12-07,06:56:14.8,2455537.7891,60.0,1.26,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101102.0294,MM Vel,10:13:37.2,-45:04:15,2010-11-03,09:04:16.6,2455503.878,60.0,1.28,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0249,MM Vel,10:13:35.2,-45:04:32,2010-12-07,06:52:49.9,2455537.7867,60.0,1.27,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0248,MM Vel,10:13:35.2,-45:04:32,2010-12-07,06:49:25.1,2455537.7843,60.0,1.28,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0247,MM Vel,10:13:35.3,-45:04:32,2010-12-07,06:45:59.2,2455537.7819,60.0,1.3,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0246,MM Vel,10:13:35.5,-45:04:31,2010-12-07,06:42:33.8,2455537.7796,60.0,1.31,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0245,MM Vel,10:13:35.6,-45:04:31,2010-12-07,06:39:09.0,2455537.7772,60.0,1.32,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0244,MM Vel,10:13:35.8,-45:04:31,2010-12-07,06:35:43.7,2455537.7748,60.0,1.33,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0243,MM Vel,10:13:36.0,-45:04:31,2010-12-07,06:32:18.3,2455537.7724,60.0,1.34,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0242,MM Vel,10:13:36.1,-45:04:31,2010-12-07,06:28:53.5,2455537.7701,60.0,1.36,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101102.0298,MM Vel,10:13:37.1,-45:04:16,2010-11-03,09:17:56.0,2455503.8875,60.0,1.24,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101102.0297,MM Vel,10:13:37.1,-45:04:15,2010-11-03,09:14:31.5,2455503.8851,60.0,1.25,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101102.0296,MM Vel,10:13:37.1,-45:04:15,2010-11-03,09:11:07.0,2455503.8827,60.0,1.26,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0263,MM Vel,10:13:36.1,-45:04:29,2010-12-07,07:40:50.0,2455537.82,60.0,1.15,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0264,MM Vel,10:13:36.1,-45:04:28,2010-12-07,07:44:15.4,2455537.8224,60.0,1.15,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0265,MM Vel,10:13:36.1,-45:04:28,2010-12-07,07:47:40.8,2455537.8248,60.0,1.14,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir101206.0266,MM Vel,10:13:36.1,-45:04:28,2010-12-07,07:51:05.5,2455537.8271,60.0,1.14,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
ir110112.0194,MM Vel,10:13:37.0,-45:04:28,2011-01-13,05:23:33.9,2455574.7247,60.0,1.14,J,J,,,,usbdrivereplog_MMVel.csv,,,Data replog,,,MMVel,True,IR
