filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd170514.0022.fits,NovaMusca,11:26:25.54,-68:40:25.3,2017-05-15,00:26:03.487,2457888.51809,600.0,1.28,V,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180413.0052.fits,NovaMusca,11:26:25.46,-68:40:21.8,2018-04-14,02:34:23.316,2458222.60721,600.0,1.28,V,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180329.0058.fits,NovaMusca,11:26:25.78,-68:40:22.8,2018-03-30,03:14:11.868,2458207.63486,600.0,1.28,V,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180401.0054.fits,NovaMusca,11:26:25.98,-68:40:29.7,2018-04-02,02:45:23.444,2458210.61486,600.0,1.29,V,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180401.0053.fits,NovaMusca,11:26:25.99,-68:40:32.3,2018-04-02,02:34:38.737,2458210.60739,600.0,1.29,I,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180405.0064.fits,NovaMusca,11:26:25.99,-68:40:31.7,2018-04-06,03:07:32.757,2458214.63024,600.0,1.28,I,J,1020,1590,1980,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180405.0065.fits,NovaMusca,11:26:25.78,-68:40:28.9,2018-04-06,03:18:17.316,2458214.6377,600.0,1.28,V,J,1020,1590,1980,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180409.0046.fits,NovaMusca,11:26:26.04,-68:40:27.5,2018-04-10,02:15:00.814,2458218.59377,600.0,1.29,V,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180409.0045.fits,NovaMusca,11:26:25.98,-68:40:32.3,2018-04-10,02:04:16.018,2458218.58631,600.0,1.29,I,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180413.0051.fits,NovaMusca,11:26:26.00,-68:40:31.4,2018-04-14,02:23:38.004,2458222.59974,600.0,1.28,I,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180417.0044.fits,NovaMusca,11:26:26.04,-68:40:31.3,2018-04-18,01:36:33.844,2458226.56706,600.0,1.29,I,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd181231.0102.fits,NovaMusca,11:26:25.99,-68:40:31.4,2019-01-01,07:43:10.643,2458484.82165,600.0,1.33,I,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180417.0045.fits,NovaMusca,11:26:26.03,-68:40:24.6,2018-04-18,01:47:18.599,2458226.57452,600.0,1.29,V,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
rccd180421.0047.fits,NovaMusca,11:26:25.99,-68:40:31.9,2018-04-22,02:21:57.566,2458230.59859,600.0,1.28,I,J,1040,1590,1960,SMARTS_xrb_NovaMusca/LOG_NovaMusca.20150622thru20190522.csv,opticaldirecs/SMARTS_xrb_NovaMusca/,NovaMusca,Disk,,,NovaMusca,True,optical
