filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd030203.0060.fits,Nova Musc 1991,11:26:35.71,-68:41:40.7,2003-02-04,06:44:47,2452674.7811,900.0,1.29,I,H,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,3.0,2452674.7811,2003-02-04 06:44:47.040000,2
rccd030203.0061.fits,Nova Musc 1991,11:26:35.63,-68:41:39.3,2003-02-04,07:00:59,2452674.79236,900.0,1.28,V,H,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,1.0,2452674.79236,2003-02-04 07:00:59.904000,2
rccd030204.0113.fits,Nova Musc 1991,11:26:35.57,-68:41:41.5,2003-02-05,04:51:53,2452675.7027,900.0,1.38,I,H,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,3.0,2452675.7027,2003-02-05 04:51:53.280000,2
rccd030204.0114.fits,Nova Musc 1991,11:26:36.15,-68:41:41.8,2003-02-05,05:09:06,2452675.71466,900.0,1.36,V,H,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,1.0,2452675.71466,2003-02-05 05:09:06.624000,2
rccd030205.0029.fits,Nova Musc 1991,11:26:36.22,-68:41:39.9,2003-02-06,03:13:17,2452676.63423,900.0,1.58,I,K,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,3.0,2452676.63423,2003-02-06 03:13:17.472000,2
rccd030205.0030.fits,Nova Musc 1991,11:26:37.31,-68:41:39.2,2003-02-06,03:29:29,2452676.64548,900.0,1.54,V,K,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,1.0,2452676.64548,2003-02-06 03:29:29.472000,2
rccd030206.0026.fits,Nova Musc 1991,11:26:26.08,-68:40:33.1,2003-02-07,03:05:48,2452677.62903,900.1,1.59,I,J,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,3.0,2452677.62903,2003-02-07 03:05:48.192000,2
rccd030206.0027.fits,Nova Musc 1991,11:26:26.74,-68:40:31.6,2003-02-07,03:21:47,2452677.64014,900.0,1.55,V,J,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,1.0,2452677.64014,2003-02-07 03:21:48.096000,2
rccd030207.0126.fits,Nova Musc 1991,11:26:26.53,-68:40:32.2,2003-02-08,04:43:57,2452678.69719,900.0,1.37,I,K,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,3.0,2452678.69719,2003-02-08 04:43:57.216000,2
rccd030207.0127.fits,Nova Musc 1991,11:26:27.32,-68:40:33.1,2003-02-08,05:02:16,2452678.70991,900.0,1.35,V,K,1732,2137,2430,optical_CD_header_logs/,Nova Musc 1991,CD,Nova Musca,True,1.0,2452678.70991,2003-02-08 05:02:16.224000,2
