filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir181102.0121.fits,SMCX-2,00:54:36.16,-73:40:34.8,2018-11-03,02:31:47.992,2458425.60542,30.04,1.38,I,H,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,2.0,2458425.60542,2018-11-03 02:31:48.288,1
binir181102.0122.fits,SMCX-2,00:54:36.15,-73:40:33.0,2018-11-03,02:32:30.549,2458425.6059,30.04,1.38,I,H,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,2.0,2458425.6059,2018-11-03 02:32:29.760,1
binir181102.0123.fits,SMCX-2,00:54:36.10,-73:40:31.7,2018-11-03,02:33:13.704,2458425.6064,30.05,1.38,I,H,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,2.0,2458425.6064,2018-11-03 02:33:12.960,1
binir181102.0124.fits,SMCX-2,00:54:36.03,-73:40:30.5,2018-11-03,02:33:56.591,2458425.60689,30.04,1.38,I,H,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,2.0,2458425.60689,2018-11-03 02:33:55.296,1
binir181102.0125.fits,SMCX-2,00:54:35.96,-73:40:29.5,2018-11-03,02:34:39.375,2458425.60739,30.04,1.37,I,H,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,2.0,2458425.60739,2018-11-03 02:34:38.496,1
binir181102.0126.fits,SMCX-2,00:54:35.84,-73:40:28.5,2018-11-03,02:35:55.160,2458425.60827,30.05,1.37,R,J,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,1.0,2458425.60827,2018-11-03 02:35:54.528,1
binir181102.0127.fits,SMCX-2,00:54:35.77,-73:40:27.7,2018-11-03,02:36:37.948,2458425.60877,30.04,1.37,R,J,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,1.0,2458425.60877,2018-11-03 02:36:37.728,1
binir181102.0128.fits,SMCX-2,00:54:35.69,-73:40:27.1,2018-11-03,02:37:20.856,2458425.60926,30.05,1.37,R,J,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,1.0,2458425.60926,2018-11-03 02:37:20.064,1
binir181102.0129.fits,SMCX-2,00:54:35.62,-73:40:26.4,2018-11-03,02:38:04.020,2458425.60976,30.04,1.37,R,J,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,1.0,2458425.60976,2018-11-03 02:38:03.264,1
binir181102.0130.fits,SMCX-2,00:54:35.54,-73:40:25.9,2018-11-03,02:38:46.560,2458425.61025,30.04,1.37,R,J,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,1.0,2458425.61025,2018-11-03 02:38:45.600,1
binir181102.0131.fits,SMCX-2,00:54:35.43,-73:40:24.5,2018-11-03,02:40:01.186,2458425.61113,30.04,1.37,B,K,1040,1590,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,3.0,2458425.61113,2018-11-03 02:40:01.632,1
binir181102.0132.fits,SMCX-2,00:54:35.37,-73:40:24.2,2018-11-03,02:40:43.754,2458425.61161,30.04,1.37,B,K,1040,1630,1920,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,3.0,2458425.61161,2018-11-03 02:40:43.104,1
binir181102.0133.fits,SMCX-2,00:54:35.31,-73:40:23.8,2018-11-03,02:41:26.898,2458425.61211,30.05,1.37,B,K,1000,1590,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,3.0,2458425.61211,2018-11-03 02:41:26.304,1
binir181102.0134.fits,SMCX-2,00:54:35.25,-73:40:23.3,2018-11-03,02:42:09.778,2458425.6126,30.04,1.37,B,K,1080,1550,1960,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,3.0,2458425.6126,2018-11-03 02:42:08.640,1
binir181102.0135.fits,SMCX-2,00:54:35.18,-73:40:23.0,2018-11-03,02:42:52.569,2458425.6131,30.04,1.37,B,K,1040,1550,2000,xrb_ir/LOG_ir.20150105thru20190801.csv,irdirecs/xrb_ir/,ir,Disk,,SMC X-2,True,3.0,2458425.6131,2018-11-03 02:42:51.840,1
