filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd070629.0107.fits,SMC X-1,01:17:04.79,-73:26:48.6,2007-06-30,09:13:46.383,2454281.88457,180.0,1.46,V,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,SMCX-1,True,optical
rccd070629.0106.fits,SMC X-1,01:17:05.02,-73:26:59.5,2007-06-30,09:09:15.269,2454281.88143,180.0,1.47,I,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,SMCX-1,True,optical
rccd070630.0090.fits,SMC X-1,01:16:58.62,-73:26:57.7,2007-07-01,07:42:30.660,2454282.82119,180.0,1.61,V,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,SMCX-1,True,optical
rccd070630.0089.fits,SMC X-1,01:16:58.52,-73:27:07.9,2007-07-01,07:38:14.068,2454282.81822,180.0,1.62,I,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_9_2.csv,miniarchive,temp_archive_9_2,Disk,YALE-03A-0001,,SMCX-1,True,optical
binir070630.0343.fits,SMC X-1,01:16:58.51,-73:27:07.7,2007-07-01,07:38:11.232,2454282.81819,25.05,1.62,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,SMCX-1,True,IR
binir070630.0345.fits,SMC X-1,01:16:58.56,-73:27:07.7,2007-07-01,07:39:31.955,2454282.81912,25.05,1.62,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,SMCX-1,True,IR
binir070630.0346.fits,SMC X-1,01:16:58.60,-73:27:07.8,2007-07-01,07:40:12.470,2454282.81959,25.05,1.62,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,SMCX-1,True,IR
binir070630.0347.fits,SMC X-1,01:16:58.58,-73:27:07.7,2007-07-01,07:40:52.610,2454282.82005,25.05,1.62,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,SMCX-1,True,IR
binir070630.0348.fits,SMC X-1,01:16:58.63,-73:26:57.8,2007-07-01,07:42:27.854,2454282.82116,25.05,1.61,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,SMCX-1,True,IR
binir070630.0349.fits,SMC X-1,01:16:58.57,-73:26:57.4,2007-07-01,07:43:07.995,2454282.82162,25.04,1.61,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,,SMCX-1,True,IR
