filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir070629.0290.fits,SMC X-3,00:52:05.62,-72:26:03.1,2007-06-30,08:56:45.000,2454281.87275,25.0,1.43,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.87275,2007-06-30 08:56:45.600,1
binir070629.0291.fits,SMC X-3,00:52:05.61,-72:26:03.1,2007-06-30,08:57:25.116,2454281.87321,25.04,1.43,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.87321,2007-06-30 08:57:25.344,1
binir070629.0292.fits,SMC X-3,00:52:05.61,-72:26:02.9,2007-06-30,08:58:05.585,2454281.87368,25.04,1.43,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.87368,2007-06-30 08:58:05.952,1
binir070629.0293.fits,SMC X-3,00:52:05.58,-72:26:03.0,2007-06-30,08:58:46.057,2454281.87415,25.04,1.43,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.87415,2007-06-30 08:58:46.560,1
binir070629.0294.fits,SMC X-3,00:52:05.59,-72:26:02.8,2007-06-30,08:59:26.188,2454281.87461,25.04,1.43,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.87461,2007-06-30 08:59:26.304,1
binir070629.0295.fits,SMC X-3,00:52:05.56,-72:25:52.7,2007-06-30,09:01:14.157,2454281.87586,25.0,1.42,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.87586,2007-06-30 09:01:14.304,1
binir070629.0296.fits,SMC X-3,00:52:05.51,-72:25:52.5,2007-06-30,09:01:54.235,2454281.87633,25.05,1.42,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.87633,2007-06-30 09:01:54.912,1
binir070629.0297.fits,SMC X-3,00:52:05.47,-72:25:52.6,2007-06-30,09:02:34.716,2454281.8768,25.05,1.42,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.8768,2007-06-30 09:02:35.520,1
binir070629.0298.fits,SMC X-3,00:52:05.43,-72:25:52.1,2007-06-30,09:03:15.211,2454281.87726,25.05,1.42,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.87726,2007-06-30 09:03:15.264,1
binir070629.0299.fits,SMC X-3,00:52:05.42,-72:25:52.2,2007-06-30,09:03:55.358,2454281.87773,25.05,1.42,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454281.87773,2007-06-30 09:03:55.872,1
binir070630.0333.fits,SMC X-3,00:52:06.61,-72:26:26.0,2007-07-01,07:29:56.196,2454282.81246,25.05,1.57,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454282.81246,2007-07-01 07:29:56.544,1
binir070630.0334.fits,SMC X-3,00:52:06.60,-72:26:25.8,2007-07-01,07:30:36.347,2454282.81292,25.05,1.57,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454282.81292,2007-07-01 07:30:36.288,1
binir070630.0335.fits,SMC X-3,00:52:06.55,-72:26:25.8,2007-07-01,07:31:16.785,2454282.81339,25.04,1.57,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,SMC X-3,True,1.0,2454282.81339,2007-07-01 07:31:16.896,1
